Binder1,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
Jerala_P1,14,1356,3068,1644,2895,4762,3556,2271,2007,4838,2468,2808
Jerala_P2,571,48,3980,2330,5504,3296,4359,4395,1814,3133,3345,3622
Jerala_P3,1615,3416,1540,269,2565,1728,2176,1716,2965,3781,1641,1691
Jerala_P4,2322,2577,1484,9,4121,4917,3106,2262,4152,4647,2266,3052
Jerala_P5,3203,4294,3212,2329,1320,1203,3083,2649,2917,2038,2945,3141
Jerala_P6,2453,2679,2999,1449,1663,23,3166,2849,1546,2524,2376,1919
Jerala_P7,1688,2073,1745,1048,3027,2176,1564,2019,2028,1334,2102,2541
Jerala_P8,3013,3599,2486,2153,3406,2744,2071,3,3133,1600,2190,3965
Jerala_P9,2816,2271,4845,1896,7351,3432,2664,4258,7,1339,2204,3540
Jerala_P10,4259,5282,6396,1905,5595,5601,5186,3338,1561,8,2959,7001
Jerala_P11,1736,3909,2653,1747,2224,2725,1566,2400,2218,1520,75,1073
Jerala_P12,3432,4263,3173,1707,3629,3169,3227,3097,2249,3112,1503,3174
