Binder1,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
Jerala_P1,36,102351,120,81,122,182,140,93,839,199,93,832
Jerala_P2,93558,46,2103,106,4773,3527,149,775,118,140,119,168
Jerala_P3,89,115,82,3217,127,56,70,57,104,133,55,68
Jerala_P4,108,487,67082,5,173,188,114,116,183,839,1062,171
Jerala_P5,139,152,134,363,80,6755,425,151,125,78,307,146
Jerala_P6,96,700,108,49,620,10,95,105,3516,91,88,66
Jerala_P7,60,80,49,39,114,73,69,184,66,58,5954,106
Jerala_P8,125,170,121,96,115,117,4609,1,150,1617,99,189
Jerala_P9,3700,137,154,73,209,107,1085,196,8,43612,60,108
Jerala_P10,167,256,484,83,1559,16754,185,144,29637,5,1250,287
Jerala_P11,55,123,103,81,87,58,89,90,97,6147,15,531
Jerala_P12,103,127,107,101,147,116,775,97,63,209,6321,178
