Binder1,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
Jerala_P1,12,1866,3299,1986,3187,4649,4032,2672,2193,3912,2888,3040
Jerala_P2,796,30,3905,2041,4420,2979,3672,3710,1648,3071,3680,3357
Jerala_P3,2085,3729,1522,450,2082,1816,1761,1834,2892,3420,1920,1974
Jerala_P4,2874,2806,2069,5,4264,4894,3188,2720,3113,5270,2137,3209
Jerala_P5,2528,3990,3793,2142,1172,1669,3337,2833,3086,1941,2913,3318
Jerala_P6,2806,2372,3289,1805,1704,8,4041,2953,1792,3054,3118,2546
Jerala_P7,1914,2118,1921,1244,3129,2448,1538,2544,1979,1575,2584,2892
Jerala_P8,3191,3584,2387,2111,3436,2860,2842,7,3174,2007,2793,4168
Jerala_P9,3501,2483,4526,2142,5184,3771,2872,4541,3,2286,3105,4058
Jerala_P10,4753,5211,6489,1911,5435,4840,5327,3147,1973,12,3712,5932
Jerala_P11,2264,3811,3485,1834,3042,3637,2112,2672,2673,2271,93,1767
Jerala_P12,3522,4137,2834,1433,3291,3210,3340,3319,2293,3123,1870,3216
