Binder1,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
Jerala_P1,13,53793,210,167,289,184,3621,158,167,289,114,136
Jerala_P2,51509,6,141,175,356,290,289,180,128,187,94,175
Jerala_P3,194,1749,3723,11380,106,95,537,1792,97,236,54,77
Jerala_P4,209,102,70559,4,229,97,670,174,96,2446,128,15557
Jerala_P5,184,255,147,77,169,9798,342,153,143,270,89,221
Jerala_P6,152,149,75,66,332,2,115,117,95,44,111,91
Jerala_P7,72,119,92,88,107,95,100,746,56,110,136,75
Jerala_P8,313,315,89,169,171,254,18154,2,209,228,220,164
Jerala_P9,126,106,163,67,4194,159,178,126,12,42353,130,229
Jerala_P10,337,422,309,219,218,333,107,741,70229,6,310,227
Jerala_P11,188,171,572,351,6665,272,382,199,78,389,77,5200
Jerala_P12,50,200,75,117,274,242,265,194,241,5395,15002,86
