Binder1,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
Jerala_P1,5,1523,4103,2693,5479,3346,2158,3075,3525,5302,2414,2235
Jerala_P2,1811,23,2610,2812,5276,4938,4089,2798,1772,2418,1720,3162
Jerala_P3,3445,4677,1676,1106,1660,1552,1893,2795,1690,3994,912,1037
Jerala_P4,3790,1817,1087,5,4110,1570,2778,2830,1438,4222,1717,1136
Jerala_P5,3504,3895,2417,1255,1909,2184,6117,2363,2292,5026,1664,3938
Jerala_P6,2680,2270,1166,1061,1499,6,1850,1720,1299,741,2009,1407
Jerala_P7,1340,2149,1483,1347,2053,1417,1508,1392,983,1790,1954,1444
Jerala_P8,4876,3787,1757,2412,2825,4016,2410,6,3173,3672,3954,3632
Jerala_P9,1977,2000,3530,1269,3753,2971,4101,2754,6,2408,2956,2564
Jerala_P10,5098,6044,4536,3674,3297,4966,1732,11007,1733,4,4496,3496
Jerala_P11,2447,1686,3184,2329,3164,3874,3782,2516,835,2542,198,1351
Jerala_P12,834,3205,1265,2022,4485,3638,5175,2890,1442,3535,822,1433
