Binder1,2CDP06,BCDP01,BECM01,Bcl-2,Bcl-B,Bcl-w,Bcl-w-trunc,Bcl-xL,Bfl-1,FECM04,Mcl1[151-321],XCDP07,alphaBCL2,alphaBCLB,alphaBFL1,alphaMCL1
2CDP06,1,734,152,5169,92,7222,992,1024,243,106,397,41,315,211,153,192
BCDP01,1008,43,314,9039,1509,1210,878,11757,7267,555,3519,330,267,135,378,366
BECM01,124,108,8,571,698,1104,509,7583,7948,274,730,90,317,120,151,178
Bcl-2,1291,1830,255,241,284,464,548,2043,904,2322,399,515,1816,112,2448,116
Bcl-B,360,6737,5815,609,3,1052,588,528,494,823,516,3566,420,7088,527,832
Bcl-w,10084,10187,942,1101,362,205,1187,969,753,1497,1062,7469,7176,692,843,500
Bcl-w-trunc,13845,14486,796,723,359,1125,928,746,734,3048,1021,3459,10533,817,1361,329
Bcl-xL,627,12564,3595,614,424,1420,817,448,851,14271,736,5708,2818,756,12544,223
Bfl-1,401,15704,7454,511,344,599,1165,592,181,12766,453,163,669,684,13955,2237
FECM04,338,126,184,7755,204,478,1161,10376,7177,5,659,51,290,404,117,238
Mcl1[151-321],396,12123,926,502,173,800,823,471,684,967,248,5191,317,227,811,7195
XCDP07,675,356,243,4653,922,9197,11053,3732,317,216,12462,45,360,66,188,91
alphaBCL2,222,389,262,8719,145,8807,1260,8450,421,269,590,335,5,161,176,103
alphaBCLB,96,187,104,169,1507,286,246,199,160,153,194,23,188,9,112,87
alphaBFL1,121,755,347,5279,198,761,514,10206,6340,251,429,94,313,429,20,136
alphaMCL1,115,246,130,218,139,945,437,219,1779,193,12446,68,221,230,167,1
