Binder1,2CDP06,BCDP01,BECM01,Bcl-2,Bcl-B,Bcl-w,Bcl-w-trunc,Bcl-xL,Bfl-1,FECM04,Mcl1[151-321],XCDP07,alphaBCL2,alphaBCLB,alphaBFL1,alphaMCL1
2CDP06,5,1121,1247,1377,1007,2808,2779,2282,2233,1292,2633,424,1895,1085,1217,1222
BCDP01,1497,42,1503,1663,1314,3784,3562,1711,1600,1623,2498,420,2000,1313,1490,1210
BECM01,1388,1403,40,1988,1443,3572,3451,1940,1702,1508,3241,514,1856,1104,1478,1435
Bcl-2,912,969,1222,992,1228,4270,4082,2291,2724,1524,3247,442,1396,1213,1315,1300
Bcl-B,1573,1103,972,2441,26,5110,4742,2860,2561,1886,4341,599,2446,739,1756,1427
Bcl-w,2257,2419,2722,4879,3061,857,10047,5620,5609,3529,7382,966,3995,2697,3265,3024
Bcl-w-trunc,2298,2316,2341,4185,2974,9567,5569,5040,5249,2640,7661,725,3144,2300,2945,2499
Bcl-xL,1859,1427,1506,2838,1967,6082,5832,754,3602,1801,5251,717,2349,1909,1634,1900
Bfl-1,1107,1030,1085,1926,1306,4190,4022,2403,438,981,3185,450,1707,1273,928,1217
FECM04,1255,1226,1127,1498,1490,3748,3916,1625,1472,20,2982,488,1775,1103,1314,1191
Mcl1[151-321],1353,1575,1672,2227,1536,4801,4661,2950,2841,2304,866,619,2205,1493,1789,1457
XCDP07,648,673,549,705,532,763,1004,472,1008,756,1130,76,890,520,529,552
alphaBCL2,1390,1312,1210,1409,1452,3598,3488,2144,2377,1429,3843,402,9,1299,1375,1333
alphaBCLB,887,685,446,1201,610,2684,2200,1606,1372,938,2019,314,1128,74,1001,762
alphaBFL1,1272,1082,1092,1834,1516,3881,3953,1751,1359,1358,3134,544,1790,1424,97,1408
alphaMCL1,1259,1146,1201,1969,1431,4063,3646,2173,1867,1602,2491,430,1858,1238,1394,3
