Binder1,BW3_A,BW3_B,BW5_A,BW5_B,BW8_A,BW8_B,BW10_A,BW10_B,IL8_A,IL8_B,IL9_A,IL9_B,IL14_A,IL14_B,IL19_A,IL19_B,mALb8_A,mALb8_B,mALb8_cutT1_A,mALb8_cutT1_B,mALb8_cutT2_A,mALb8_cutT2_B,MCL1,PUMA_M144A,PUMA_M144A_L141A,PUMA_M144A_L148A,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
BW3_A,4.0,212.0,383.0,149.0,127.0,199.0,136.0,121.0,489.0,456.0,1641.0,305.0,1058.0,210.0,371.0,400.0,176.0,594.0,118.0,152.0,100.0,45.0,1127.0,136.0,120.0,43.0,68.0,34.0,192.0,64.0,47.0,51.0,34.0,70.0,226.0,42.0,86.0,34.0
BW3_B,422.0,8.0,27128.0,229.0,190.0,982.0,709.0,205.0,27322.0,363.0,304.0,533.0,420.0,2065.0,395.0,652.0,367.0,20249.0,772.0,215.0,175.0,22.0,382.0,503.0,94.0,318.0,58.0,133.0,77.0,45.0,83.0,104.0,155.0,52.0,85.0,336.0,224.0,92.0
BW5_A,292.0,10310.0,141.0,16382.0,233.0,422.0,184.0,482.0,611.0,302.0,644.0,335.0,355.0,312.0,458.0,735.0,279.0,245.0,686.0,231.0,1163.0,19.0,1700.0,163.0,207.0,54.0,267.0,76.0,107.0,164.0,90.0,85.0,830.0,113.0,40.0,49.0,131.0,38.0
BW5_B,409.0,1404.0,36067.0,3.0,171.0,252.0,265.0,272.0,896.0,768.0,774.0,348.0,425.0,303.0,301.0,587.0,151.0,169.0,517.0,123.0,74.0,11.0,615.0,2401.0,85.0,137.0,234.0,349.0,38.0,45.0,58.0,342.0,425.0,136.0,61.0,81.0,407.0,49.0
BW8_A,59.0,197.0,631.0,47.0,,85.0,149.0,42.0,142.0,18.0,47.0,71.0,119.0,155.0,79.0,74.0,89.0,221.0,24.0,54.0,33.0,8.0,324.0,34.0,40.0,7.0,17.0,15.0,282.0,15.0,10.0,20.0,18.0,18.0,15.0,39.0,21.0,10.0
BW8_B,457.0,261.0,1459.0,249.0,148.0,66.0,132.0,177.0,518.0,422.0,433.0,357.0,4848.0,428.0,294.0,294.0,151.0,180.0,233.0,205.0,132.0,7.0,244.0,280.0,88.0,94.0,24.0,43.0,17.0,54.0,73.0,27.0,61.0,26.0,53.0,30.0,44.0,168.0
BW10_A,108.0,472.0,248.0,257.0,183.0,122.0,6.0,102.0,143.0,189.0,139.0,330.0,186.0,181.0,137.0,104.0,388.0,129.0,406.0,2850.0,87.0,6.0,227.0,51.0,114.0,52.0,38.0,40.0,29.0,27.0,29.0,35.0,24.0,28.0,28.0,24.0,353.0,29.0
BW10_B,95.0,275.0,365.0,72.0,92.0,152.0,136.0,,256.0,83.0,129.0,170.0,240.0,165.0,143.0,195.0,95.0,102.0,72.0,89.0,54.0,9.0,184.0,63.0,140.0,33.0,38.0,56.0,61.0,49.0,59.0,60.0,33.0,34.0,173.0,11.0,61.0,47.0
IL8_A,204.0,19369.0,1732.0,292.0,259.0,430.0,292.0,171.0,47.0,20020.0,276.0,270.0,371.0,843.0,246.0,860.0,262.0,305.0,249.0,456.0,67.0,13.0,309.0,132.0,89.0,68.0,28.0,61.0,56.0,57.0,51.0,939.0,130.0,73.0,56.0,201.0,165.0,28.0
IL8_B,414.0,597.0,1376.0,218.0,234.0,551.0,196.0,336.0,61038.0,116.0,651.0,590.0,548.0,606.0,580.0,423.0,233.0,440.0,524.0,405.0,177.0,28.0,501.0,841.0,409.0,203.0,65.0,536.0,127.0,123.0,107.0,76.0,71.0,178.0,67.0,68.0,456.0,65.0
IL9_A,163.0,248.0,417.0,293.0,192.0,257.0,141.0,252.0,1010.0,273.0,30.0,47801.0,343.0,211.0,296.0,535.0,152.0,149.0,145.0,183.0,105.0,63.0,239.0,218.0,116.0,126.0,102.0,38.0,58.0,44.0,56.0,56.0,145.0,38.0,45.0,45.0,50.0,33.0
IL9_B,492.0,421.0,1432.0,309.0,231.0,265.0,183.0,265.0,1613.0,389.0,33654.0,112.0,466.0,804.0,638.0,308.0,535.0,323.0,172.0,355.0,501.0,28.0,507.0,350.0,174.0,198.0,95.0,58.0,79.0,85.0,61.0,44.0,74.0,774.0,57.0,63.0,67.0,137.0
IL14_A,1180.0,1041.0,1884.0,1558.0,789.0,8110.0,1259.0,602.0,1148.0,671.0,1057.0,1410.0,3.0,30614.0,1476.0,1477.0,897.0,963.0,368.0,1445.0,766.0,101.0,1982.0,1193.0,1107.0,661.0,305.0,566.0,1051.0,977.0,744.0,527.0,718.0,443.0,524.0,349.0,456.0,561.0
IL14_B,167.0,186.0,564.0,130.0,201.0,240.0,186.0,97.0,420.0,7.0,246.0,828.0,13357.0,5.0,212.0,251.0,134.0,267.0,289.0,366.0,89.0,14.0,223.0,147.0,122.0,9.0,44.0,68.0,57.0,31.0,488.0,40.0,65.0,61.0,42.0,36.0,38.0,50.0
IL19_A,232.0,404.0,905.0,236.0,191.0,999.0,235.0,300.0,633.0,426.0,610.0,347.0,663.0,526.0,11.0,44116.0,191.0,229.0,428.0,442.0,124.0,27.0,505.0,640.0,592.0,112.0,211.0,99.0,51.0,82.0,92.0,76.0,74.0,246.0,97.0,63.0,160.0,69.0
IL19_B,531.0,364.0,1127.0,1358.0,663.0,225.0,261.0,251.0,404.0,306.0,935.0,385.0,525.0,413.0,48441.0,9.0,267.0,336.0,146.0,163.0,336.0,44.0,1349.0,204.0,210.0,97.0,63.0,44.0,31.0,160.0,71.0,204.0,492.0,67.0,322.0,49.0,81.0,57.0
mALb8_A,213.0,581.0,589.0,219.0,204.0,177.0,309.0,118.0,368.0,103.0,129.0,1001.0,231.0,157.0,228.0,405.0,4.0,22390.0,108.0,22731.0,44.0,10.0,158.0,58.0,194.0,64.0,45.0,841.0,31.0,27.0,484.0,43.0,46.0,24.0,38.0,38.0,482.0,36.0
mALb8_B,330.0,20408.0,845.0,107.0,438.0,181.0,159.0,186.0,232.0,311.0,560.0,415.0,460.0,198.0,185.0,311.0,15070.0,21.0,17703.0,226.0,125.0,15.0,198.0,197.0,125.0,268.0,396.0,57.0,305.0,31.0,25.0,92.0,59.0,77.0,32.0,42.0,75.0,37.0
mALb8_cutT1_A,426.0,321.0,296.0,96.0,324.0,650.0,83.0,124.0,255.0,427.0,76.0,194.0,281.0,129.0,121.0,142.0,408.0,28670.0,7.0,32949.0,59.0,165.0,109.0,365.0,39.0,45.0,918.0,29.0,15.0,51.0,23.0,49.0,172.0,244.0,28.0,26.0,36.0,19.0
mALb8_cutT1_B,401.0,8377.0,2010.0,137.0,145.0,177.0,603.0,237.0,951.0,682.0,270.0,98.0,215.0,555.0,140.0,83.0,16428.0,83.0,17114.0,7.0,43.0,6.0,83.0,55.0,203.0,53.0,36.0,27.0,14.0,24.0,54.0,310.0,18.0,258.0,134.0,715.0,14.0,51.0
mALb8_cutT2_A,249.0,159.0,569.0,85.0,66.0,98.0,59.0,238.0,153.0,216.0,101.0,80.0,260.0,233.0,141.0,121.0,140.0,9980.0,81.0,229.0,14.0,6.0,101.0,55.0,62.0,152.0,63.0,49.0,36.0,35.0,28.0,36.0,23.0,21.0,21.0,8.0,34.0,1113.0
mALb8_cutT2_B,226.0,2651.0,571.0,127.0,113.0,275.0,178.0,251.0,241.0,306.0,270.0,317.0,353.0,353.0,379.0,147.0,124.0,122.0,809.0,106.0,65.0,,946.0,960.0,161.0,102.0,38.0,41.0,294.0,176.0,31.0,53.0,41.0,43.0,49.0,166.0,82.0,77.0
MCL1,249.0,479.0,867.0,207.0,248.0,387.0,246.0,245.0,569.0,436.0,443.0,461.0,1087.0,279.0,416.0,397.0,199.0,358.0,966.0,490.0,1411.0,95.0,551.0,30887.0,485.0,2070.0,131.0,192.0,284.0,74.0,186.0,77.0,103.0,134.0,190.0,97.0,168.0,64.0
PUMA_M144A,122.0,80.0,346.0,64.0,273.0,68.0,75.0,112.0,223.0,283.0,314.0,158.0,104.0,85.0,79.0,60.0,53.0,112.0,52.0,209.0,89.0,29.0,34407.0,31.0,87.0,29.0,27.0,128.0,281.0,31.0,21.0,11.0,20.0,12.0,12.0,33.0,60.0,28.0
PUMA_M144A_L141A,117.0,375.0,884.0,75.0,78.0,96.0,72.0,73.0,244.0,148.0,96.0,149.0,297.0,140.0,289.0,82.0,51.0,973.0,77.0,63.0,43.0,14.0,1984.0,31.0,4.0,60.0,33.0,94.0,24.0,7.0,19.0,24.0,49.0,28.0,17.0,17.0,39.0,23.0
PUMA_M144A_L148A,58.0,183.0,560.0,67.0,84.0,74.0,154.0,70.0,272.0,343.0,146.0,146.0,147.0,357.0,341.0,72.0,66.0,99.0,44.0,52.0,37.0,9.0,24071.0,38.0,55.0,29.0,14.0,945.0,21.0,20.0,10.0,19.0,143.0,18.0,31.0,10.0,26.0,23.0
Jerala_P1,20.0,37.0,90.0,34.0,37.0,25.0,78.0,31.0,73.0,17.0,54.0,95.0,81.0,34.0,603.0,24.0,33.0,39.0,29.0,37.0,13.0,2.0,51.0,14.0,35.0,7.0,,5223.0,13.0,15.0,6.0,27.0,6.0,5.0,11.0,7.0,17.0,16.0
Jerala_P2,57.0,57.0,307.0,73.0,19.0,53.0,6.0,51.0,83.0,56.0,72.0,48.0,139.0,40.0,549.0,18.0,51.0,669.0,117.0,26.0,18.0,3.0,32.0,684.0,8.0,18.0,1339.0,1.0,7.0,97.0,32.0,2.0,5.0,12.0,5.0,4.0,12.0,4.0
Jerala_P3,26.0,18.0,73.0,23.0,14.0,21.0,26.0,40.0,54.0,430.0,18.0,35.0,47.0,20.0,22.0,31.0,23.0,19.0,17.0,302.0,20.0,,27.0,7.0,73.0,33.0,11.0,15.0,2.0,2683.0,39.0,7.0,6.0,26.0,2.0,7.0,5.0,
Jerala_P4,42.0,384.0,206.0,26.0,55.0,147.0,32.0,46.0,48.0,145.0,36.0,96.0,90.0,55.0,68.0,47.0,222.0,30.0,27.0,15.0,22.0,4.0,402.0,32.0,21.0,43.0,20.0,4.0,2203.0,,7.0,11.0,7.0,6.0,11.0,30.0,16.0,6.0
Jerala_P5,27.0,51.0,72.0,19.0,37.0,16.0,40.0,31.0,272.0,25.0,65.0,283.0,107.0,28.0,23.0,17.0,17.0,194.0,11.0,30.0,11.0,,27.0,45.0,23.0,21.0,9.0,12.0,12.0,7.0,1.0,5264.0,8.0,2.0,8.0,2.0,36.0,6.0
Jerala_P6,27.0,72.0,72.0,13.0,29.0,24.0,22.0,28.0,302.0,28.0,143.0,47.0,43.0,77.0,62.0,34.0,36.0,12.0,23.0,22.0,18.0,1.0,44.0,22.0,229.0,9.0,1.0,21.0,10.0,19.0,1237.0,1.0,5.0,14.0,357.0,374.0,14.0,11.0
Jerala_P7,28.0,55.0,49.0,15.0,32.0,35.0,14.0,16.0,39.0,25.0,6.0,21.0,58.0,83.0,39.0,41.0,242.0,10.0,9.0,13.0,3.0,1.0,36.0,7.0,22.0,12.0,1.0,8.0,5.0,11.0,14.0,4.0,1.0,2263.0,11.0,3.0,5.0,6.0
Jerala_P8,13.0,380.0,132.0,62.0,51.0,24.0,16.0,55.0,45.0,124.0,65.0,44.0,110.0,48.0,57.0,42.0,28.0,212.0,249.0,12.0,25.0,1.0,41.0,677.0,34.0,23.0,4.0,7.0,159.0,2.0,5.0,14.0,3182.0,,3.0,5.0,12.0,23.0
Jerala_P9,30.0,34.0,166.0,211.0,21.0,66.0,32.0,39.0,30.0,32.0,29.0,234.0,57.0,45.0,27.0,45.0,26.0,19.0,736.0,40.0,15.0,5.0,232.0,14.0,31.0,30.0,21.0,26.0,19.0,7.0,11.0,6.0,8.0,17.0,,2876.0,7.0,13.0
Jerala_P10,42.0,271.0,10147.0,37.0,33.0,153.0,21.0,45.0,34.0,205.0,27.0,63.0,122.0,92.0,55.0,76.0,78.0,36.0,27.0,18.0,19.0,5.0,686.0,25.0,43.0,25.0,15.0,9.0,59.0,5.0,6.0,33.0,13.0,6.0,4934.0,,5.0,4.0
Jerala_P11,116.0,100.0,6482.0,67.0,86.0,133.0,84.0,113.0,584.0,236.0,238.0,215.0,137.0,245.0,652.0,153.0,64.0,136.0,464.0,217.0,219.0,17.0,376.0,187.0,170.0,150.0,53.0,139.0,42.0,361.0,211.0,110.0,71.0,71.0,5.0,61.0,6.0,705.0
Jerala_P12,484.0,289.0,1863.0,17.0,24.0,140.0,33.0,142.0,40.0,365.0,33.0,166.0,58.0,30.0,25.0,125.0,11.0,278.0,12.0,150.0,23.0,2.0,32.0,15.0,25.0,15.0,9.0,3.0,156.0,12.0,8.0,13.0,8.0,6.0,2.0,8.0,2719.0,1.0
