Binder1,BW3_A,BW3_B,BW5_A,BW5_B,BW8_A,BW8_B,BW10_A,BW10_B,IL8_A,IL8_B,IL9_A,IL9_B,IL14_A,IL14_B,IL19_A,IL19_B,mALb8_A,mALb8_B,mALb8_cutT1_A,mALb8_cutT1_B,mALb8_cutT2_A,mALb8_cutT2_B,MCL1,PUMA_M144A,PUMA_M144A_L141A,PUMA_M144A_L148A,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
BW3_A,23.0,1553.0,2389.0,1129.0,1562.0,1892.0,1356.0,1003.0,1773.0,1768.0,1781.0,2913.0,1027.0,1400.0,2612.0,2319.0,1204.0,1847.0,1254.0,1737.0,1899.0,435.0,2847.0,1788.0,1906.0,1633.0,921.0,741.0,862.0,812.0,927.0,955.0,961.0,700.0,654.0,949.0,980.0,897.0
BW3_B,1720.0,6.0,2840.0,1465.0,2052.0,2446.0,1727.0,1342.0,1972.0,2760.0,2149.0,2961.0,1227.0,2076.0,3220.0,2476.0,1632.0,1759.0,1226.0,2195.0,2269.0,480.0,3617.0,2740.0,2623.0,2066.0,850.0,1330.0,1116.0,947.0,1389.0,1172.0,1133.0,1162.0,1295.0,908.0,1272.0,1236.0
BW5_A,1734.0,1225.0,259.0,1023.0,2198.0,2312.0,1934.0,1509.0,2057.0,1680.0,1737.0,3037.0,1182.0,1693.0,3638.0,2719.0,1412.0,2185.0,1309.0,2284.0,2221.0,361.0,3707.0,2680.0,2845.0,1598.0,846.0,1145.0,1200.0,1026.0,1051.0,1178.0,1065.0,1495.0,753.0,776.0,1079.0,766.0
BW5_B,1378.0,1587.0,1500.0,23.0,1619.0,1513.0,1563.0,1053.0,1821.0,1914.0,1525.0,2579.0,998.0,1659.0,2290.0,1905.0,1095.0,1748.0,1122.0,1554.0,1453.0,393.0,2835.0,1811.0,1929.0,2045.0,861.0,1156.0,929.0,692.0,1196.0,866.0,906.0,846.0,666.0,852.0,822.0,773.0
BW8_A,551.0,473.0,839.0,296.0,9.0,725.0,394.0,352.0,689.0,137.0,356.0,821.0,479.0,812.0,738.0,669.0,488.0,629.0,354.0,553.0,468.0,175.0,1073.0,645.0,609.0,194.0,393.0,389.0,296.0,193.0,261.0,282.0,315.0,251.0,248.0,382.0,371.0,198.0
BW8_B,1274.0,1298.0,2248.0,919.0,1523.0,821.0,1369.0,1069.0,1848.0,2061.0,1482.0,2343.0,869.0,1322.0,2145.0,1815.0,1211.0,1881.0,942.0,1569.0,1847.0,261.0,2319.0,1570.0,1550.0,1837.0,719.0,838.0,729.0,595.0,1084.0,835.0,746.0,828.0,561.0,586.0,830.0,829.0
BW10_A,919.0,969.0,1345.0,574.0,1050.0,1164.0,166.0,666.0,994.0,1384.0,884.0,1687.0,482.0,839.0,1406.0,1118.0,750.0,1255.0,729.0,941.0,1109.0,211.0,1916.0,1329.0,1523.0,1021.0,631.0,762.0,786.0,609.0,542.0,681.0,572.0,597.0,575.0,493.0,570.0,591.0
BW10_B,721.0,848.0,1509.0,474.0,1119.0,947.0,940.0,,1248.0,533.0,709.0,1563.0,711.0,897.0,1336.0,1227.0,626.0,1014.0,727.0,743.0,960.0,190.0,1477.0,1068.0,1446.0,674.0,655.0,785.0,761.0,562.0,416.0,510.0,486.0,642.0,504.0,412.0,553.0,570.0
IL8_A,1241.0,1229.0,2010.0,1229.0,2155.0,1914.0,1579.0,1047.0,23.0,1745.0,1269.0,2694.0,944.0,1730.0,2246.0,2013.0,1221.0,2022.0,1051.0,1508.0,1569.0,359.0,2746.0,1929.0,1847.0,1800.0,685.0,1204.0,703.0,1021.0,1116.0,1115.0,930.0,1250.0,941.0,895.0,1057.0,724.0
IL8_B,2093.0,2230.0,4202.0,1767.0,2443.0,2139.0,2343.0,1742.0,2539.0,1195.0,2551.0,4261.0,1591.0,2487.0,3877.0,2909.0,1776.0,2509.0,1639.0,2896.0,2566.0,531.0,4290.0,3291.0,3134.0,2861.0,1232.0,1409.0,1462.0,1190.0,1407.0,1291.0,1355.0,1496.0,1184.0,1294.0,1330.0,1026.0
IL9_A,1099.0,1126.0,1808.0,1038.0,1392.0,1340.0,1320.0,1328.0,1672.0,1806.0,90.0,1612.0,776.0,1275.0,2009.0,1607.0,898.0,1431.0,960.0,1400.0,1393.0,285.0,2212.0,1838.0,1844.0,1347.0,473.0,816.0,806.0,766.0,1012.0,738.0,821.0,750.0,580.0,687.0,786.0,485.0
IL9_B,1828.0,1802.0,3377.0,1365.0,2289.0,2088.0,2000.0,1470.0,2301.0,2689.0,1261.0,1377.0,1272.0,2000.0,3506.0,2544.0,1562.0,2417.0,1371.0,1878.0,2326.0,370.0,3692.0,2446.0,3163.0,2313.0,798.0,1385.0,1141.0,1319.0,1242.0,1020.0,1332.0,1417.0,768.0,1101.0,1469.0,1005.0
IL14_A,1441.0,1109.0,2196.0,973.0,1298.0,1333.0,1551.0,884.0,1662.0,1085.0,1433.0,2207.0,,1093.0,1973.0,1564.0,1187.0,1889.0,785.0,1342.0,1487.0,374.0,2348.0,1744.0,2092.0,1403.0,695.0,978.0,858.0,807.0,975.0,663.0,931.0,713.0,632.0,824.0,623.0,784.0
IL14_B,1128.0,1343.0,2054.0,946.0,1772.0,1896.0,1439.0,771.0,1474.0,62.0,1041.0,2570.0,632.0,41.0,1598.0,1575.0,1211.0,1777.0,1150.0,1305.0,1698.0,358.0,2379.0,2051.0,2291.0,127.0,805.0,929.0,1208.0,605.0,940.0,767.0,1112.0,1340.0,679.0,716.0,943.0,687.0
IL19_A,1501.0,1860.0,2820.0,1256.0,1794.0,2161.0,1813.0,1462.0,2180.0,2357.0,1767.0,3005.0,1381.0,1511.0,71.0,1816.0,1506.0,2102.0,1021.0,2085.0,2175.0,494.0,3503.0,2516.0,2703.0,2007.0,1041.0,1228.0,1250.0,1222.0,1382.0,1391.0,1024.0,1145.0,1062.0,817.0,1176.0,1094.0
IL19_B,1888.0,1466.0,2305.0,1119.0,1781.0,2081.0,1563.0,1128.0,1836.0,2031.0,1695.0,2538.0,1347.0,1533.0,1805.0,16.0,1109.0,1727.0,1125.0,1764.0,1551.0,359.0,2708.0,2148.0,2241.0,1571.0,828.0,1013.0,928.0,887.0,1209.0,927.0,724.0,1078.0,680.0,911.0,1135.0,794.0
mALb8_A,895.0,999.0,1823.0,764.0,1120.0,1249.0,1111.0,755.0,1115.0,536.0,1018.0,1691.0,748.0,839.0,1773.0,1574.0,2.0,716.0,906.0,831.0,1230.0,296.0,2323.0,1306.0,1483.0,658.0,473.0,602.0,715.0,540.0,617.0,555.0,592.0,678.0,508.0,503.0,534.0,534.0
mALb8_B,1102.0,1000.0,2152.0,963.0,1821.0,1878.0,1252.0,1124.0,1535.0,1776.0,1633.0,2126.0,916.0,1369.0,2155.0,1617.0,749.0,31.0,689.0,1603.0,1429.0,350.0,2642.0,1991.0,1897.0,1700.0,1191.0,1087.0,889.0,1137.0,593.0,792.0,1077.0,1010.0,802.0,916.0,851.0,1062.0
mALb8_cutT1_A,1015.0,1083.0,1540.0,743.0,1236.0,1315.0,1206.0,931.0,1394.0,1421.0,986.0,1697.0,703.0,996.0,1566.0,1333.0,1300.0,891.0,158.0,993.0,1385.0,270.0,1753.0,1676.0,1397.0,1171.0,860.0,784.0,510.0,613.0,821.0,669.0,625.0,763.0,682.0,563.0,607.0,495.0
mALb8_cutT1_B,384.0,649.0,594.0,402.0,394.0,371.0,403.0,359.0,836.0,545.0,392.0,896.0,286.0,465.0,717.0,611.0,596.0,554.0,669.0,18.0,477.0,100.0,847.0,456.0,539.0,507.0,238.0,151.0,304.0,140.0,154.0,145.0,113.0,209.0,287.0,186.0,175.0,154.0
mALb8_cutT2_A,868.0,804.0,1535.0,768.0,1093.0,954.0,963.0,649.0,1018.0,1300.0,842.0,1359.0,623.0,1028.0,1564.0,1051.0,996.0,1172.0,674.0,1204.0,564.0,227.0,1883.0,1304.0,1722.0,1524.0,705.0,770.0,747.0,578.0,745.0,860.0,560.0,733.0,713.0,539.0,661.0,969.0
