Binder,N1,N2,N5,N6,N7,N8,P5A,P6A,P7A,P8A,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
N1,,,,,,,,,,,,,,,,,,,,,,
N2,70,,,,,,,,,,,,,,,,,,,,,
N5,51,46,,,,,,,,,,,,,,,,,,,,
N6,36,55,76,,,,,,,,,,,,,,,,,,,
N7,52,52,37,46,,,,,,,,,,,,,,,,,,
N8,35,51,28,42,74,,,,,,,,,,,,,,,,,
P5A,,,,63,38,45,,,,,,,,,,,,,,,,
P6A,,,63,,50,37,66,,,,,,,,,,,,,,,
P7A,,,44,55,,,,,,,,,,,,,,,,,,
P8A,,,45,38,66,,,,76,,,,,,,,,,,,,
Jerala_P1,,,,,,,,,,,,,,,,,,,,,,
Jerala_P2,,,,,,,,,,,62,,,,,,,,,,,
Jerala_P3,,,,,,,,,,,,,,,,,,,,,,
Jerala_P4,,,,,,,,,,,,,57,,,,,,,,,
Jerala_P5,,,,,,,,,,,,,,,,,,,,,,
Jerala_P6,,,,,,,,,,,,,,,50,,,,,,,
Jerala_P7,,,,,,,,,,,,,,,,,,,,,,
Jerala_P8,,,,,,,,,,,,,,,,,47,,,,,
Jerala_P9,,,,,,,,,,,,,,,,,,,,,,
Jerala_P10,,,,,,,,,,,,,,,,,,,54,,,
Jerala_P11,,,,,,,,,,,,,,,,,,,,,,
Jerala_P12,,,,,,,,,,,,,,,,,,,,,52,
