N1,N1,22
N1,N2,70
N1,N5,51
N1,N6,36
N1,N7,52
N1,N8,35
N2,N2,49
N2,N5,46
N2,N6,55
N2,N7,52
N2,N8,51
N5,N5,45
N5,N6,76
N5,N7,37
N5,N8,28
N6,N6,37
N6,N7,46
N6,N8,42
N7,N7,55
N7,N8,48

N5,N5,44
N5,N6,77
N6,N6,42
N6,P5A,63
P5A,P5A,38
N5,P6A,63
P5A,P6A,65
P6A,P6A,27
N6,P5,57
N5,P6,53
P5,P6,45
N6,P5SN,43
N5,P6SN,49

N7,N7,56
N7,N8,76
N8,N8,52
N9,P7A,68
P7A,P7A,38
N8,P7A,68
P7A,P7A,38
N7,P8A,66
P7A,P8A,57
P8A,P8A,28
N8,P7,56
N7,P8,56
P7,P8,43
N8,P7SN,47
N7,P8SN,52
P7SN,P8SN,21

P5A,P5A,38
P5A,P6A,66
P5A,N7,38
P5A,N8,45
P6A,P6A,27
P6A,N7,50
P6A,N8,37

P7A,P7A,45
P7A,P8A,76
P7A,N5,44
P7A,N6,55
P8A,P8A,37
P8A,N5,45
P8A,N8,38

P1,P2,62
P3,P4,57
P5,P6,50
P7,P8,47
P9,P10,54
P11,P12,52





