Binder,N5,N6,N7,N8,P5A,P6A,P7A,P8A,N1,N2,AN3,AN35,AN4,BN3,BN35,BN4,PUMA_M144A_A139G,PUMA_M144A_A139G_A150G,PUMA_M144A_D147G,PUMA_M144A_E132A,PUMA_M144A_E136G,PUMA_M144A_E158A,PUMA_M144A_I137A,PUMA_M144A_R143A,PUMA_M144A_W133F,PUMA_M144A_Y152A,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
N5,252.0,102019.0,1107.0,777.0,810.0,330383.0,559.0,605.0,339.0,1053.0,906.0,484.0,86741.0,341.0,7365.0,11401.0,489.0,2638.0,494.0,7770.0,1248.0,649.0,610.0,2141.0,683.0,834.0,163.0,81.0,131.0,440.0,1105.0,2264.0,294.0,66.0,145.0,59.0,270.0,135.0
N6,47795.0,17.0,1020.0,468.0,47798.0,783.0,2464.0,845.0,231.0,107295.0,899.0,899.0,766.0,427.0,1090.0,151242.0,1448.0,1034.0,706.0,764.0,1668.0,338.0,656.0,626.0,2428.0,6505.0,100.0,189.0,150.0,118.0,3686.0,259.0,273.0,287.0,208.0,525.0,661.0,64.0
N7,1449.0,6645.0,,268528.0,753.0,799.0,580.0,16593.0,377.0,6179.0,826.0,1070.0,1137.0,687.0,1177.0,2241.0,881.0,852.0,1144.0,1056.0,1133.0,802.0,1012.0,975.0,2292.0,1271.0,347.0,353.0,172.0,100.0,266.0,94.0,313.0,385.0,1041.0,241.0,425.0,32.0
N8,442.0,554.0,142539.0,22.0,463.0,2654.0,33157.0,10036.0,231.0,1838.0,738.0,490.0,602.0,632.0,812.0,493.0,924.0,614.0,937.0,1178.0,758.0,902.0,1020.0,814.0,816.0,620.0,383.0,337.0,161.0,76.0,140.0,174.0,3760.0,322.0,143.0,2537.0,558.0,342.0
P5A,3111.0,74455.0,1079.0,585.0,,339642.0,345.0,923.0,553.0,1176.0,954.0,693.0,3353.0,556.0,690.0,753.0,412.0,505.0,922.0,564.0,780.0,740.0,854.0,1311.0,637.0,427.0,130.0,2055.0,123.0,1871.0,4917.0,43883.0,172.0,366.0,60.0,23.0,173.0,437.0
P6A,178054.0,367.0,789.0,875.0,184122.0,10.0,476.0,4252.0,691.0,896.0,843.0,454.0,11870.0,744.0,580.0,17077.0,738.0,767.0,840.0,854.0,1063.0,998.0,424.0,612.0,688.0,574.0,187.0,390.0,77.0,253.0,67431.0,232.0,103.0,179.0,84.0,313.0,186.0,99.0
P7A,1561.0,193.0,717.0,212699.0,407.0,710.0,,230863.0,308.0,2689.0,917.0,453.0,2241.0,230.0,2127.0,2059.0,306.0,356.0,977.0,2971.0,585.0,543.0,575.0,479.0,716.0,603.0,108.0,181.0,219.0,166.0,137.0,68.0,440.0,46666.0,215.0,230.0,103.0,106.0
P8A,615.0,370.0,157743.0,831.0,24971.0,542.0,188292.0,52.0,503.0,12107.0,571.0,5165.0,718.0,353.0,838.0,23979.0,5079.0,630.0,1134.0,979.0,823.0,784.0,886.0,988.0,1139.0,466.0,417.0,212.0,302.0,58.0,100.0,403.0,30952.0,242.0,178.0,192.0,212.0,24.0
N1,58368.0,29231.0,39578.0,65446.0,48381.0,59599.0,37033.0,41085.0,187.0,106936.0,33755.0,67133.0,46904.0,36427.0,62804.0,71206.0,59193.0,52922.0,39181.0,72386.0,47786.0,45088.0,60143.0,56825.0,53418.0,55208.0,15158.0,9560.0,24159.0,11556.0,2267.0,2838.0,2305.0,5963.0,6397.0,15053.0,6025.0,5823.0
N2,891.0,706.0,584.0,607.0,494.0,628.0,404.0,631.0,77317.0,1978.0,560.0,603.0,575.0,535.0,1142.0,574.0,461.0,573.0,906.0,764.0,47307.0,362.0,788.0,701.0,311.0,664.0,148.0,118.0,362.0,472.0,194.0,73.0,1465.0,162.0,47.0,212.0,241.0,3291.0
