Binder,1001__mALb8x1_fdrtc_A,1001__mALb8x1_fdrtc_B,1002__mALb8x1_rprtc_A,1002__mALb8x1_rprtc_B,1003__mALb8x2_fdrtc_A,1003__mALb8x2_fdrtc_B,1004__mALb8x2_rprtc_A,1004__mALb8x2_rprtc_B,1005__mALb8x12_fdrtc_A,1005__mALb8x12_fdrtc_B,1006__mALb8x12_rprtc_A,1006__mALb8x12_rprtc_B,1007__mALb8x12j_fdrtc_A,1007__mALb8x12j_fdrtc_B,1008__mALb8x12j_rprtc_A,1008__mALb8x12j_rprtc_B,1009__IL8_2H_A,1009__IL8_2H_B,1010__IL9_2H_A,1010__IL9_2H_B,1011__IL14_2H_A,1011__IL14_2H_B,1012__IL8_2Hx1_A,1012__IL8_2Hx1_B,1013__IL9_2Hx1_A,1013__IL9_2Hx1_B,1014__IL9_2Hx2_A,1014__IL9_2Hx2_B,1015__IL9_2Hx12j_A,1015__IL9_2Hx12j_B,1016__IL14_2Hx1_A,1016__IL14_2Hx1_B,1017__IL14_2Hx2_A,1017__IL14_2Hx2_B,1018__BW1_2H_A,1018__BW1_2H_B,1019__BW2_2H_A,1019__BW2_2H_B,1020__BW3_2H_A,1020__BW3_2H_B,1021__BW5_2H_A,1021__BW5_2H_B,1022__BW8_2H_A,1022__BW8_2H_B,1023__BW9_2H_A,1023__BW9_2H_B,1024__BW11_2H_A,1024__BW11_2H_B,1025__BW5_2Hx1_A,1025__BW5_2Hx1_B,1026__BW5_2Hx2_A,1026__BW5_2Hx2_B,1027__BW5_2Hx12j_A,1027__BW5_2Hx12j_B,1028__BW8_2Hx1_A,1028__BW8_2Hx1_B,1029__BW8_2Hx2_A,1029__BW8_2Hx2_B,1030__BW8_2Hx12j_A,1030__BW8_2Hx12j_B,1031__BW11_2Hx1_A,1031__BW11_2Hx1_B,1032__BW11_2Hx2_A,1032__BW11_2Hx2_B,1033__BW11_2Hx12j_A,1033__BW11_2Hx12j_B,1034__BW1_2Hx1_A,1034__BW1_2Hx1_B,1035__BW2_2Hx1_A,1035__BW2_2Hx1_B,1036__BW3_2Hx1_A,1036__BW3_2Hx1_B,1037__BW9_2Hx1_A,1037__BW9_2Hx1_B,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
1001__mALb8x1_fdrtc_A,,35752.0,3375.0,22165.0,1200.0,65.0,211.0,750.0,4232.0,263.0,7814.0,287.0,127.0,133.0,6126.0,15129.0,24.0,97.0,139.0,196.0,232.0,121.0,156.0,376.0,333.0,331.0,606.0,3.0,523.0,509.0,286.0,340.0,388.0,136.0,122.0,47.0,169.0,110.0,79.0,150.0,873.0,207.0,237.0,210.0,325.0,483.0,163.0,186.0,118.0,139.0,1085.0,181.0,358.0,138.0,60.0,141.0,99.0,878.0,171.0,131.0,113.0,842.0,,1585.0,63.0,165.0,186.0,181.0,116.0,2409.0,224.0,143.0,373.0,38.0,38.0,74.0,57.0,10.0,52.0,121.0,28.0,87.0,93.0,82.0,19.0,46.0
1001__mALb8x1_fdrtc_B,33811.0,3.0,39141.0,829.0,410.0,444.0,2218.0,8486.0,31290.0,243.0,3238.0,28.0,6190.0,317.0,242.0,1499.0,321.0,477.0,890.0,247.0,610.0,611.0,286.0,885.0,392.0,1026.0,268.0,26.0,1103.0,2127.0,1073.0,479.0,664.0,465.0,314.0,277.0,823.0,286.0,445.0,247.0,29594.0,345.0,364.0,308.0,615.0,955.0,279.0,6184.0,8424.0,721.0,26216.0,472.0,94414.0,10146.0,173.0,729.0,638.0,343.0,246.0,29656.0,464.0,102.0,,36870.0,500.0,63662.0,619.0,303.0,513.0,459.0,461.0,937.0,688.0,182.0,14.0,195.0,92.0,169.0,184.0,218.0,19.0,107.0,152.0,242.0,9952.0,192.0
1002__mALb8x1_rprtc_A,522.0,32563.0,86.0,53223.0,503.0,108.0,543.0,2386.0,409.0,239.0,443.0,1893.0,180.0,146.0,225.0,19502.0,207.0,360.0,162.0,320.0,669.0,337.0,122.0,240.0,542.0,2330.0,349.0,10.0,467.0,379.0,427.0,240.0,322.0,227.0,53.0,253.0,412.0,223.0,1020.0,683.0,1088.0,186.0,451.0,206.0,590.0,256.0,570.0,388.0,430.0,664.0,563.0,322.0,654.0,133.0,143.0,214.0,2913.0,445.0,382.0,345.0,1085.0,297.0,,225.0,29.0,269.0,400.0,219.0,153.0,241.0,285.0,169.0,478.0,156.0,17.0,22.0,61.0,39.0,26.0,19.0,78.0,85.0,25.0,146.0,174.0,106.0
1002__mALb8x1_rprtc_B,33738.0,2083.0,36450.0,4.0,241.0,589.0,1047.0,557.0,76998.0,723.0,8308.0,38.0,3662.0,536.0,730.0,2290.0,74.0,1447.0,552.0,1579.0,4428.0,623.0,133.0,328.0,818.0,1795.0,474.0,37.0,1682.0,4718.0,1554.0,464.0,1422.0,1344.0,127.0,4522.0,740.0,333.0,443.0,3296.0,53900.0,521.0,616.0,6347.0,909.0,490.0,773.0,4413.0,33678.0,422.0,13517.0,885.0,56813.0,25318.0,132.0,610.0,360.0,395.0,690.0,31618.0,201.0,4426.0,,50898.0,897.0,112043.0,4201.0,1253.0,576.0,987.0,488.0,619.0,432.0,189.0,303.0,80.0,97.0,84.0,76.0,43.0,340.0,185.0,105.0,147.0,250.0,150.0
1003__mALb8x2_fdrtc_A,121.0,762.0,280.0,5175.0,4.0,24605.0,2351.0,34773.0,305.0,2789.0,187.0,2211.0,1590.0,311.0,215.0,14047.0,50.0,373.0,210.0,373.0,357.0,206.0,172.0,187.0,853.0,836.0,67.0,35.0,327.0,921.0,775.0,365.0,306.0,341.0,166.0,149.0,349.0,236.0,386.0,166.0,2767.0,257.0,521.0,94.0,568.0,484.0,334.0,363.0,394.0,406.0,350.0,622.0,721.0,277.0,38.0,289.0,589.0,2212.0,293.0,2106.0,621.0,327.0,1.0,284.0,176.0,467.0,368.0,150.0,477.0,268.0,453.0,195.0,1319.0,108.0,20.0,84.0,32.0,57.0,156.0,92.0,,115.0,62.0,31.0,52.0,89.0
1003__mALb8x2_fdrtc_B,229.0,6358.0,90.0,469.0,8612.0,2.0,33901.0,217.0,4873.0,299.0,4510.0,11.0,823.0,162.0,31991.0,3861.0,190.0,807.0,943.0,192.0,2064.0,203.0,2451.0,2026.0,2821.0,14960.0,396.0,7.0,775.0,20213.0,577.0,423.0,449.0,1333.0,1418.0,183.0,291.0,167.0,358.0,1139.0,2822.0,188.0,725.0,280.0,454.0,576.0,349.0,15773.0,3269.0,751.0,12882.0,1762.0,10571.0,19393.0,695.0,216.0,908.0,255.0,357.0,16388.0,676.0,45195.0,22.0,5890.0,677.0,8935.0,15569.0,319.0,267.0,344.0,256.0,29287.0,386.0,114.0,40.0,104.0,153.0,1289.0,101.0,66.0,135.0,92.0,19.0,30.0,169.0,462.0
1004__mALb8x2_rprtc_A,255.0,3333.0,482.0,6630.0,294.0,14595.0,9.0,35187.0,158.0,14376.0,325.0,3262.0,838.0,20849.0,564.0,48723.0,3632.0,759.0,548.0,296.0,307.0,470.0,1242.0,539.0,549.0,16093.0,472.0,14.0,2017.0,1777.0,445.0,347.0,431.0,314.0,80.0,361.0,703.0,219.0,362.0,442.0,937.0,534.0,358.0,1578.0,527.0,605.0,440.0,3684.0,377.0,340.0,978.0,6139.0,993.0,184.0,286.0,501.0,393.0,168.0,284.0,179.0,197.0,369.0,2.0,372.0,73.0,1116.0,559.0,569.0,81.0,463.0,380.0,447.0,477.0,127.0,48.0,75.0,114.0,25.0,69.0,151.0,1.0,159.0,138.0,28.0,284.0,44.0
1004__mALb8x2_rprtc_B,428.0,423.0,11985.0,728.0,10811.0,2146.0,36817.0,486.0,5891.0,895.0,23007.0,287.0,21269.0,1044.0,11026.0,1029.0,1264.0,9700.0,10338.0,2003.0,181.0,401.0,12203.0,17420.0,1423.0,27972.0,328.0,8.0,1584.0,51304.0,324.0,2490.0,854.0,7289.0,422.0,329.0,399.0,434.0,455.0,451.0,57309.0,44.0,421.0,331.0,403.0,6447.0,362.0,24693.0,8609.0,9005.0,3314.0,538.0,14358.0,12177.0,605.0,619.0,346.0,372.0,572.0,30258.0,176.0,19683.0,2.0,17002.0,408.0,39567.0,516.0,195.0,711.0,285.0,2489.0,25225.0,1418.0,1839.0,2430.0,3208.0,36.0,33.0,289.0,87.0,31.0,14.0,47.0,70.0,155.0,1486.0
1005__mALb8x12_fdrtc_A,216.0,38206.0,284.0,38195.0,757.0,3245.0,117.0,28289.0,305.0,3032.0,587.0,1207.0,169.0,936.0,208.0,62044.0,36.0,381.0,338.0,173.0,116.0,393.0,93.0,1010.0,307.0,476.0,179.0,3.0,614.0,930.0,2212.0,329.0,382.0,521.0,116.0,182.0,263.0,526.0,185.0,215.0,703.0,105.0,319.0,165.0,3670.0,201.0,443.0,237.0,4290.0,198.0,234.0,1417.0,741.0,743.0,39.0,725.0,226.0,272.0,250.0,168.0,369.0,493.0,,227.0,756.0,297.0,395.0,104.0,269.0,285.0,343.0,303.0,313.0,104.0,,145.0,217.0,130.0,10.0,132.0,55.0,27.0,27.0,47.0,109.0,2.0
1005__mALb8x12_fdrtc_B,1643.0,5430.0,516.0,705.0,872.0,3734.0,23609.0,571.0,9408.0,,21916.0,81.0,1808.0,114.0,18725.0,28646.0,70.0,1762.0,4344.0,397.0,363.0,487.0,3973.0,2618.0,1045.0,13275.0,650.0,5.0,2707.0,15706.0,821.0,1861.0,4101.0,820.0,160.0,1066.0,2253.0,3545.0,1423.0,556.0,3731.0,242.0,899.0,436.0,339.0,566.0,213.0,36717.0,1371.0,2200.0,32327.0,490.0,19010.0,9517.0,329.0,523.0,895.0,2541.0,82.0,27156.0,190.0,43792.0,,6654.0,116.0,18065.0,5345.0,701.0,637.0,346.0,199.0,19244.0,689.0,754.0,9.0,76.0,85.0,4994.0,12.0,117.0,108.0,2630.0,2330.0,1188.0,66.0,1640.0
