Binder1,1001__mALb8x1_fdrtc_A,1001__mALb8x1_fdrtc_B,1002__mALb8x1_rprtc_A,1002__mALb8x1_rprtc_B,1003__mALb8x2_fdrtc_A,1003__mALb8x2_fdrtc_B,1004__mALb8x2_rprtc_A,1004__mALb8x2_rprtc_B,1005__mALb8x12_fdrtc_A,1005__mALb8x12_fdrtc_B,1006__mALb8x12_rprtc_A,1006__mALb8x12_rprtc_B,1007__mALb8x12j_fdrtc_A,1007__mALb8x12j_fdrtc_B,1008__mALb8x12j_rprtc_A,1008__mALb8x12j_rprtc_B,1009__IL8_2H_A,1009__IL8_2H_B,1010__IL9_2H_A,1010__IL9_2H_B,1011__IL14_2H_A,1011__IL14_2H_B,1012__IL8_2Hx1_A,1012__IL8_2Hx1_B,1013__IL9_2Hx1_A,1013__IL9_2Hx1_B,1014__IL9_2Hx2_A,1014__IL9_2Hx2_B,1015__IL9_2Hx12j_A,1015__IL9_2Hx12j_B,1016__IL14_2Hx1_A,1016__IL14_2Hx1_B,1017__IL14_2Hx2_A,1017__IL14_2Hx2_B,1018__BW1_2H_A,1018__BW1_2H_B,1019__BW2_2H_A,1019__BW2_2H_B,1020__BW3_2H_A,1020__BW3_2H_B,1021__BW5_2H_A,1021__BW5_2H_B,1022__BW8_2H_A,1022__BW8_2H_B,1023__BW9_2H_A,1023__BW9_2H_B,1024__BW11_2H_A,1024__BW11_2H_B,1025__BW5_2Hx1_A,1025__BW5_2Hx1_B,1026__BW5_2Hx2_A,1026__BW5_2Hx2_B,1027__BW5_2Hx12j_A,1027__BW5_2Hx12j_B,1028__BW8_2Hx1_A,1028__BW8_2Hx1_B,1029__BW8_2Hx2_A,1029__BW8_2Hx2_B,1030__BW8_2Hx12j_A,1030__BW8_2Hx12j_B,1031__BW11_2Hx1_A,1031__BW11_2Hx1_B,1032__BW11_2Hx2_A,1032__BW11_2Hx2_B,1033__BW11_2Hx12j_A,1033__BW11_2Hx12j_B,1034__BW1_2Hx1_A,1034__BW1_2Hx1_B,1035__BW2_2Hx1_A,1035__BW2_2Hx1_B,1036__BW3_2Hx1_A,1036__BW3_2Hx1_B,1037__BW9_2Hx1_A,1037__BW9_2Hx1_B,Jerala_P1,Jerala_P10,Jerala_P11,Jerala_P12,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9
1001__mALb8x1_fdrtc_A,,1046.0,985.0,745.0,1255.0,638.0,1044.0,926.0,1344.0,1305.0,622.0,126.0,623.0,470.0,1071.0,945.0,257.0,541.0,999.0,778.0,2159.0,467.0,374.0,1786.0,1325.0,1296.0,599.0,117.0,2416.0,2257.0,2215.0,1284.0,1046.0,603.0,763.0,434.0,948.0,1743.0,452.0,988.0,2295.0,1354.0,1951.0,772.0,934.0,2086.0,1092.0,536.0,560.0,999.0,1226.0,1155.0,994.0,694.0,486.0,766.0,1003.0,297.0,903.0,867.0,273.0,659.0,1.0,1451.0,877.0,1341.0,1328.0,711.0,870.0,742.0,1414.0,613.0,1443.0,455.0,514.0,1140.0,191.0,129.0,1097.0,530.0,306.0,921.0,473.0,175.0,1230.0,541.0
1001__mALb8x1_fdrtc_B,951.0,,1632.0,6044.0,2302.0,1905.0,4582.0,2357.0,1448.0,2227.0,1234.0,267.0,1604.0,1809.0,1982.0,3718.0,676.0,2103.0,3098.0,2668.0,4596.0,2933.0,1490.0,2357.0,2479.0,4131.0,2314.0,330.0,7489.0,2691.0,4884.0,2071.0,2714.0,1897.0,1591.0,1975.0,2297.0,3463.0,1777.0,1768.0,2731.0,3332.0,3378.0,2707.0,3262.0,2681.0,2670.0,562.0,2835.0,5054.0,1780.0,2439.0,3412.0,1185.0,1288.0,2606.0,3765.0,2251.0,1871.0,2343.0,1261.0,196.0,14.0,1691.0,293.0,2684.0,2479.0,1586.0,3257.0,3049.0,2998.0,861.0,2821.0,790.0,448.0,1861.0,950.0,1207.0,2032.0,743.0,2003.0,2500.0,1235.0,395.0,1327.0,2143.0
1002__mALb8x1_rprtc_A,2411.0,1230.0,774.0,2526.0,1041.0,1127.0,2963.0,1048.0,1806.0,2367.0,2343.0,417.0,901.0,1064.0,2034.0,1014.0,433.0,2193.0,1607.0,2134.0,5350.0,1374.0,471.0,1086.0,1621.0,2264.0,1336.0,287.0,2654.0,3055.0,2393.0,965.0,1396.0,1400.0,666.0,1526.0,2548.0,3089.0,1958.0,1991.0,4813.0,1245.0,4258.0,1449.0,2911.0,1518.0,2988.0,1577.0,2074.0,3648.0,2677.0,2156.0,2050.0,617.0,1637.0,1035.0,3006.0,1814.0,2091.0,1634.0,374.0,830.0,8.0,1407.0,189.0,2077.0,1818.0,821.0,964.0,1155.0,1466.0,867.0,2243.0,899.0,400.0,1810.0,1458.0,606.0,235.0,569.0,771.0,358.0,275.0,869.0,1510.0,825.0
1002__mALb8x1_rprtc_B,1407.0,3331.0,1975.0,67.0,1374.0,1881.0,4592.0,3703.0,4356.0,3805.0,2252.0,581.0,1907.0,2256.0,2766.0,5435.0,556.0,1695.0,5971.0,3669.0,5503.0,2941.0,923.0,2173.0,2971.0,4097.0,2699.0,401.0,6096.0,5740.0,5552.0,1356.0,3860.0,3625.0,1282.0,4223.0,3749.0,5017.0,2012.0,3502.0,2870.0,4159.0,4952.0,3351.0,3592.0,2785.0,2527.0,722.0,2072.0,2540.0,1587.0,4841.0,2298.0,2575.0,1217.0,2936.0,3722.0,1734.0,5090.0,2122.0,977.0,819.0,10.0,2667.0,438.0,4610.0,2461.0,2022.0,3718.0,4323.0,2878.0,1458.0,2153.0,874.0,2248.0,1454.0,1868.0,2166.0,986.0,1374.0,873.0,1305.0,460.0,1230.0,2003.0,737.0
1003__mALb8x2_fdrtc_A,539.0,3422.0,1877.0,4263.0,68.0,1153.0,1776.0,1234.0,1292.0,2637.0,776.0,259.0,716.0,889.0,1583.0,1319.0,529.0,2225.0,2662.0,4507.0,2294.0,1432.0,472.0,876.0,3847.0,2460.0,547.0,196.0,1961.0,4755.0,3098.0,1048.0,1349.0,2446.0,1227.0,1337.0,3362.0,3205.0,1886.0,1374.0,2558.0,2453.0,3361.0,278.0,3006.0,2885.0,1869.0,1698.0,2117.0,1773.0,1535.0,3104.0,2518.0,1044.0,389.0,1103.0,3780.0,1449.0,1006.0,942.0,474.0,1606.0,7.0,2316.0,221.0,2076.0,1828.0,562.0,2481.0,1583.0,2020.0,1055.0,2520.0,654.0,551.0,1034.0,289.0,727.0,764.0,690.0,1368.0,1218.0,1378.0,4.0,1535.0,1030.0
1003__mALb8x2_fdrtc_B,1527.0,3411.0,632.0,4278.0,594.0,,1290.0,2281.0,1597.0,2636.0,418.0,230.0,994.0,1450.0,2307.0,2161.0,587.0,1107.0,3426.0,2752.0,2554.0,865.0,1574.0,2173.0,772.0,2711.0,1667.0,220.0,2736.0,2418.0,3058.0,1422.0,1789.0,1782.0,685.0,1723.0,2001.0,2446.0,1316.0,1698.0,2269.0,1764.0,4826.0,1731.0,2352.0,1701.0,2540.0,2048.0,927.0,1989.0,1696.0,1355.0,2924.0,1421.0,1158.0,1287.0,2484.0,1367.0,2421.0,1508.0,770.0,1867.0,7.0,1790.0,260.0,1594.0,2666.0,1765.0,1312.0,1150.0,1777.0,1295.0,1309.0,748.0,1039.0,505.0,859.0,815.0,818.0,988.0,747.0,1372.0,543.0,1359.0,1540.0,652.0
1004__mALb8x2_rprtc_A,1354.0,3368.0,2782.0,4052.0,1064.0,583.0,5.0,1218.0,1800.0,1069.0,1911.0,184.0,1087.0,1007.0,3213.0,2027.0,364.0,2497.0,5155.0,3620.0,2455.0,3086.0,637.0,2120.0,2397.0,2635.0,2701.0,280.0,4497.0,4145.0,3510.0,976.0,2043.0,1699.0,928.0,1947.0,4039.0,3401.0,2358.0,2908.0,3582.0,4122.0,2631.0,1619.0,2264.0,3024.0,2201.0,2314.0,2174.0,2866.0,3232.0,3705.0,2916.0,598.0,1767.0,1941.0,2983.0,770.0,1561.0,794.0,1051.0,1867.0,33.0,2013.0,254.0,1593.0,2099.0,1578.0,405.0,2210.0,2273.0,2319.0,2373.0,1022.0,1117.0,526.0,2063.0,741.0,984.0,1251.0,545.0,534.0,1685.0,9.0,1516.0,1317.0
1004__mALb8x2_rprtc_B,1202.0,2287.0,1458.0,4327.0,965.0,1319.0,2091.0,894.0,280.0,2581.0,770.0,180.0,913.0,721.0,752.0,1895.0,333.0,1143.0,3240.0,3209.0,1540.0,1494.0,1348.0,781.0,2174.0,3112.0,1910.0,160.0,2859.0,3106.0,1779.0,1662.0,3586.0,1752.0,300.0,2351.0,2324.0,3934.0,1853.0,1466.0,2495.0,1427.0,1756.0,1701.0,1760.0,2379.0,2038.0,1295.0,782.0,1937.0,438.0,2777.0,2478.0,722.0,648.0,892.0,2404.0,1938.0,1826.0,1462.0,570.0,1066.0,6.0,787.0,746.0,1707.0,1713.0,1011.0,1515.0,2240.0,2326.0,1545.0,3656.0,484.0,702.0,478.0,1236.0,536.0,612.0,146.0,292.0,2607.0,605.0,804.0,294.0,198.0
1005__mALb8x12_fdrtc_A,1471.0,1553.0,1741.0,2071.0,630.0,1126.0,959.0,1196.0,736.0,910.0,2368.0,209.0,940.0,1141.0,2344.0,1806.0,466.0,2023.0,2651.0,2652.0,2370.0,1942.0,690.0,1098.0,1542.0,2930.0,1186.0,143.0,3463.0,4544.0,1954.0,1032.0,2056.0,856.0,1056.0,1570.0,1811.0,3165.0,1339.0,1506.0,3287.0,1104.0,3028.0,956.0,2362.0,1756.0,2301.0,1120.0,1328.0,1552.0,1196.0,1469.0,1723.0,1161.0,517.0,1170.0,1822.0,976.0,1262.0,1375.0,1318.0,1825.0,9.0,1682.0,232.0,1888.0,1939.0,765.0,1316.0,1066.0,1381.0,1328.0,1724.0,980.0,1.0,868.0,1197.0,50.0,1423.0,1133.0,1436.0,498.0,1552.0,872.0,528.0,382.0
1005__mALb8x12_fdrtc_B,1088.0,3455.0,2385.0,4836.0,1624.0,1127.0,1603.0,2785.0,2913.0,,570.0,273.0,1830.0,733.0,1460.0,3633.0,427.0,2006.0,4718.0,2974.0,4207.0,2088.0,980.0,1442.0,2252.0,2687.0,965.0,195.0,3505.0,4541.0,2572.0,1297.0,2932.0,1807.0,740.0,3096.0,3290.0,2014.0,1703.0,1238.0,2373.0,3228.0,3144.0,1404.0,1496.0,2190.0,2038.0,1908.0,1863.0,1819.0,2379.0,2601.0,2989.0,467.0,1866.0,2603.0,3275.0,1686.0,490.0,1400.0,944.0,1457.0,11.0,2489.0,204.0,2429.0,2388.0,1105.0,3407.0,2034.0,863.0,682.0,2050.0,890.0,353.0,554.0,732.0,555.0,1521.0,1627.0,2260.0,475.0,1818.0,1510.0,1653.0,1748.0
