Binder1,2CDP06,BCDP01,BECM01,Bcl-2,Bcl-B,Bcl-w,Bcl-xL,Bfl-1,FECM04,Mcl1[151-321],XCDP07,alphaBCL2,alphaBCLB,alphaBFL1,alphaMCL1
2CDP06,38,49,108,4284,235,2629,64,82,84,65,5,59,182,167,55
BCDP01,425,633,115,9256,141364,336,10986,6965,817,8937,95,136,339,360,409
BECM01,109,98,17,102,14176,39,1828,2569,138,185,24,39,60,39,44
Bcl-2,17078,23707,1154,202,4077,111,959,417,248520,846,1874,5243,457,21153,148
Bcl-B,660,43468,14903,258,17106,526,593,3334,1290,781,43408,1475,109944,660,1722
Bcl-w,29228,4106,87,90,638,111,120,128,538,139,866,5326,4254,1869,2184
Bcl-xL,117,16944,1247,338,779,86,315,257,25411,287,206,216,210,63608,127
Bfl-1,956,9800,1140,65,476,120,291,154,19887,465,25,130,10644,7256,2424
FECM04,59,76,21,1990,513,166,5334,3976,138,8311,9,43,57,60,124
Mcl1[151-321],113,7982,145,76,502,42,411,133,582,155,2674,88,101,2342,9811
XCDP07,1463,589,109,1013,36753,8684,18325,371,701,172788,71,17375,342,302,1998
alphaBCL2,172,42,5,198,68,2237,226,40,4607,165,7,18,15,44,58
alphaBCLB,77,260,66,61,45245,49,114,9017,341,2735,29,92,143,497,57
alphaBFL1,133,5300,26,7087,513,102,17428,19288,304,355,43,40,164,321,78
alphaMCL1,824,11160,32,41,4121,420,109,276,10121,24446,383,103,94,530,207
