Binder1,2CDP06,BCDP01,BECM01,Bcl-2,Bcl-B,Bcl-w,Bcl-xL,Bfl-1,FECM04,Mcl1[151-321],XCDP07,alphaBCL2,alphaBCLB,alphaBFL1,alphaMCL1
2CDP06,1902,2519,4179,623,13850,4863,3603,1927,3103,6318,6,2908,8820,10995,2809
BCDP01,5923,4784,1226,489,10148,2399,4033,1728,8295,2045,1262,399,2139,4138,11996
BECM01,6093,1354,6,742,2481,2912,3075,799,2300,2397,1259,1428,1141,79,2270
Bcl-2,748,8182,4606,763,5274,1023,2958,3371,5648,9012,610,2333,984,2397,797
Bcl-B,10924,6324,4024,2509,60938,14712,19021,29334,17368,19571,13225,11805,11884,10287,6783
Bcl-w,6817,7225,2825,2687,31046,8394,4965,5695,12810,6455,354,57070,2436,7411,3397
Bcl-xL,1534,3495,2395,3752,13117,3289,10968,9847,8647,4128,87,2439,2853,6437,7562
Bfl-1,4704,2644,3467,538,10245,4653,10622,7051,3296,14828,694,3690,7163,912,8596
FECM04,3237,712,754,4082,15361,5279,1384,1465,5817,14219,594,1624,2547,1534,8603
Mcl1[151-321],3422,2059,943,862,15551,1981,10701,4829,9651,5266,2648,3385,1476,4252,1729
XCDP07,3377,2321,295,232,3213,983,2264,3369,775,17870,33,747,990,2089,1505
alphaBCL2,13821,1190,3,343,2007,3254,2655,3334,1578,3448,244,827,59,2595,4897
alphaBCLB,1003,1509,3331,404,5391,2589,1537,3562,887,5798,249,2860,1286,13563,1218
alphaBFL1,6871,4088,907,907,14513,5345,4564,3194,8431,8120,171,521,5400,5588,4043
alphaMCL1,5613,3008,829,647,5310,6343,3016,4755,11999,2911,2497,6006,2068,7458,4718
