Binder1,2CDP06,BCDP01,BECM01,Bcl-2,Bcl-B,Bcl-w,Bcl-xL,Bfl-1,FECM04,Mcl1[151-321],XCDP07,alphaBCL2,alphaBCLB,alphaBFL1,alphaMCL1
2CDP06,8,1123,845,6881,3673,911,870,1353,1115,1860,205,1202,831,1751,1229
BCDP01,2538,4864,7418,9433,285929,1651,6745,42071,4743,101986,1236,3667,7294,8118,5904
BECM01,1811,8275,4187,2324,183089,1481,2027,21019,2636,11216,529,1694,4909,5332,3844
Bcl-2,8438,10889,2030,1715,10054,166,469,2271,14314,2866,1184,12761,1590,18124,1300
Bcl-B,6453,148095,77386,3774,1093,1347,4116,9680,9261,16030,6947,5833,95229,14656,18777
Bcl-w,1460,5193,729,151,1535,44,78,354,1050,548,1181,986,269,1569,269
Bcl-xL,316,5946,1517,336,3060,45,44,779,5599,1011,359,1219,535,5568,598
Bfl-1,771,17342,18056,1584,13658,3366,1328,2465,20465,4380,368,1220,2375,38446,8416
FECM04,767,1438,874,3407,6240,664,2183,16861,945,4886,137,404,1130,1504,1902
Mcl1[151-321],992,30617,5212,1687,14078,644,607,3466,7380,3361,1609,901,3010,7778,34855
XCDP07,1174,6258,3630,6120,212432,2028,3030,5830,2467,48913,370,2025,4575,3742,2466
alphaBCL2,459,725,603,3522,2192,459,209,775,506,762,77,106,450,645,447
alphaBCLB,1697,5989,3393,1534,164246,417,985,4222,2742,8049,498,1598,3249,3957,2722
alphaBFL1,787,3366,1822,4483,12615,617,3875,45510,1759,9164,235,1725,1669,771,1445
alphaMCL1,594,2744,1704,586,12004,177,338,5662,1114,46823,298,882,1790,2100,1164
