Binder1,2CDP06,BCDP01,BECM01,Bcl-2,Bcl-B,Bcl-w,Bcl-xL,Bfl-1,FECM04,Mcl1[151-321],XCDP07,alphaBCL2,alphaBCLB,alphaBFL1,alphaMCL1
2CDP06,153,11188,10174,4361,25903,4840,5016,8989,15362,22149,2307,9792,11107,18577,335018
BCDP01,16257,1076,9991,5000,31856,5548,3279,11389,15351,21209,2920,20796,12867,20953,23672
BECM01,17280,12410,9031,5752,28449,5001,4314,10926,12651,18335,3637,16195,13706,30279,19925
Bcl-2,5066,5018,4774,3492,16111,1287,1552,3878,4309,7011,961,4244,5070,8501,7505
Bcl-B,41065,29484,20283,11240,586,9875,8609,25072,32384,44382,8069,32142,24285,47620,40916
Bcl-w,4536,3623,4308,2599,9904,679,732,3121,4289,4316,784,4573,3656,4898,6207
Bcl-xL,2924,3051,1878,876,9712,527,56,2301,2974,3573,3323,4719,2889,3681,4051
Bfl-1,9182,7443,7589,5096,20127,2496,2425,3335,6721,11067,1664,7382,8024,9606,13591
FECM04,9389,8442,7248,2777,22935,3650,2706,8501,7663,11931,1606,8075,10066,15989,11748
Mcl1[151-321],9347,11477,7968,4098,19552,2013,1936,7282,8777,4936,2070,8790,10304,13738,11884
XCDP07,11349,6804,6572,3256,24752,2188,2145,5969,8574,10848,695,6651,7288,10580,10619
alphaBCL2,8165,6432,5870,2649,16502,2669,1579,5781,6238,8939,1770,2153,7112,11828,11492
alphaBCLB,17537,13886,10330,6562,30109,4554,4418,11961,14578,21979,4159,19627,8010,24575,21093
alphaBFL1,13920,12476,10172,4698,34596,3986,3066,10719,11538,16689,2509,15257,12279,2260,19340
alphaMCL1,10218,9809,9565,3453,27384,3012,2322,5932,7601,11830,3279,8717,8230,13820,7951
