Binder1,2CDP06,BCDP01,BECM01,Bcl-2,Bcl-B,Bcl-w,Bcl-xL,Bfl-1,FECM04,Mcl1[151-321],XCDP07,alphaBCL2,alphaBCLB,alphaBFL1,alphaMCL1
2CDP06,1,829,595,625,1477,493,242,262,174,156,185,128,686,318,555
BCDP01,340,2301,3043,2218,26614,232,502,3014,459,1739,563,228,3446,835,890
BECM01,529,8348,6158,1273,66723,412,2787,10478,878,1133,1027,329,7406,1362,1696
Bcl-2,432,1642,989,136,1186,215,706,1442,707,166,197,444,725,848,296
Bcl-B,2151,158820,130751,4451,2404,1715,4950,7820,4383,4879,18612,1864,165467,8466,17440
Bcl-w,290,286,178,32,222,211,27,48,73,41,34,34,153,253,53
Bcl-xL,158,4182,1867,303,2189,249,87,485,1930,194,890,223,1279,2107,315
Bfl-1,298,14749,7464,513,4816,174,602,683,5147,597,568,220,3503,7661,1855
FECM04,160,915,735,4744,1229,291,503,1484,145,217,119,124,852,239,343
Mcl1[151-321],309,12177,2444,342,3901,118,455,689,550,384,3779,155,3037,1108,10447
XCDP07,249,2967,2233,558,19979,250,346,771,303,3882,291,149,2701,702,589
alphaBCL2,113,707,695,929,999,696,516,414,138,158,84,44,736,240,265
alphaBCLB,870,6399,4786,773,56135,431,538,1553,711,855,793,352,5504,1136,1393
alphaBFL1,298,1911,1582,2251,2972,1073,2581,4257,310,447,247,200,2037,170,537
alphaMCL1,144,1190,986,176,1981,121,126,770,193,5383,340,140,1254,324,281
