Binder,A_HT_DHD_100,B_HT_DHD_100,A_HT_DHD_10,B_HT_DHD_10,A_HT_DHD_11,B_HT_DHD_11,A_HT_DHD_12,B_HT_DHD_12,A_HT_DHD_13,B_HT_DHD_13,A_HT_DHD_14,B_HT_DHD_14,A_HT_DHD_15,B_HT_DHD_15,A_HT_DHD_16,B_HT_DHD_16,A_HT_DHD_17,B_HT_DHD_17,A_HT_DHD_18,B_HT_DHD_18,A_HT_DHD_19,B_HT_DHD_19,A_HT_DHD_1,B_HT_DHD_1,A_HT_DHD_20,B_HT_DHD_20,A_HT_DHD_21,B_HT_DHD_21,A_HT_DHD_22,B_HT_DHD_22,A_HT_DHD_23,B_HT_DHD_23,A_HT_DHD_24,B_HT_DHD_24,A_HT_DHD_25,B_HT_DHD_25,A_HT_DHD_26,B_HT_DHD_26,A_HT_DHD_27,B_HT_DHD_27,A_HT_DHD_28,B_HT_DHD_28,A_HT_DHD_29,B_HT_DHD_29,A_HT_DHD_2,B_HT_DHD_2,A_HT_DHD_30,B_HT_DHD_30,A_HT_DHD_31,B_HT_DHD_31,A_HT_DHD_32,B_HT_DHD_32,A_HT_DHD_33,B_HT_DHD_33,A_HT_DHD_34,B_HT_DHD_34,A_HT_DHD_35,B_HT_DHD_35,A_HT_DHD_36,B_HT_DHD_36,A_HT_DHD_37,B_HT_DHD_37,A_HT_DHD_38,B_HT_DHD_38,A_HT_DHD_39,B_HT_DHD_39,A_HT_DHD_3,B_HT_DHD_3,A_HT_DHD_40,B_HT_DHD_40,A_HT_DHD_41,B_HT_DHD_41,A_HT_DHD_42,B_HT_DHD_42,A_HT_DHD_43,B_HT_DHD_43,A_HT_DHD_44,B_HT_DHD_44,A_HT_DHD_45,B_HT_DHD_45,A_HT_DHD_46,B_HT_DHD_46,A_HT_DHD_47,B_HT_DHD_47,A_HT_DHD_48,B_HT_DHD_48,A_HT_DHD_49,B_HT_DHD_49,A_HT_DHD_4,B_HT_DHD_4,A_HT_DHD_50,B_HT_DHD_50,A_HT_DHD_51,B_HT_DHD_51,A_HT_DHD_52,B_HT_DHD_52,A_HT_DHD_53,B_HT_DHD_53,A_HT_DHD_54,B_HT_DHD_54,A_HT_DHD_55,B_HT_DHD_55,A_HT_DHD_56,B_HT_DHD_56,A_HT_DHD_57,B_HT_DHD_57,A_HT_DHD_58,B_HT_DHD_58,A_HT_DHD_59,B_HT_DHD_59,A_HT_DHD_5,B_HT_DHD_5,A_HT_DHD_60,B_HT_DHD_60,A_HT_DHD_61,B_HT_DHD_61,A_HT_DHD_62,B_HT_DHD_62,A_HT_DHD_63,B_HT_DHD_63,A_HT_DHD_64,B_HT_DHD_64,A_HT_DHD_65,B_HT_DHD_65,A_HT_DHD_66,B_HT_DHD_66,A_HT_DHD_67,B_HT_DHD_67,A_HT_DHD_68,B_HT_DHD_68,A_HT_DHD_69,B_HT_DHD_69,A_HT_DHD_6,B_HT_DHD_6,A_HT_DHD_70,B_HT_DHD_70,A_HT_DHD_71,B_HT_DHD_71,A_HT_DHD_72,B_HT_DHD_72,A_HT_DHD_73,B_HT_DHD_73,A_HT_DHD_74,B_HT_DHD_74,A_HT_DHD_75,B_HT_DHD_75,A_HT_DHD_76,B_HT_DHD_76,A_HT_DHD_77,B_HT_DHD_77,A_HT_DHD_78,B_HT_DHD_78,A_HT_DHD_79,B_HT_DHD_79,A_HT_DHD_7,B_HT_DHD_7,A_HT_DHD_80,B_HT_DHD_80,A_HT_DHD_81,B_HT_DHD_81,A_HT_DHD_82,B_HT_DHD_82,A_HT_DHD_83,B_HT_DHD_83,A_HT_DHD_84,B_HT_DHD_84,A_HT_DHD_85,B_HT_DHD_85,A_HT_DHD_86,B_HT_DHD_86,A_HT_DHD_87,B_HT_DHD_87,A_HT_DHD_88,B_HT_DHD_88,A_HT_DHD_89,B_HT_DHD_89,A_HT_DHD_8,B_HT_DHD_8,A_HT_DHD_90,B_HT_DHD_90,A_HT_DHD_91,B_HT_DHD_91,A_HT_DHD_92,B_HT_DHD_92,A_HT_DHD_93,B_HT_DHD_93,A_HT_DHD_94,B_HT_DHD_94,A_HT_DHD_95,B_HT_DHD_95,A_HT_DHD_96,B_HT_DHD_96,A_HT_DHD_97,B_HT_DHD_97,A_HT_DHD_98,B_HT_DHD_98,A_HT_DHD_99,B_HT_DHD_99,A_HT_DHD_9,B_HT_DHD_9,A_ZCON_13,B_ZCON_13,A_ZCON_150,B_ZCON_150,A_ZCON_154,B_ZCON_154,A_ZCON_155,B_ZCON_155,A_ZCON_15_re_loop,B_ZCON_15_re_loop,A_ZCON_162,B_ZCON_162,A_ZCON_37_3,B_ZCON_37_3,A_ZCON_37,B_ZCON_37,A_ZCON_6,B_ZCON_6,DHDr2_00_A,DHDr2_00_B,DHDr2_01_A,DHDr2_01_B,DHDr2_02_A,DHDr2_02_B,DHDr2_03_A,DHDr2_03_B,DHDr2_04_A,DHDr2_04_B,DHDr2_05_A,DHDr2_05_B,DHDr2_06_A,DHDr2_06_B,DHDr2_07_A,DHDr2_07_B,DHDr2_08_A,DHDr2_08_B,DHDr2_09_A,DHDr2_09_B,DHDr2_10_A,DHDr2_10_B,DHDr2_11_A,DHDr2_11_B,DHDr2_12_A,DHDr2_12_B,DHDr2_13_A,DHDr2_13_B,DHDr2_14_A,DHDr2_14_B,DHDr2_15_A,DHDr2_15_B,DHDr2_16_A,DHDr2_16_B,DHDr2_17_A,DHDr2_17_B,DHDr2_18_A,DHDr2_18_B,DHDr2_19_A,DHDr2_19_B,DHDr2_20_A,DHDr2_20_B,ZCON_150_LL_A,ZCON_150_LL_B,ZCON_150_resurf_A,ZCON_150_resurf_B,ZCON_152_A,ZCON_152_B,ZCON_152_T2_A,ZCON_152_T2_B,ZCON_152_T4_A,ZCON_152_T4_B,ZCON_154_LL_A,ZCON_154_LL_B,ZCON_154_resurf_A,ZCON_154_resurf_B,ZCON_155_LL_A,ZCON_155_LL_B,ZCON_155_cutT2_A,ZCON_155_cutT2_B,ZCON_155_cutT4_A,ZCON_155_cutT4_B,ZCON_155_cutT5_A,ZCON_155_cutT5_B,ZCON_155_resurf_A,ZCON_155_resurf_B,ZCON_15_re_loop_LL_A,ZCON_15_re_loop_LL_B,ZCON_15_re_loop_resurf_A,ZCON_15_re_loop_resurf_B,ZCON_2_CC_A,ZCON_2_CC_B,ZCON_2_CC_resurf_A,ZCON_2_CC_resurf_B,ZCON_2_CC_resurf_cutT2_A,ZCON_2_CC_resurf_cutT2_B,ZCON_2_CC_resurf_cutT4_A,ZCON_2_CC_resurf_cutT4_B,ZCON_2_CC_resurf_cutT6_A,ZCON_2_CC_resurf_cutT6_B,ZCON_37_LL_A,ZCON_37_LL_B,ZCON_37_resurf_A,ZCON_37_resurf_B,ZCON_VR_2_A,ZCON_VR_2_B,ZCON_VR_2_cutT2_A,ZCON_VR_2_cutT2_B,ZCON_VR_2_cutT4_A,ZCON_VR_2_cutT4_B,ZCON_VR_2_cutT6_A,ZCON_VR_2_cutT6_B,ZCON_VR_2_resurf_A,ZCON_VR_2_resurf_B,mALb8_A,mALb8_B,mALb8_cutT1_A,mALb8_cutT1_B,mALb8_cutT2_A,mALb8_cutT2_B,mALb8_cutT3_A,mALb8_cutT3_B,mALb8_cutT4_A,mALb8_cutT4_B,alphaBFL1,FECM04,alphaBCLB,BCDP01,BECM01,alphaBCL2,2CDP06,XCDP07,alphaMCL1,Bfl-1,Bcl-B,Bcl-2,Bcl-xL,Bcl-w,Mcl1[151-321]
A_HT_DHD_100,,3,,5,,15,5,2,3,67,,9,1,7,2,4,60,4,11,,1,23,7,,1,,2,,,2,4,3,1,,8,3,,12,1,1,3,1,1,,,1,10,,,17,,2,,3,,,1,5,1,3,2,11,,2,,,,3,1,3,1,,1,1,2,,3,5,11,5,17,,1,7,,10,1,3,12,,,5,,4,5,40,3,9,,,1,4,,14,2,1,,8,,2,6,48,206,1,15,6,1,,4,2,92,13,2,3,24,8,5,1,1,,5,13,2,14,2,10,35,2,,7,3,3,2,,23,2,3,,,2,10,,,,2,1,7,,2,23,,7,,,1,2,6,2,3,1,,,2,8,,4,1,9,,1,3,4,5,10,1,9,5,,1,2,2,1,15,2,64,4,,24,11,4,,6,1,,3,3,1,4,8,291,5,3,2,2,1,2,4,6,,4,,,2,2,3,32,1,10,2,1,3,2,4,,5,4,40,7,4,,10,5,2,,7,4,,,,5,125,2,11,11,4,,1,67,1,2,3,9,1,4,,2,2,5,,,10,10,,2,16,8,1,6,1,7,,1,20,4,30,14,8,2,,2,1,4,1,22,,,,,2,8,3,,8,2,5,7,,1,,,,15,3,,3,2,,,4,1,,,7,1,13,21,34,,8,2,1,4,11,1,2,,1
B_HT_DHD_100,2,8,1,1,1,4,8,5,11,183,1,2,3,9,3,10,48,5,46,,4,3,6,3,7,3,4,1,33,5,8,39,2,2,23,1,3,18,1,7,5,5,5,,2,,1,,2,1,1,1,,4,,1,3,4,,1,5,35,3,2,,,1,44,2,7,1,,3,2,8,2,10,14,27,17,29,5,,16,,20,7,8,13,3,8,14,5,8,17,12,13,21,9,2,2,13,8,21,7,4,20,16,8,4,10,,15,2,22,8,7,9,4,17,145,33,5,1,11,14,11,1,6,,35,381,5,4,2,30,44,17,7,15,2,14,32,,42,7,17,60,2,12,31,2,5,,2,3,27,21,,91,13,53,6,2,2,20,10,12,11,8,1,1,4,14,2,24,1,6,4,3,12,10,11,11,7,24,16,1,18,3,7,,36,7,2,50,1,13,55,4,141,2,1,2,23,14,4,14,14,23,2,15,3,6,2,2,4,3,3,9,2,1,4,4,9,72,2,417,8,12,126,423,21,5,13,2,15,3,6,,4,6,1,,12,5,1,5,3,2,1,5,44,3,8,14,4,147,3,4,2,6,3,11,,9,1,10,1,,39,21,5,8,10,15,4,18,2,1,1,17,22,12,17,111,36,2,,7,1,4,1,13,,3,2,5,5,7,5,,31,13,14,3,2,,2,,21,48,19,2,,8,,6,4,1,,1,4,7,35,56,84,13,31,7,6,11,54,,6,2,8
A_HT_DHD_10,3,2,,1,,6,5,,1,41,,2,1,2,,2,9,3,,,,2,2,1,,,4,,,,19,1,,1,2,,,6,,22,3,9,1,,,,,,3,,,,1,2,,,,2,,1,,2,,1,1,2,,1,,1,,,1,,2,33,3,1,5,23,11,4,,3,,1,8,1,2,,,2,,2,4,6,,2,1,,1,14,1,1,,2,,4,,,13,,3,,27,2,1,1,,4,6,3,2,,1,5,4,,8,,3,2,1,1,,2,,2,1,1,1,,,4,101,8,,1,1,1,1,,1,2,,,4,,1,10,1,,1,1,1,,,1,4,1,,1,5,2,,,,11,,2,,1,2,3,1,6,4,,,2,3,,5,1,,,,4,,1,,1,6,,1,16,1,,1,5,,3,2,,,1,,1,,7,,,1,1,1,11,1,9,1,1,2,,1,3,1,1,,,2,1,,2,2,1,3,,,,,,1,1,,7,3,,4,13,,,,,,1,,,,2,,,4,1,13,3,2,1,,9,1,,,,6,1,7,7,1,,1,,1,,1,1,,3,1,,2,1,35,1,5,2,,,7,,,,,10,2,,,1,1,1,,,,,9,,3,9,7,,5,,4,1,8,5,1,,1
B_HT_DHD_10,,2,29,,,3,,,2,28,,,1,1,1,2,10,1,5,,,,3,,4,,,1,,1,,3,,1,3,,2,9,,,2,1,1,,,,1,,,,,,,2,2,,,1,,1,,9,,3,,,1,21,9,1,,1,,,1,,2,1,4,2,6,3,2,3,,10,,,5,1,1,2,,,4,5,2,8,,,7,1,2,6,1,,,3,,1,3,,2,1,9,5,2,3,2,4,8,3,,,3,,4,4,1,,,,,,,3,,2,,,,5,1,31,6,,1,,,,5,2,4,2,,,2,2,2,11,,,,1,,1,2,2,1,1,,2,1,1,1,,,6,,1,1,1,2,1,5,4,6,,,,11,,8,,,2,,3,,2,,,1,,1,3,,4,,8,1,,,51,,23,,,,2,,1,,1,14,16,,8,,,1,,33,2,2,2,4,2,1,,5,1,1,6,1,1,,1,1,3,,3,1,1,1,,,4,,,12,8,,1,,1,,,1,,2,7,,3,4,4,,3,,,,1,5,2,2,6,,,,1,,3,,2,1,,1,1,1,2,30,,4,3,1,,2,,,3,,5,4,1,,24,,4,,,,,4,,8,16,16,,7,2,3,8,5,2,,1,2
A_HT_DHD_11,,509,1,1,2,3,3,2,8,148,,1,2,6,3,5,35,6,9,,3,116,28,2,14,,2,13,,8,3,5,1,4,9,,,39,2,1,6,1,9,,1,12,,,85,4,2,,,8,,1,7,3,,6,9,29,,3,,,1,7,3,19,,,,1,3,4,9,18,25,6,34,2,,11,2,13,2,5,20,11,1,5,4,7,10,13,10,4,4,4,,15,,27,12,3,,23,6,3,7,,5,3,39,4,11,4,3,12,68,23,3,8,3,11,14,2,,,20,2,8,5,3,21,3,11,2,8,2,10,1,23,33,2,12,,31,2,21,3,8,,,4,18,6,,50,1,5,,2,2,59,2,10,13,1,1,,2,19,4,3,,4,14,1,2,96,4,4,1,25,8,5,5,14,3,1,27,5,2,2,1,14,1,5,,1,9,,14,11,12,8,1,26,100,8,2,5,5,3,3,5,2,12,,,6,7,11,54,5,39,1,17,6,4,50,6,11,12,26,13,12,5,1,7,6,1,12,5,1,,,13,4,1,17,8,2,4,6,139,,1,11,2,,6,,1,1,7,1,3,20,118,5,1,15,14,,12,,1,,4,20,7,23,16,20,3,,4,1,4,,5,5,5,,1,6,7,4,3,18,10,11,6,7,3,,3,4,27,14,1,5,5,3,3,,1,,4,7,2,33,55,70,2,29,,20,8,36,4,1,1,2
B_HT_DHD_11,17,2,,,,2,3,2,2,91,,1,,3,1,2,17,2,6,,1,14,5,2,,1,19,14,,,2,2,,1,6,1,1,4,1,3,6,1,5,,,1,2,1,1,,2,1,1,4,,1,1,1,,1,7,13,1,5,,3,1,6,2,3,1,1,1,1,4,4,8,6,12,2,19,6,3,14,1,11,6,2,6,1,1,5,,1,5,9,4,2,39,,3,2,,10,4,2,1,16,2,,10,,5,3,13,2,1,,1,6,38,6,5,1,5,2,13,11,8,,16,1,1,2,2,10,1,,5,6,1,4,1,3,19,28,10,1,,2,12,2,3,2,,1,10,,,27,1,3,2,,1,,1,6,27,3,2,1,1,5,3,5,,4,13,1,1,7,3,8,7,14,7,1,1,,3,,15,2,13,2,1,12,,1,1,1,1,,6,5,12,11,2,7,11,4,1,10,1,26,2,3,1,4,1,1,2,1,2,32,65,19,5,3,4,1,4,,4,6,4,15,5,3,,6,3,,13,1,2,,6,2,1,3,5,1,1,1,2,27,,,1,1,2,1,1,33,1,60,1,1,350,11,53,1,13,9,1,10,,,,5,7,40,9,8,13,2,2,1,118,1,,3,,3,,,11,10,106,1,13,5,4,2,1,3,1,3,1,27,7,,1,5,,,,,,1,3,8,38,35,40,3,10,1,6,3,35,1,,2,5
A_HT_DHD_12,,18,,1,2,5,3,1,26,323,,6,5,18,2,19,83,10,27,3,3,7,12,1,9,2,14,1,9,2,11,11,12,5,29,6,15,8,4,6,8,2,4,,5,1,1,,3,2,1,1,,13,2,3,9,5,1,3,23,33,6,13,,4,1,18,2,4,3,2,,6,11,5,14,29,52,31,74,5,3,45,4,29,14,8,18,1,2,12,,7,32,73,27,22,6,1,28,29,6,31,9,8,4,37,6,9,24,3,26,7,51,27,24,,9,20,142,57,1,10,7,19,25,6,2,1,31,3,3,6,5,61,4,49,5,17,3,19,5,6,77,21,41,4,2,3,71,58,1,1,1,29,60,9,5,146,6,14,1,12,3,2,34,27,11,7,7,2,2,27,4,8,,18,2,4,5,18,19,23,11,51,30,1,17,9,7,,50,7,7,6,2,43,2,3,3,5,4,4,20,18,3,69,12,48,1,17,12,8,7,9,15,9,,17,1,5,12,7,5,153,8,98,7,10,16,7,16,12,21,12,20,14,15,3,7,15,7,7,27,1,4,2,5,6,11,1,15,4,68,3,5,2693,2,5,85,3,,9,,7,3,813,,,52,51,1,72,12,48,4,36,6,5,2,3,34,13,29,39,28,6,79,5,1,3,,14,2,,3,,13,17,5,6,59,26,15,47,3,3,4,28,3,58,24,2,1,11,17,6,1,6,1,,12,13,63,98,156,5,44,9,19,19,66,4,5,8,16
B_HT_DHD_12,,41,7,4,14,7,33,6,1752,776,,11,1,21,5,535,476,14,41,3,5,23,104,3,19,5,23,3,5,12,36,18,9,13,51,2,4,10,2,20,32,9,24,,6,8,5,,20,7,29,4,2,34,4,5,11,10,2,12,37,77,6,24,1,4,3,38,7,21,4,1,2,7,24,11,31,81,239,43,490,9,12,1426,3,87,13,82,225,5,13,36,7,9,64,73,44,40,7,16,7,41,6,77,26,17,9,87,27,9,6336,4,30,2,163,30,40,6,13,59,276,119,3,21,16,44,47,15,5,,231,10,8,10,8,93,2,36,23,34,9,42,10,8,149,30,62,11,12,5,97,5,12,4,1,9,90,10,9,309,12,14,2,4,3,6,40,30,56,18,4,9,13,79,16,22,17,25,18,4,11,49,41,21,10,113,50,4,13,7,24,,162,14,16,15,5,58,4,6,5,16,16,3,30,43,8,29,20,75,21,44,11,13,78,20,15,7,2,43,2,4,20,68,14,270,7,175,12,11,31,7,30,126,41,17,43,20,27,4,7,25,18,4,74,6,1,1,5,14,16,11,33,13,24,15,25,153,5,12,8,16,9,19,3,16,1,47,1,1,96,78,6,39,20,63,1,57,4,4,1,12,71,31,54,108,63,4,3,13,7,5,,14,2,18,4,7,46,79,6,8,138,45,29,46,11,11,4,8,4,305,41,6,,29,3,3,7,3,5,5,18,28,137,256,291,3,88,22,12,43,127,4,12,5,24
A_HT_DHD_13,,4,1,,,1,3,11,3,59,,,,2,1,1,13,2,10,7,,1,428,1,,1,,4,3,,2,1,4,3,8,,,1,1,3,1,,,,,4,,,2,1,12,,,2,,1,1,1,,2,4,7,1,1,,,,1,1,1,,,1,1,4,2,3,7,12,5,16,1,237,11,1,6,1,1,19,,1,5,,2,6,4,3,8,,,1,4,,5,1,,3,3,2,,1,3,,,11,3,1,1,,4,22,8,1,3,3,4,5,2,1,,6,1,,3,,14,2,2,1,3,17,8,1,,14,2,5,1,2,1,5,1,,,,1,13,,,26,,3,1,1,,,2,3,3,1,1,,,5,,,,4,1,3,1,5,3,2,2,8,6,,3,,,,13,3,2,3,,4,,2,,2,,,8,4,,3,6,9,1,5,,2,1,3,,1,1,2,,1,2,5,,32,1,15,1,1,2,1,5,2,1,,6,2,2,,1,5,2,,43,1,1,,,,2,1,3,3,1,,1,17,,,1,2,1,3,,2,,2,,,15,7,,1,15,4,,6,,,,,9,6,8,7,3,,,2,,20,,6,,,,,4,5,,3,7,2,1,,,,1,,1,13,3,1,,2,1,3,1,,4,1,,2,14,30,24,1,5,,3,2,9,,,,
B_HT_DHD_13,1,6,3,,4,1,3,2,276,97,3,,1,4,12,7,30,5,11,,1,8,7,3,5,,4,13,4,2,2,1,,,18,2,5,2,5,3,27,3,4,,2,4,7,,1,1,8,,1,8,,,2,2,,1,2,16,2,3,1,2,4,6,2,14,,,1,1,5,1,6,11,22,4,28,2,1,11,,8,,2,4,2,,10,1,6,18,10,8,15,2,2,3,7,1,9,3,2,2,12,3,8,33,,12,,19,4,4,3,2,9,44,23,1,2,3,9,9,4,2,,21,,2,3,1,12,2,5,,5,,6,2,8,24,2,8,18,1,3,9,1,4,,,1,17,3,,53,2,4,,3,1,,4,17,5,3,1,2,20,13,1,3,2,9,1,3,1,4,5,4,4,13,15,,4,1,3,2,11,3,2,3,,50,3,4,,5,11,17,8,5,,7,72,18,1,6,4,2,2,5,1,5,2,100,,,1,18,4,63,5,27,4,5,2,3,11,2,8,2,8,2,6,1,1,8,2,,13,,3,1,4,5,2,3,5,2,4,1,4,30,,3,,7,,5,,3,2,11,,2,10,24,,8,31,8,1,14,1,3,4,4,14,6,28,18,30,2,,3,3,,1,7,1,2,,,8,7,1,3,24,11,217,3,98,6,3,1,1,21,9,3,,20,,2,,3,,,6,4,16,40,58,2,11,3,3,11,45,3,1,,3
