,trp1_l45,his1_l45,trp1_l66,his1_l66
DBD:2CDP06:AD:2CDP06,153,8,5,1
DBD:2CDP06:AD:BCDP01,11188,1123,1121,734
DBD:2CDP06:AD:BECM01,10174,845,1247,152
DBD:2CDP06:AD:Bcl-2,4361,6881,1377,5169
DBD:2CDP06:AD:Bcl-B,25903,3673,1007,92
DBD:2CDP06:AD:Bcl-w,4840,911,2808,7222
DBD:2CDP06:AD:Bcl-xL,5016,870,2282,1024
DBD:2CDP06:AD:Bfl-1,8989,1353,2233,243
DBD:2CDP06:AD:FECM04,15362,1115,1292,106
DBD:2CDP06:AD:Mcl1[151-321],22149,1860,2633,397
DBD:2CDP06:AD:XCDP07,2307,205,424,41
DBD:2CDP06:AD:alphaBCL2,9792,1202,1895,315
DBD:2CDP06:AD:alphaBCLB,11107,831,1085,211
DBD:2CDP06:AD:alphaBFL1,18577,1751,1217,153
DBD:2CDP06:AD:alphaMCL1,335018,1229,1222,192
DBD:BCDP01:AD:2CDP06,16257,2538,1497,1008
DBD:BCDP01:AD:BCDP01,1076,4864,42,43
DBD:BCDP01:AD:BECM01,9991,7418,1503,314
DBD:BCDP01:AD:Bcl-2,5000,9433,1663,9039
DBD:BCDP01:AD:Bcl-B,31856,285929,1314,1509
DBD:BCDP01:AD:Bcl-w,5548,1651,3784,1210
DBD:BCDP01:AD:Bcl-xL,3279,6745,1711,11757
DBD:BCDP01:AD:Bfl-1,11389,42071,1600,7267
DBD:BCDP01:AD:FECM04,15351,4743,1623,555
DBD:BCDP01:AD:Mcl1[151-321],21209,101986,2498,3519
DBD:BCDP01:AD:XCDP07,2920,1236,420,330
DBD:BCDP01:AD:alphaBCL2,20796,3667,2000,267
DBD:BCDP01:AD:alphaBCLB,12867,7294,1313,135
DBD:BCDP01:AD:alphaBFL1,20953,8118,1490,378
DBD:BCDP01:AD:alphaMCL1,23672,5904,1210,366
DBD:BECM01:AD:2CDP06,17280,1811,1388,124
DBD:BECM01:AD:BCDP01,12410,8275,1403,108
DBD:BECM01:AD:BECM01,9031,4187,40,8
DBD:BECM01:AD:Bcl-2,5752,2324,1988,571
DBD:BECM01:AD:Bcl-B,28449,183089,1443,698
DBD:BECM01:AD:Bcl-w,5001,1481,3572,1104
DBD:BECM01:AD:Bcl-xL,4314,2027,1940,7583
DBD:BECM01:AD:Bfl-1,10926,21019,1702,7948
DBD:BECM01:AD:FECM04,12651,2636,1508,274
DBD:BECM01:AD:Mcl1[151-321],18335,11216,3241,730
DBD:BECM01:AD:XCDP07,3637,529,514,90
DBD:BECM01:AD:alphaBCL2,16195,1694,1856,317
DBD:BECM01:AD:alphaBCLB,13706,4909,1104,120
DBD:BECM01:AD:alphaBFL1,30279,5332,1478,151
DBD:BECM01:AD:alphaMCL1,19925,3844,1435,178
DBD:Bcl-2:AD:2CDP06,5066,8438,912,1291
DBD:Bcl-2:AD:BCDP01,5018,10889,969,1830
DBD:Bcl-2:AD:BECM01,4774,2030,1222,255
DBD:Bcl-2:AD:Bcl-2,3492,1715,992,241
DBD:Bcl-2:AD:Bcl-B,16111,10054,1228,284
DBD:Bcl-2:AD:Bcl-w,1287,166,4270,464
DBD:Bcl-2:AD:Bcl-xL,1552,469,2291,2043
DBD:Bcl-2:AD:Bfl-1,3878,2271,2724,904
DBD:Bcl-2:AD:FECM04,4309,14314,1524,2322
DBD:Bcl-2:AD:Mcl1[151-321],7011,2866,3247,399
DBD:Bcl-2:AD:XCDP07,961,1184,442,515
DBD:Bcl-2:AD:alphaBCL2,4244,12761,1396,1816
DBD:Bcl-2:AD:alphaBCLB,5070,1590,1213,112
DBD:Bcl-2:AD:alphaBFL1,8501,18124,1315,2448
DBD:Bcl-2:AD:alphaMCL1,7505,1300,1300,116
DBD:Bcl-B:AD:2CDP06,41065,6453,1573,360
DBD:Bcl-B:AD:BCDP01,29484,148095,1103,6737
DBD:Bcl-B:AD:BECM01,20283,77386,972,5815
DBD:Bcl-B:AD:Bcl-2,11240,3774,2441,609
DBD:Bcl-B:AD:Bcl-B,586,1093,26,3
DBD:Bcl-B:AD:Bcl-w,9875,1347,5110,1052
DBD:Bcl-B:AD:Bcl-xL,8609,4116,2860,528
DBD:Bcl-B:AD:Bfl-1,25072,9680,2561,494
DBD:Bcl-B:AD:FECM04,32384,9261,1886,823
DBD:Bcl-B:AD:Mcl1[151-321],44382,16030,4341,516
DBD:Bcl-B:AD:XCDP07,8069,6947,599,3566
DBD:Bcl-B:AD:alphaBCL2,32142,5833,2446,420
DBD:Bcl-B:AD:alphaBCLB,24285,95229,739,7088
DBD:Bcl-B:AD:alphaBFL1,47620,14656,1756,527
DBD:Bcl-B:AD:alphaMCL1,40916,18777,1427,832
DBD:Bcl-w:AD:2CDP06,4536,1460,2257,10084
DBD:Bcl-w:AD:BCDP01,3623,5193,2419,10187
DBD:Bcl-w:AD:BECM01,4308,729,2722,942
DBD:Bcl-w:AD:Bcl-2,2599,151,4879,1101
DBD:Bcl-w:AD:Bcl-B,9904,1535,3061,362
DBD:Bcl-w:AD:Bcl-w,679,44,857,205
DBD:Bcl-w:AD:Bcl-xL,732,78,5620,969
DBD:Bcl-w:AD:Bfl-1,3121,354,5609,753
DBD:Bcl-w:AD:FECM04,4289,1050,3529,1497
DBD:Bcl-w:AD:Mcl1[151-321],4316,548,7382,1062
