,count_DBDAD_trp1_l45,count_ADDBD_trp1_l45,count_DBDAD_his1_l45,count_ADDBD_his1_l45,count_DBDAD_trp1_l66,count_ADDBD_trp1_l66,count_DBDAD_his1_l66,count_ADDBD_his1_l66
2CDP06:BCDP01,11188.0,16257.0,1123.0,2538.0,1121.0,1497.0,734.0,1008.0
2CDP06:BECM01,10174.0,17280.0,845.0,1811.0,1247.0,1388.0,152.0,124.0
2CDP06:Bcl-2,4361.0,5066.0,6881.0,8438.0,1377.0,912.0,5169.0,1291.0
2CDP06:Bcl-B,25903.0,41065.0,3673.0,6453.0,1007.0,1573.0,92.0,360.0
2CDP06:Bcl-w,4840.0,4536.0,911.0,1460.0,2808.0,2257.0,7222.0,10084.0
2CDP06:Bcl-xL,5016.0,2924.0,870.0,316.0,2282.0,1859.0,1024.0,627.0
2CDP06:Bfl-1,8989.0,9182.0,1353.0,771.0,2233.0,1107.0,243.0,401.0
2CDP06:FECM04,15362.0,9389.0,1115.0,767.0,1292.0,1255.0,106.0,338.0
2CDP06:Mcl1[151-321],22149.0,9347.0,1860.0,992.0,2633.0,1353.0,397.0,396.0
2CDP06:XCDP07,2307.0,11349.0,205.0,1174.0,424.0,648.0,41.0,675.0
2CDP06:alphaBCL2,9792.0,8165.0,1202.0,459.0,1895.0,1390.0,315.0,222.0
2CDP06:alphaBCLB,11107.0,17537.0,831.0,1697.0,1085.0,887.0,211.0,96.0
2CDP06:alphaBFL1,18577.0,13920.0,1751.0,787.0,1217.0,1272.0,153.0,121.0
2CDP06:alphaMCL1,335018.0,10218.0,1229.0,594.0,1222.0,1259.0,192.0,115.0
BCDP01:BECM01,9991.0,12410.0,7418.0,8275.0,1503.0,1403.0,314.0,108.0
BCDP01:Bcl-2,5000.0,5018.0,9433.0,10889.0,1663.0,969.0,9039.0,1830.0
BCDP01:Bcl-B,31856.0,29484.0,285929.0,148095.0,1314.0,1103.0,1509.0,6737.0
BCDP01:Bcl-w,5548.0,3623.0,1651.0,5193.0,3784.0,2419.0,1210.0,10187.0
BCDP01:Bcl-xL,3279.0,3051.0,6745.0,5946.0,1711.0,1427.0,11757.0,12564.0
BCDP01:Bfl-1,11389.0,7443.0,42071.0,17342.0,1600.0,1030.0,7267.0,15704.0
BCDP01:FECM04,15351.0,8442.0,4743.0,1438.0,1623.0,1226.0,555.0,126.0
