"","trp1_l45","his1_l45","trp1_l66","his1_l66","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:2CDP06:AD:2CDP06",153,8,5,1,13.9423475969554,-0.620207133176423,1.2953426844612,0.371144998224548,0.613258026803411
"DBD:2CDP06:AD:BCDP01",11188,1123,1121,734,2118.82547625089,-0.053787172889844,0.675924914736113,0.920257239157107,0.9859898990969
"DBD:2CDP06:AD:BECM01",10174,845,1247,152,1407.06624454939,-1.4948623579108,0.495455521212941,0.000643485599149785,0.00557263941979346
"DBD:2CDP06:AD:Bcl-2",4361,6881,1377,5169,7798.94548668701,2.26020269034935,1.02319982081642,0.00368596168993344,0.0197462233389291
"DBD:2CDP06:AD:Bcl-B",25903,3673,1007,92,2795.94756290253,-0.675815540403068,0.928840115832502,0.303505687345239,0.540661420355194
"DBD:2CDP06:AD:Bcl-w",4840,911,2808,7222,9392.23671353385,1.24051820425258,1.21283109696094,0.102069524782258,0.236759206969156
"DBD:2CDP06:AD:Bcl-xL",5016,870,2282,1024,2414.70522468753,0.118628902059292,0.801459829814336,0.842807994901798,0.973951235800064
"DBD:2CDP06:AD:Bfl-1",8989,1353,2233,243,1883.90135271834,-1.11615739142338,0.525901536364456,0.0133624539434918,0.0536884310229583
"DBD:2CDP06:AD:FECM04",15362,1115,1292,106,1747.90695961818,-1.70313782947104,0.685189057704168,0.00292066614834623,0.016936285149818
"DBD:2CDP06:AD:Mcl1[151-321]",22149,1860,2633,397,3110.81207931907,-1.21876167612503,0.628267608435233,0.0189060484794289,0.0711785313714854
"DBD:2CDP06:AD:XCDP07",2307,205,424,41,378.881711271488,-1.45286972898149,0.656643829154622,0.00757664462578653,0.0355155216833743
"DBD:2CDP06:AD:alphaBCL2",9792,1202,1895,315,1862.76639285749,-0.928131044763009,0.515619426943319,0.035873978491268,0.112106182785212
"DBD:2CDP06:AD:alphaBCLB",11107,831,1085,211,1469.40444791405,-1.19466482910157,0.565160163241167,0.0125475891755423,0.0516803609998273
"DBD:2CDP06:AD:alphaBFL1",18577,1751,1217,153,2099.15995392313,-1.18321031623154,0.754379478404329,0.0453314348549413,0.130145916341336
"DBD:2CDP06:AD:alphaMCL1",335018,1229,1222,192,21641.3773606937,-3.35583190589668,1.22116072116399,0.000189987545118817,0.00237484431398522
"DBD:BCDP01:AD:2CDP06",16257,2538,1497,1008,3149.07198515185,0.0442584195216866,0.643652061337381,0.932143708237042,0.990026814203762
"DBD:BCDP01:AD:BCDP01",1076,4864,42,43,1100.85324454738,2.39258189466995,1.11590390668622,0.00352814772160748,0.0193617862771142
"DBD:BCDP01:AD:BECM01",9991,7418,1503,314,2977.70025185149,0.414031386184291,0.741421361216145,0.468732230268134,0.698442064969073
"DBD:BCDP01:AD:Bcl-2",5000,9433,1663,9039,12692.0232395205,2.71196181181355,0.995929721644538,0.000643949444065022,0.00557263941979346
"DBD:BCDP01:AD:Bcl-B",31856,285929,1314,1509,61243.0516373933,1.88270737693559,1.42689034038299,0.0212339086947645,0.0758353881955874
"DBD:BCDP01:AD:Bcl-w",5548,1651,3784,1210,3339.21864647925,-0.0132337798892111,0.790530269582245,0.982203491822891,0.99344632156761
"DBD:BCDP01:AD:Bcl-xL",3279,6745,1711,11757,15044.5341744233,2.79748145102655,1.09986559661973,0.000860201361021571,0.00691233236535191
"DBD:BCDP01:AD:Bfl-1",11389,42071,1600,7267,17646.6538311058,3.28658758332799,0.621950080053612,1.8416893694847e-08,2.05148071074215e-06
"DBD:BCDP01:AD:FECM04",15351,4743,1623,555,3081.70326135612,0.0204014327800303,0.585912832662387,0.96656045880486,0.99344632156761
"DBD:BCDP01:AD:Mcl1[151-321]",21209,101986,2498,3519,26439.9215470912,2.51910840983084,0.994150520942173,0.00128941008673157,0.00853286086807654
"DBD:BCDP01:AD:XCDP07",2920,1236,420,330,938.305697334408,0.719375755148184,0.480315509412817,0.0851714811566841,0.210588827035757
