"","count_DBDAD_trp1_l45","count_ADDBD_trp1_l45","count_DBDAD_his1_l45","count_ADDBD_his1_l45","count_DBDAD_trp1_l66","count_ADDBD_trp1_l66","count_DBDAD_his1_l66","count_ADDBD_his1_l66","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"2CDP06:BCDP01",11188,16257,1123,2538,1121,1497,734,1008,2578.97931369367,-0.0117165968254296,0.492700829914954,0.976998539964145,0.976998539964145
"2CDP06:BECM01",10174,17280,845,1811,1247,1388,152,124,1702.8489243292,-1.50179818114198,0.503943199894082,0.000519377126706362,0.00222590197159869
"2CDP06:Bcl-2",4361,5066,6881,8438,1377,912,5169,1291,5737.64463500473,2.45998469424346,0.711014774999091,8.80525931997964e-05,0.000556121641261872
"2CDP06:Bcl-B",25903,41065,3673,6453,1007,1573,92,360,3706.44104234417,-0.752477361538734,0.700044408424416,0.149399455345157,0.275814379098752
"2CDP06:Bcl-w",4840,4536,911,1460,2808,2257,7222,10084,10623.6317628144,2.25606392929318,1.07388295127259,0.00493513454022231,0.0164504484674077
"2CDP06:Bcl-xL",5016,2924,870,316,2282,1859,1024,627,1962.20848274004,0.0143977017948704,0.602870074031076,0.975433775795061,0.976998539964145
"2CDP06:Bfl-1",8989,9182,1353,771,2233,1107,243,401,1657.57479591887,-0.8773728386368,0.439566229868954,0.0188625570177404,0.0503001520473077
"2CDP06:FECM04",15362,9389,1115,767,1292,1255,106,338,1599.65167540127,-1.39256012688144,0.506322194382292,0.00119142032493538,0.00476568129974152
"2CDP06:Mcl1[151-321]",22149,9347,1860,992,2633,1353,397,396,2323.06338748871,-0.969496189331306,0.478178363465566,0.0152786760807916,0.041669116583977
"2CDP06:XCDP07",2307,11349,205,1174,424,648,41,675,1108.43077545139,-0.644745993404273,0.542825508207145,0.138686694965431,0.268425861223416
"2CDP06:alphaBCL2",9792,8165,1202,459,1895,1390,315,222,1553.3118779952,-1.21632109613551,0.453655214333891,0.00175401374539191,0.00678973062732351
"2CDP06:alphaBCLB",11107,17537,831,1697,1085,887,211,96,1629.15167428165,-1.30359511607858,0.572886956016143,0.00536793926863997,0.0173176703834488
"2CDP06:alphaBFL1",18577,13920,1751,787,1217,1272,153,121,1803.34394428134,-1.78299929882143,0.519123270796695,9.51489239518374e-05,0.000570893543711024
"2CDP06:alphaMCL1",335018,10218,1229,594,1222,1259,192,115,11231.8028423226,-3.22956917820546,0.92993894628981,6.56428013312909e-05,0.000521248167658455
"BCDP01:BECM01",9991,12410,7418,8275,1503,1403,314,108,2891.49024601285,0.333185139544117,0.601901451172609,0.475566751018649,0.671388354379269
"BCDP01:Bcl-2",5000,5018,9433,10889,1663,969,9039,1830,8772.42128049918,2.87499517294581,0.719525849540463,1.17539624669888e-05,0.000128225045094423
"BCDP01:Bcl-B",31856,29484,285929,148095,1314,1103,1509,6737,46230.5576382138,3.39545468273921,1.00771110509275,8.07440234331832e-05,0.000538293489554555
"BCDP01:Bcl-w",5548,3623,1651,5193,3784,2419,1210,10187,7842.25367579279,1.11086308051427,0.917918407702878,0.0828677097430048,0.180802275802919
"BCDP01:Bcl-xL",3279,3051,6745,5946,1711,1427,11757,12564,15014.2307955267,3.70591704582028,0.824737279001117,1.00641990251437e-06,1.34189320335249e-05
"BCDP01:Bfl-1",11389,7443,42071,17342,1600,1030,7267,15704,18531.3837519365,3.80574909017587,0.609630363139409,7.94555237601564e-11,3.17822095040626e-09
"BCDP01:FECM04",15351,8442,4743,1438,1623,1226,555,126,2151.77045504722,-0.454505744978377,0.459536479395126,0.23852008804567,0.403132543175781
"BCDP01:Mcl1[151-321]",21209,11477,101986,30617,2498,1575,3519,12123,21779.1927999505,3.31649786108779,0.632936502732744,3.54879016597054e-08,7.09758033194109e-07
"BCDP01:XCDP07",2920,6804,1236,6258,420,673,330,356,1590.13536191691,0.888641465959727,0.483891695298507,0.0271405117594042,0.0678512793985104
"BCDP01:alphaBCL2",20796,6432,3667,725,2000,1312,267,389,2134.13375039043,-0.657674077951356,0.487459319510983,0.102476273590187,0.207886737474136
"BCDP01:alphaBCLB",12867,13886,7294,5989,1313,685,135,187,2562.41303699946,0.170979691279198,0.598697383284548,0.713268355048101,0.83913924123306
"BCDP01:alphaBFL1",20953,12476,8118,3366,1490,1082,378,755,3101.88413237902,0.128623749511751,0.487603984681262,0.749770010347866,0.86326305051411
"BCDP01:alphaMCL1",23672,9809,5904,2744,1210,1146,366,246,2548.33750873726,-0.240985623153866,0.497541329214977,0.555670985984847,0.732752948551446
"BECM01:Bcl-2",5752,4774,2324,2030,1988,1222,571,255,1727.97786658941,-0.0246834741793586,0.383281622557159,0.941637727281609,0.976998539964145
"BECM01:Bcl-B",28449,20283,183089,77386,1443,972,698,5815,28905.2217922698,3.17121874652342,0.919954592003721,7.38434904182811e-05,0.000521248167658455
"BECM01:Bcl-w",5001,4308,1481,729,3572,2722,1104,942,2670.09799404974,-0.0401274878569155,0.596208330343613,0.931086351689693,0.976998539964145
"BECM01:Bcl-xL",4314,1878,2027,1517,1940,1506,7583,3595,7275.31380609033,2.26647558206698,1.02372450629301,0.00373007727356856,0.0127888363665208
"BECM01:Bfl-1",10926,7589,21019,18056,1702,1085,7948,7454,13001.6415305141,3.31439300437786,0.562619439145407,9.35245844470279e-10,2.79982910186844e-08
"BECM01:FECM04",12651,7248,2636,874,1508,1127,274,184,1624.55233164087,-0.835051736938111,0.385289542971344,0.0131297652399305,0.0371583649661472
