"","trp1_l43","his1_l43","trp1_l44","his1_l44","trp1_l49","his1_l49","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:A_ZCON_13:AD:A_ZCON_13",119,31,12,1,5,0,9.18443306679823,0.0393554393459121,0.479609676760413,0.7707351689193,NA
"DBD:A_ZCON_13:AD:A_ZCON_150",2038,138,289,28,5,2,70.4676966056634,-0.0199433156602734,0.339277232342953,0.840334209459017,NA
"DBD:A_ZCON_13:AD:A_ZCON_154",2382,100,172,13,24,13,90.658505842567,-0.0103022368256726,0.314980499715273,0.912324174940144,NA
"DBD:A_ZCON_13:AD:A_ZCON_155",1758,197,361,53,12,0,84.9437467204227,0.00828809353942934,0.362789669098603,0.937078955078297,NA
"DBD:A_ZCON_13:AD:A_ZCON_15_re_loop",532,160,166,33,6,5,58.7755594458506,0.228504851167073,0.55830878098888,0.130748455547643,NA
"DBD:A_ZCON_13:AD:A_ZCON_162",1173,46,234,10,16,3,46.7217383593255,-0.133966239619594,0.417346927195708,0.250118464680787,NA
"DBD:A_ZCON_13:AD:A_ZCON_37_3",512,6,199,55,7,4,40.762432252402,0.029161234162293,0.35263701322975,0.774835702432936,NA
"DBD:A_ZCON_13:AD:A_ZCON_37",1151,198,71,6,9,0,52.0911875455485,0.0564564264573822,0.462785502875286,NA,NA
"DBD:A_ZCON_13:AD:A_ZCON_6",4161,89,163,23,27,0,87.1679394145103,-0.24533372427098,0.694476472137925,0.174332214683913,NA
"DBD:A_ZCON_13:AD:B_ZCON_13",3046,2231,187,366,1,1,476.62846102473,0.934309625747307,1.52438600349216,0.0391532088258426,0.179409405931535
"DBD:A_ZCON_13:AD:B_ZCON_150",1751,172,165,49,6,0,68.736627393011,0.0328156038064184,0.395734185179078,0.7708571241752,NA
"DBD:A_ZCON_13:AD:B_ZCON_154",1578,252,232,27,11,4,86.4692666547017,0.0667793502614885,0.363304688991229,0.518274877291571,NA
"DBD:A_ZCON_13:AD:B_ZCON_155",2,2,28,6,2,5,13.9933586121156,0.325770275120084,0.929288197239023,0.175586161681045,NA
"DBD:A_ZCON_13:AD:B_ZCON_15_re_loop",1887,243,303,70,12,10,115.178591226873,0.103857830628465,0.366739648584417,0.324739995839165,NA
"DBD:A_ZCON_13:AD:B_ZCON_162",697,172,244,63,9,5,74.9417115396204,0.180779060446459,0.469577696445521,0.165018367406552,NA
"DBD:A_ZCON_13:AD:B_ZCON_37_3",798,74,82,3,6,2,31.5524804358396,0.00449745896379045,0.35711899837121,0.965371815962966,NA
"DBD:A_ZCON_13:AD:B_ZCON_37",1155,24,251,82,4,3,56.6602910647379,0.020179231400689,0.340021332046752,0.838746534491395,NA
"DBD:A_ZCON_13:AD:B_ZCON_6",1125,95,90,29,10,0,43.3676137225156,0.00794425373641432,0.353794765688733,0.938360670156415,NA
"DBD:A_ZCON_13:AD:DHDr2_00_A",1696,8,237,123,6,1,67.284582249755,0.00871466237463983,0.397508138508485,0.939082453350362,NA
"DBD:A_ZCON_13:AD:DHDr2_00_B",320,39,193,54,5,3,40.0850757037283,0.0897994542382071,0.375881033533468,0.397870612978412,NA
"DBD:A_ZCON_13:AD:DHDr2_01_A",233,0,41,3,2,0,6.17676419695222,-0.305854576823165,0.9333603967884,0.204438736261966,NA
