"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P1:AD:Jerala_P1",14,9,5,13,21.620770751288,3.65967288984123,0.871761087674172,1.32593080309265e-05,0.000146872335111802
"DBD:Jerala_P1:AD:Jerala_P2",1356,62934,1523,53793,102727.407956536,8.7364046314673,0.529785598290273,7.01829170399266e-62,5.05317002687471e-60
"DBD:Jerala_P1:AD:Jerala_P3",3068,215,4103,210,936.047428204288,-0.0299630155133641,0.182203422301552,0.338771859668033,0.786824964390271
"DBD:Jerala_P1:AD:Jerala_P4",1644,129,2693,167,608.950721746193,-0.0148123596960498,0.159187087356078,0.625567066191434,0.789400084079914
"DBD:Jerala_P1:AD:Jerala_P5",2895,251,5479,289,1144.80820515574,-0.020756027174736,0.176913610193949,0.532752864684465,0.789400084079914
"DBD:Jerala_P1:AD:Jerala_P6",4762,381,3346,184,1092.78337468481,-0.0166150270797868,0.139460252023418,0.495321986043526,0.789400084079914
"DBD:Jerala_P1:AD:Jerala_P7",3556,281,2158,3621,4418.40091062483,1.88089455408231,1.72374963832689,0.00880869897517488,0.0528521938510493
"DBD:Jerala_P1:AD:Jerala_P8",2271,171,3075,158,707.379405998021,-0.0258098938380384,0.169529083728826,0.377186067030728,0.789400084079914
"DBD:Jerala_P1:AD:Jerala_P9",2007,951,3525,167,1309.48913521041,0.0851766095219285,0.376012259206297,0.255904112961551,0.698428067676573
"DBD:Jerala_P1:AD:Jerala_P10",4838,250,5302,289,1271.02120881429,-0.0448460921833141,0.222854345420998,0.241523628375999,0.698428067676573
"DBD:Jerala_P1:AD:Jerala_P11",2468,144,2414,114,601.917851823477,-0.058561835803338,0.241841092892774,0.152743936884027,0.536466510031704
"DBD:Jerala_P1:AD:Jerala_P12",2808,1334,2235,136,1512.4870199426,0.224107488969824,0.648203711401408,0.118991929256695,0.463103724674706
