"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P1:AD:Jerala_P2",1356,62934,1523,53793,102727.407956536,8.73727961626212,0.526668356174377,1.35392510861517e-62,9.74826078202921e-61
"DBD:Jerala_P1:AD:Jerala_P3",3068,215,4103,210,936.047428204288,-0.0296734443100681,0.180925800815668,0.337008746780677,0.782729992522864
"DBD:Jerala_P1:AD:Jerala_P4",1644,129,2693,167,608.950721746193,-0.0146518656625784,0.158156483970466,0.625140072630601,0.789404555413207
"DBD:Jerala_P1:AD:Jerala_P5",2895,251,5479,289,1144.80820515574,-0.0205344335103705,0.175821827600871,0.532315141688879,0.789404555413207
"DBD:Jerala_P1:AD:Jerala_P6",4762,381,3346,184,1092.78337468481,-0.0164328579705295,0.138235305757837,0.493461584563074,0.789404555413207
"DBD:Jerala_P1:AD:Jerala_P7",3556,281,2158,3621,4418.40091062483,1.86021804211436,1.72606758216934,0.00899911557369439,0.0539946934421663
"DBD:Jerala_P1:AD:Jerala_P8",2271,171,3075,158,707.379405998021,-0.0255513159271553,0.168266159682925,0.375367818509367,0.789404555413207
"DBD:Jerala_P1:AD:Jerala_P9",2007,951,3525,167,1309.48913521041,0.0842560917277825,0.374270246181148,0.256513173239862,0.698167200236305
"DBD:Jerala_P1:AD:Jerala_P10",4838,250,5302,289,1271.02120881429,-0.0444714168421954,0.221540116572311,0.239829384821233,0.698167200236305
"DBD:Jerala_P1:AD:Jerala_P11",2468,144,2414,114,601.917851823477,-0.0584131298826402,0.240865359947514,0.149876464244897,0.526395386616224
"DBD:Jerala_P1:AD:Jerala_P12",2808,1334,2235,136,1512.4870199426,0.221374397648128,0.645035147159796,0.119679912289373,0.478719649157492
"DBD:Jerala_P2:AD:Jerala_P3",3980,599,2610,141,1091.64839500733,0.0100673631068927,0.167711918436723,0.766475029403321,0.82367465846327
"DBD:Jerala_P2:AD:Jerala_P4",2330,211,2812,175,737.409835223789,-0.00882708052196346,0.112851037627877,0.65964889209748,0.789404555413207
