"","count_DBDAD_trp1_l61_2mM","count_ADDBD_trp1_l61_2mM","count_DBDAD_his1_l61_2mM","count_ADDBD_his1_l61_2mM","count_DBDAD_trp1_l62_2mM","count_ADDBD_trp1_l62_2mM","count_DBDAD_his1_l62_2mM","count_ADDBD_his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P1:Jerala_P2",1356,571,62934,31951,1523,1811,53793,51509,90173.8221052961,8.50729016089535,0.5175791950939,1.28068922849283e-61,4.99468799112204e-60
"Jerala_P1:Jerala_P3",3068,1615,215,117,4103,3445,210,194,853.789974924045,-0.280923618863809,0.324295857930227,0.168544506362827,0.322243640108676
"Jerala_P1:Jerala_P4",1644,2322,129,174,2693,3790,167,209,748.943119354576,-0.234095950891655,0.308117730234763,0.244835124393669,0.364405417898349
"Jerala_P1:Jerala_P5",2895,3203,251,221,5479,3504,289,184,1060.25007832981,-0.318653405492759,0.288396377950617,0.114670233823486,0.248452173284221
"Jerala_P1:Jerala_P6",4762,2453,381,166,3346,2680,184,152,923.118269890743,-0.423894020021198,0.211536528165949,0.0166593373956839,0.0618775388982546
"Jerala_P1:Jerala_P7",3556,1688,281,122,2158,1340,3621,72,2672.80136739817,0.29281099210714,0.583977226193624,0.19335545572936,0.33300437951755
"Jerala_P1:Jerala_P8",2271,3013,171,238,3075,4876,158,313,947.783470444297,-0.276016248312888,0.287254917055668,0.169384477493022,0.322243640108676
"Jerala_P1:Jerala_P9",2007,2816,951,1140,3525,1977,167,126,1322.0570010583,0.347178510362522,0.453190416439895,0.111685803525657,0.248452173284221
"Jerala_P1:Jerala_P10",4838,4259,250,326,5302,5098,289,337,1350.78718813614,-0.363153671775628,0.264342489425638,0.0660288344257978,0.183937467329008
"Jerala_P1:Jerala_P11",2468,1736,144,190,2414,2447,114,188,655.03650802038,-0.288858225868065,0.253574293659597,0.136550286237012,0.280287429644393
"Jerala_P1:Jerala_P12",2808,3432,1334,264,2235,834,136,50,1043.37196840091,0.10676910521241,0.38952937640701,0.56637416210891,0.659360964843209
"Jerala_P2:Jerala_P3",3980,3416,599,241,2610,4677,141,1749,1834.20464860334,0.211049277879918,0.412394887436363,0.286377815262943,0.391885431412449
"Jerala_P2:Jerala_P4",2330,2577,211,713,2812,1817,175,102,869.643596294521,0.0798421979893845,0.328735570088041,0.68029694186126,0.737883121202314
"Jerala_P2:Jerala_P5",5504,4294,1073,280,5276,3895,356,255,1597.52451592614,-0.0603917790262326,0.263517532219183,0.757001251405839,0.787281301462072
"Jerala_P2:Jerala_P6",3296,2679,1184,1363,4938,2270,290,149,1687.07515024657,0.386669607088365,0.454798283497155,0.083438479343111,0.212479628267315
"Jerala_P2:Jerala_P7",4359,2073,341,117,4089,2149,289,119,916.548354339325,-0.370635968011462,0.233475955828809,0.0477566225003326,0.161957241522867
"Jerala_P2:Jerala_P8",4395,3599,363,276,2798,3787,180,315,1085.85961504864,-0.216992816903453,0.225358553371351,0.237769553184653,0.364405417898349
"Jerala_P2:Jerala_P9",1814,2271,138,866,1772,2000,128,106,801.96253024505,0.119386313108922,0.344132941607325,0.536124559710085,0.642375473374623
"Jerala_P10:Jerala_P2",3133,5282,253,415,2418,6044,187,422,1250.63922497233,-0.230192620470697,0.213102881430534,0.196387198177017,0.33300437951755
"Jerala_P11:Jerala_P2",3345,3909,247,383,1720,1686,94,171,788.226145628319,-0.143420705311525,0.282077398382245,0.468882482856228,0.5898844139159
"Jerala_P12:Jerala_P2",3622,4263,349,289,3162,3205,175,200,1010.85965571682,-0.389983333406841,0.163582544248149,0.00837592565729155,0.0384307177216907
"Jerala_P3:Jerala_P4",269,1484,11454,79476,1106,1087,11380,70559,72529.5169385285,8.2062779858772,0.595163918385787,4.3001808615319e-44,8.38535267998721e-43
"Jerala_P3:Jerala_P5",2565,3212,192,230,1660,2417,106,147,685.472029553952,-0.399151189561398,0.186603273856945,0.0144161840395977,0.0562231177544309
"Jerala_P3:Jerala_P6",1728,2999,110,230,1552,1166,95,75,512.379911969944,-0.256863840316622,0.290257906511945,0.20077956928827,0.333208646903937
"Jerala_P3:Jerala_P7",2176,1745,141,135,1893,1483,537,92,759.961038424386,0.0877004127514208,0.349076349819681,0.644870915654436,0.728984513348493
"Jerala_P3:Jerala_P8",1716,2486,120,189,2795,1757,1792,89,1572.49593711042,0.195580713075421,0.487179857092473,0.328341782680695,0.441563087053348
"Jerala_P3:Jerala_P9",2965,4845,175,308,1690,3530,97,163,837.712031249503,-0.560779449851101,0.232283475797092,0.00254597693930356,0.0141847286618341
"Jerala_P10:Jerala_P3",3781,6396,256,1021,3994,4536,236,309,1504.08644990456,-0.0809877146885138,0.277336916602128,0.681122881109828,0.737883121202314
"Jerala_P11:Jerala_P3",1641,2653,95,291,912,3184,54,572,791.362155249621,-0.00736038684701718,0.30886195252732,0.970037404933594,0.970037404933594
"Jerala_P12:Jerala_P3",1691,3173,116,284,1037,1265,77,75,509.450377343261,-0.172006570819305,0.298530075326527,0.387843460345402,0.512742201812566
"Jerala_P4:Jerala_P5",4121,2329,341,191,4110,1255,229,77,846.741250523626,-0.290036928684087,0.236718658103596,0.123757217655213,0.260893593975853
"Jerala_P4:Jerala_P6",4917,1449,347,119,1570,1061,97,66,618.024845646279,-0.231487743148516,0.306096843826113,0.249757946563764,0.364405417898349
"Jerala_P4:Jerala_P7",3106,1048,236,80,2778,1347,670,88,894.496403886494,0.074002892029564,0.338380755912992,0.699510860165917,0.747422562917008
"Jerala_P4:Jerala_P8",2262,2153,193,171,2830,2412,174,169,716.258103667246,-0.248396269729257,0.234402019466958,0.185215306671096,0.328336225462397
"Jerala_P4:Jerala_P9",4152,1896,360,102,1438,1269,96,67,606.941063758324,-0.272555075053039,0.314413950136243,0.179691139972786,0.3279273427638
"Jerala_P10:Jerala_P4",4647,1905,966,160,4222,3674,2446,219,2555.01580048611,0.229978896171775,0.427172892369005,0.252280673929626,0.364405417898349
"Jerala_P11:Jerala_P4",2266,1747,1524,262,1717,2329,128,351,1211.96505553608,0.457051389013316,0.51565495440722,0.0562991584509752,0.175653374367043
"Jerala_P12:Jerala_P4",3052,1707,268,113,1136,2022,15557,117,9698.68341008133,0.805298932377738,1.22081282175374,0.0560861848786761,0.175653374367043
"Jerala_P5:Jerala_P6",1203,1663,21659,3625,2184,1499,9798,332,15149.5735443012,4.83123721509569,0.806572790632165,1.09244911148205e-09,9.46789229951108e-09
"Jerala_P5:Jerala_P7",3083,3027,347,221,6117,2053,342,107,1050.9417142474,-0.245709590657588,0.282916249524868,0.218497569781114,0.354469810562002
