"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P1:AD:Jerala_P1",14,9,5,13,4,0,6.68428983406008,0.511240084941691,0.921457994304699,0.0644044726991762,NA
"DBD:Jerala_P1:AD:Jerala_P2",1356,62934,1523,53793,148,5223,48180.6516367872,8.81139805022949,0.367840993573346,3.22728948593102e-127,4.94851054509423e-126
"DBD:Jerala_P1:AD:Jerala_P3",3068,215,4103,210,199,13,357.067870464491,-0.279996830571505,0.278627102159382,0.170602813734445,NA
"DBD:Jerala_P1:AD:Jerala_P4",1644,129,2693,167,166,15,273.542544589822,-0.112332635778911,0.295636319988992,0.582638769188984,NA
"DBD:Jerala_P1:AD:Jerala_P5",2895,251,5479,289,96,6,343.07458350875,-0.152526889539861,0.315489638213771,0.45304945323895,NA
"DBD:Jerala_P1:AD:Jerala_P6",4762,381,3346,184,209,27,459.926210689447,-0.00690443135633517,0.314205686406251,0.972755286863699,0.972755286863699
"DBD:Jerala_P1:AD:Jerala_P7",3556,281,2158,3621,193,6,1183.34089734191,0.663544833562188,1.07811133758096,NA,NA
"DBD:Jerala_P1:AD:Jerala_P8",2271,171,3075,158,202,5,266.274843785878,-0.435901595222314,0.289699584400279,0.0360126264796206,NA
"DBD:Jerala_P1:AD:Jerala_P9",2007,951,3525,167,115,11,409.684937078934,0.322564465334543,0.3567501448177,0.117838303966857,NA
"DBD:Jerala_P1:AD:Jerala_P10",4838,250,5302,289,196,7,412.729862992161,-0.341295507402408,0.315982096144769,0.101498456673491,NA
"DBD:Jerala_P1:AD:Jerala_P11",2468,144,2414,114,190,17,288.642264440635,-0.254027488511243,0.294404030560706,0.217002249375699,NA
"DBD:Jerala_P1:AD:Jerala_P12",2808,1334,2235,136,179,16,502.177253638878,0.358104867620786,0.425844653847153,0.0852992860782181,0.135302315848208
"DBD:Jerala_P2:AD:Jerala_P1",571,31951,1811,51509,76,1339,24949.7287923724,8.32552539380822,0.629347944850556,2.54612339810515e-40,2.34243352625673e-39
"DBD:Jerala_P2:AD:Jerala_P2",48,10,23,6,2,1,9.74724569604722,0.319493843832267,0.567495386865147,0.120733202156662,NA
"DBD:Jerala_P2:AD:Jerala_P3",3980,599,2610,141,252,7,385.73639192549,-0.0818361206794294,0.314929262589957,0.685978374878227,NA
"DBD:Jerala_P2:AD:Jerala_P4",2330,211,2812,175,147,97,658.532141632802,0.460969840354533,0.648172920566002,0.0517764085899536,0.0984501068990191
"DBD:Jerala_P2:AD:Jerala_P5",5504,1073,5276,356,278,32,726.893998359497,0.135610458378367,0.364751391964408,0.473099401636489,0.558014678853295
"DBD:Jerala_P2:AD:Jerala_P6",3296,1184,4938,290,192,2,522.144986260517,0.102696386151962,0.376105144274296,0.572913831042642,0.642781371413696
"DBD:Jerala_P2:AD:Jerala_P7",4359,341,4089,289,109,5,357.046205838576,-0.109778512129334,0.30326280606158,0.590643714185561,NA
"DBD:Jerala_P2:AD:Jerala_P8",4395,363,2798,180,187,12,364.463129176212,-0.15294805357653,0.273330938329172,0.450792518653384,NA
"DBD:Jerala_P2:AD:Jerala_P9",1814,138,1772,128,91,5,179.733314463337,-0.145522185625287,0.27839876015509,0.47463835598661,NA
"DBD:Jerala_P2:AD:Jerala_P10",3133,253,2418,187,98,4,250.519201888263,-0.100110445402974,0.281831688029177,0.623219169926776,NA
"DBD:Jerala_P2:AD:Jerala_P11",3345,247,1720,94,162,12,271.967338536122,-0.208604355653941,0.285731183880937,0.308132163286691,NA
"DBD:Jerala_P2:AD:Jerala_P12",3622,349,3162,175,120,4,296.23284336449,-0.158938705734097,0.286730400120437,0.436873147012801,NA
"DBD:Jerala_P3:AD:Jerala_P1",1615,117,3445,194,202,11,288.002567274604,-0.253344404153881,0.30871440948677,0.218621527115977,NA
"DBD:Jerala_P3:AD:Jerala_P2",3416,241,4677,1749,150,15,768.102080697556,0.311373940209508,0.533807486904183,0.124568693847525,0.173641209605641
"DBD:Jerala_P3:AD:Jerala_P3",1540,158,1676,3723,51,2,1075.33346173568,2.02350155670108,1.87123352801323,NA,NA
"DBD:Jerala_P3:AD:Jerala_P4",269,11454,1106,11380,79,2683,16817.9551319781,8.11356017098284,0.883887894620702,1.90194556318515e-20,9.72105510072411e-20
"DBD:Jerala_P3:AD:Jerala_P5",2565,192,1660,106,106,39,349.321509828423,0.322274559523092,0.35370555433405,0.118447487391414,NA
"DBD:Jerala_P3:AD:Jerala_P6",1728,110,1552,95,210,7,209.604487685064,-0.439550299921936,0.326311997539979,0.0387635322087672,NA
"DBD:Jerala_P3:AD:Jerala_P7",2176,141,1893,537,134,6,313.665398204049,0.269850780676801,0.336359994303841,0.186891773985572,NA
