"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P1:AD:Jerala_P2",1356,62934,1523,53793,148,5223,50267.9189450636,8.90219354567409,0.403352499615083,2.32898585821691e-108,2.79478302986029e-107
"DBD:Jerala_P1:AD:Jerala_P3",3068,215,4103,210,199,13,355.505543575732,-0.166990684502465,0.237031925406439,0.235581715576053,NA
"DBD:Jerala_P1:AD:Jerala_P4",1644,129,2693,167,166,15,275.666624007503,-0.0474192205503386,0.244908045194926,0.722485847139452,NA
"DBD:Jerala_P1:AD:Jerala_P5",2895,251,5479,289,96,6,336.543195755833,-0.0873837452050027,0.252966680989588,0.50368061015016,NA
"DBD:Jerala_P1:AD:Jerala_P6",4762,381,3346,184,209,27,465.392099333132,0.0189040923317326,0.256223939330878,0.880778361505735,0.880778361505735
"DBD:Jerala_P1:AD:Jerala_P7",3556,281,2158,3621,193,6,1151.23985370351,0.546279003128692,1.05857093404973,NA,NA
"DBD:Jerala_P1:AD:Jerala_P8",2271,171,3075,158,202,5,262.18080729231,-0.289388919109641,0.256361144674526,0.0481493217479083,NA
"DBD:Jerala_P1:AD:Jerala_P9",2007,951,3525,167,115,11,405.833008403781,0.222933045732354,0.309651181936867,0.0988684126423399,NA
"DBD:Jerala_P1:AD:Jerala_P10",4838,250,5302,289,196,7,405.563133252691,-0.218352557028049,0.263392696251399,0.116522317472618,NA
"DBD:Jerala_P1:AD:Jerala_P11",2468,144,2414,114,190,17,292.011098575696,-0.12662066197084,0.247969946188945,0.349085131765865,NA
"DBD:Jerala_P1:AD:Jerala_P12",2808,1334,2235,136,179,16,500.102946292168,0.246601819268259,0.392906742064171,0.0757835180856709,0.11892817078162
"DBD:Jerala_P2:AD:Jerala_P3",3980,599,2610,141,252,7,380.597943788227,-0.0429916660411289,0.252378186569881,0.739120592010366,NA
"DBD:Jerala_P2:AD:Jerala_P4",2330,211,2812,175,147,97,703.836695344525,0.383529570246061,0.719216049471741,0.0446437794827994,0.0932682163583748
"DBD:Jerala_P2:AD:Jerala_P5",5504,1073,5276,356,278,32,728.424201199259,0.0910056224322189,0.292117459121262,0.42450496990072,0.526971686773308
"DBD:Jerala_P2:AD:Jerala_P6",3296,1184,4938,290,192,2,509.359602891304,0.0659851236604069,0.291945415506934,0.548003817414075,0.636391529900216
"DBD:Jerala_P2:AD:Jerala_P7",4359,341,4089,289,109,5,350.230663038752,-0.0626409112971556,0.244957544047112,0.639808981995047,NA
"DBD:Jerala_P2:AD:Jerala_P8",4395,363,2798,180,187,12,362.76849869364,-0.0862164174300055,0.23148334533605,0.538141355941492,NA
"DBD:Jerala_P2:AD:Jerala_P9",1814,138,1772,128,91,5,178.041072527082,-0.0877699375379919,0.232549604274211,0.529882399350916,NA
"DBD:Jerala_P2:AD:Jerala_P10",3133,253,2418,187,98,4,246.292254032388,-0.0575220310224898,0.23480357542842,0.677712437857237,NA
"DBD:Jerala_P2:AD:Jerala_P11",3345,247,1720,94,162,12,272.901853642275,-0.114221125302473,0.241168677247639,0.405415970919647,NA
"DBD:Jerala_P2:AD:Jerala_P12",3622,349,3162,175,120,4,290.761439688073,-0.0968061410019179,0.236842186744564,0.484204193091241,NA
"DBD:Jerala_P3:AD:Jerala_P4",269,11454,1106,11380,79,2683,18108.7424565036,8.22031348600344,0.989888175267447,4.32123692052085e-17,1.72849476820834e-16
"DBD:Jerala_P3:AD:Jerala_P5",2565,192,1660,106,106,39,365.488563389537,0.232272070182733,0.334963842888041,0.0871632633383732,NA
"DBD:Jerala_P3:AD:Jerala_P6",1728,110,1552,95,210,7,208.785099445105,-0.271716708493217,0.288905831117049,0.0579928923625865,NA
"DBD:Jerala_P3:AD:Jerala_P7",2176,141,1893,537,134,6,308.612943758256,0.180562968174247,0.278934789296403,0.170531995091621,NA
"DBD:Jerala_P3:AD:Jerala_P8",1716,120,2795,1792,125,26,722.855267962055,0.649996591574617,0.987154442812271,0.0182548508902451,0.0469410451463446
"DBD:Jerala_P3:AD:Jerala_P9",2965,175,1690,97,77,2,176.014319920418,-0.183114863163327,0.258293267073775,0.179648749918945,NA
"DBD:Jerala_P3:AD:Jerala_P10",3781,256,3994,236,94,7,314.874658199604,-0.0987669064278723,0.240706169188444,0.470691560975669,NA
"DBD:Jerala_P3:AD:Jerala_P11",1641,95,912,54,175,5,160.239529564298,-0.31365523694856,0.345430477622487,0.035745672826133,NA
"DBD:Jerala_P3:AD:Jerala_P12",1691,116,1037,77,53,0,107.496394242596,-0.114174454915911,0.260768738814939,0.375864260155191,NA
