"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P1:AD:Jerala_P2",1356,62934,1523,53793,148,5223,25556.7724195027,7.09856807486479,0.667568947534493,8.93385096682087e-27,1.10184161924124e-25
"DBD:Jerala_P1:AD:Jerala_P6",4762,381,3346,184,209,27,483.923622909053,-1.39702813764824,0.582607835787859,0.00243691371824761,0.00635274930416057
"DBD:Jerala_P2:AD:Jerala_P1",571,31951,1811,51509,76,1339,18722.3684767783,7.09192469524852,0.80385827561651,4.77229251066248e-19,1.96194247660569e-18
"DBD:Jerala_P2:AD:Jerala_P4",2330,211,2812,175,147,97,391.064818232426,-0.614611464623311,0.469614580188416,0.121347191688541,0.204083913294364
"DBD:Jerala_P2:AD:Jerala_P5",5504,1073,5276,356,278,32,736.631546249503,-0.704441229320471,0.6186134414638,0.134731790079159,0.216742444909951
"DBD:Jerala_P3:AD:Jerala_P4",269,11454,1106,11380,79,2683,6433.76967792661,6.07411163149829,0.65409092021936,8.56405530477746e-21,3.96087557845958e-20
"DBD:Jerala_P3:AD:Jerala_P5",2565,192,1660,106,106,39,270.717855709741,-1.21143049931269,0.302242117193661,1.40081771828084e-05,4.71184141603555e-05
"DBD:Jerala_P3:AD:Jerala_P8",1716,120,2795,1792,125,26,745.217578814516,0.656939000933964,0.829311560341984,NA,NA
"DBD:Jerala_P4:AD:Jerala_P1",2322,174,3790,209,248,20,427.049578319001,-1.49397585833483,0.645665131080754,0.00257543890709212,0.00635274930416057
"DBD:Jerala_P4:AD:Jerala_P3",1484,79476,1087,70559,85,2203,29650.8433628099,7.68317166703394,0.803118641934389,4.06185063384032e-22,2.14697819217274e-21
