"","count_DBDAD_trp1_l61_2mM","count_ADDBD_trp1_l61_2mM","count_DBDAD_his1_l61_2mM","count_ADDBD_his1_l61_2mM","count_DBDAD_trp1_l67","count_ADDBD_trp1_l67","count_DBDAD_his1_l67","count_ADDBD_his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P1:Jerala_P2",1356,571,62934,31951,148,76,5223,1339,23478.6258198188,8.6641485134371,0.555307519805232,2.66862785560696e-55,1.00073544585261e-53
"Jerala_P1:Jerala_P3",3068,1615,215,117,199,202,13,11,185.719206274114,-0.324316074094484,0.306347006898615,0.182598726538083,0.330476966180673
"Jerala_P1:Jerala_P4",1644,2322,129,174,166,248,15,20,206.91257111593,-0.00721857703249253,0.339478892011617,0.977119500078737,0.979558899137613
"Jerala_P1:Jerala_P5",2895,3203,251,221,96,161,6,9,163.624900737686,-0.242118840851283,0.253107986882776,0.265880537439427,0.392827953744691
"Jerala_P1:Jerala_P6",4762,2453,381,166,209,126,27,1,222.991394903339,-0.209224237802252,0.314872897774707,0.394784456602165,0.505440690797608
"Jerala_P1:Jerala_P7",3556,1688,281,122,193,47,6,1,129.208376885314,-0.390850786708455,0.276115214496303,0.0894311745583377,0.216365744899204
"Jerala_P1:Jerala_P8",2271,3013,171,238,202,143,5,4,151.450207438742,-0.568475803360172,0.270209863243917,0.0123775456115251,0.0580197450540239
"Jerala_P1:Jerala_P9",2007,2816,951,1140,115,170,11,21,321.640626557799,1.01869969696928,0.424573053153594,0.000376656829236751,0.00403560888467947
"Jerala_P1:Jerala_P10",4838,4259,250,326,196,192,7,15,234.256272831462,-0.38311546933223,0.288763315470208,0.104774294836752,0.238123397356255
"Jerala_P1:Jerala_P11",2468,1736,144,190,190,126,17,9,173.950500229925,-0.0864388154996378,0.295428454885238,0.716976323679893,0.790782709941058
"Jerala_P1:Jerala_P12",2808,3432,1334,264,179,192,16,9,293.389340098047,0.288799227405836,0.35769334358066,0.260266196786433,0.392827953744691
"Jerala_P2:Jerala_P3",3980,3416,599,241,252,150,7,15,242.861958927792,-0.0431628356495815,0.303428240355085,0.858162582360749,0.906509770099382
"Jerala_P2:Jerala_P4",2330,2577,211,713,147,145,97,4,405.92250514439,0.54960568082945,0.546288681087453,0.0454437526254897,0.150021648987069
"Jerala_P2:Jerala_P5",5504,4294,1073,280,278,321,32,12,386.342179206037,0.0267004651464601,0.371326553144519,0.916586079467837,0.941698026850518
"Jerala_P2:Jerala_P6",3296,2679,1184,1363,192,178,2,21,356.576025141584,0.530001477204101,0.44565085225452,0.050007216329023,0.150021648987069
"Jerala_P2:Jerala_P7",4359,2073,341,117,109,158,5,8,161.485689374663,-0.373028711661842,0.292458828967595,0.116739149849161,0.243206562185752
"Jerala_P2:Jerala_P8",4395,3599,363,276,187,228,12,7,226.428660013961,-0.334196081438098,0.272949978542873,0.143497186222224,0.278687689324223
"Jerala_P2:Jerala_P9",1814,2271,138,866,91,193,5,26,230.068955352305,0.362659734751978,0.321262494080857,0.144917598448596,0.278687689324223
"Jerala_P10:Jerala_P2",3133,5282,253,415,98,166,4,9,194.296805064175,-0.227403226966772,0.28179280244135,0.328346369184097,0.456036623866802
"Jerala_P11:Jerala_P2",3345,3909,247,383,162,108,12,7,197.590809021183,-0.0911991695588518,0.279440415517069,0.693510302468645,0.790782709941058
"Jerala_P12:Jerala_P2",3622,4263,349,289,120,152,4,3,173.898960085214,-0.331524867543544,0.290561012701426,0.161604851062593,0.303009095742361
"Jerala_P3:Jerala_P4",269,1484,11454,79476,79,85,2683,2203,18948.3402883981,8.76093664781248,0.779827139730365,1.01768412538502e-29,2.54421031346255e-28
"Jerala_P3:Jerala_P5",2565,3212,192,230,106,143,39,12,245.167684958315,0.339626723027706,0.369342844832158,0.189473460610252,0.330476966180673
"Jerala_P3:Jerala_P6",1728,2999,110,230,210,192,7,10,170.177262325849,-0.548264556720795,0.301007359797546,0.0235614170635045,0.0841479180839447
"Jerala_P3:Jerala_P7",2176,1745,141,135,134,162,6,5,126.705308067559,-0.6255300222141,0.26159597094185,0.00494444813307323,0.0370833609980493
"Jerala_P3:Jerala_P8",1716,2486,120,189,125,235,26,159,572.109342653189,0.554610283383841,0.688385405972477,0.0484178384174024,0.150021648987069
"Jerala_P3:Jerala_P9",2965,4845,175,308,77,299,2,19,211.799480063662,-0.381696853378736,0.301876973587902,0.114469386326361,0.243206562185752
"Jerala_P10:Jerala_P3",3781,6396,256,1021,94,505,7,59,436.579746077119,0.0975524407600383,0.395698618796759,0.700777142892221,0.790782709941058
"Jerala_P11:Jerala_P3",1641,2653,95,291,175,116,5,3,130.527111599907,-0.460014342116951,0.305376924793373,0.0589525448859361,0.1637570691276
"Jerala_P12:Jerala_P3",1691,3173,116,284,53,137,0,156,486.53226510407,0.234222099971808,0.508456822214648,0.312764187035441,0.442590830710529
"Jerala_P4:Jerala_P5",4121,2329,341,191,257,100,7,7,184.629679426194,-0.34446453340026,0.25554144989021,0.115784522491852,0.243206562185752
"Jerala_P4:Jerala_P6",4917,1449,347,119,296,184,11,19,237.101012189238,-0.133697577275871,0.342948517653383,0.596741582515637,0.699306542010513
"Jerala_P4:Jerala_P7",3106,1048,236,80,149,193,7,11,155.767454798578,-0.328447035622236,0.323152684039898,0.187403571244919,0.330476966180673
"Jerala_P4:Jerala_P8",2262,2153,193,171,225,130,6,2,139.84556777209,-0.59860202305042,0.27780529898898,0.00965365450369953,0.0533972556923256
"Jerala_P4:Jerala_P9",4152,1896,360,102,128,125,11,7,169.017877204016,-0.265753510618578,0.276924902817586,0.248643346293132,0.392827953744691
"Jerala_P10:Jerala_P4",4647,1905,966,160,244,135,30,5,285.761011267597,0.139503099851463,0.323418555677513,0.574076189588876,0.688704268758206
"Jerala_P11:Jerala_P4",2266,1747,1524,262,130,87,16,9,265.055485309141,0.824515921936716,0.390873562812464,0.0026258141396524,0.0218817844971034
"Jerala_P12:Jerala_P4",3052,1707,268,113,214,203,6,12,177.825273377498,-0.422391140725976,0.305047199178859,0.0825129447551876,0.206282361887969
"Jerala_P5:Jerala_P6",1203,1663,21659,3625,220,158,5264,1237,18094.7875448404,7.24356140079835,0.913915305671255,1.13460654886932e-15,1.41825818608665e-14
"Jerala_P5:Jerala_P7",3083,3027,347,221,192,63,8,14,188.767026508425,0.0329651329284359,0.293164251543161,0.889601319080871,0.92666804070924
"Jerala_P5:Jerala_P8",2649,3406,196,243,202,140,2,5,154.785087142192,-0.616574363303255,0.274184597353055,0.00720194404447852,0.0491041639396263
"Jerala_P5:Jerala_P9",2917,7351,257,450,166,113,8,11,231.026606151327,-0.220023170764098,0.322157753032199,0.37533569585075,0.502681735514397
"Jerala_P10:Jerala_P5",2038,5595,135,7314,77,234,2,6,689.475964559921,0.199673651760808,0.518081563869934,0.373974339597607,0.502681735514397
"Jerala_P11:Jerala_P5",2945,2224,871,258,204,136,36,19,318.072574014211,0.624909663668851,0.360357820824787,0.0174279102838235,0.0726162928492645
"Jerala_P12:Jerala_P5",3141,3629,283,255,220,152,6,8,190.245726325429,-0.413220687941763,0.260685456331324,0.0626426403899083,0.167792786758683
"Jerala_P6:Jerala_P7",3166,2176,244,157,160,140,5,4,143.820898104683,-0.53320620575475,0.243142736966932,0.0117503644727913,0.0580197450540239
"Jerala_P6:Jerala_P8",2849,2744,193,259,105,208,14,14,198.433199474491,-0.0449015725293943,0.277410754767699,0.845501627219378,0.90589460059219
"Jerala_P6:Jerala_P9",1546,3432,2437,196,163,131,357,6,1186.86718199194,0.482881263454008,0.722628348940263,0.0736693031187486,0.190524059789867
"Jerala_P10:Jerala_P6",2524,5601,159,2544,164,256,374,33,1343.3587246964,1.20268185529078,1.2922482234804,0.00824329332586383,0.0515205832866489
"Jerala_P11:Jerala_P6",2376,2725,196,259,122,81,14,8,163.299580771892,0.0684949473289527,0.267920743571436,0.761519219147993,0.827738281682601
"Jerala_P12:Jerala_P6",1919,3169,140,220,219,278,11,13,206.516829655423,-0.416189547982555,0.317066169916296,0.0929618876318111,0.217879424137057
"Jerala_P7:Jerala_P8",2019,2071,3266,29996,92,97,2263,3182,16031.7762941051,7.74404875424976,0.927887852200121,3.20811263730588e-17,4.81216895595881e-16
"Jerala_P7:Jerala_P9",2028,2664,141,2462,160,186,11,8,335.000644881414,0.382403208585721,0.428465845922119,0.142536729791258,0.278687689324223
"Jerala_P10:Jerala_P7",1334,5186,124,418,58,294,3,13,189.695707000147,-0.256117801718896,0.251957377037599,0.237786565038463,0.392827953744691
"Jerala_P11:Jerala_P7",2102,1566,1348,478,92,61,5,3,212.811979665384,0.53622034353058,0.512193705744094,0.0490111763983949,0.150021648987069
"Jerala_P12:Jerala_P7",2541,3227,201,461,157,206,6,8,189.173943841569,-0.192458286588734,0.259697368628577,0.38453441489651,0.505440690797608
"Jerala_P8:Jerala_P9",3133,4258,260,906,50,176,3,17,233.867511615451,0.212493441273811,0.333582332486413,0.397613343427452,0.505440690797608
"Jerala_P10:Jerala_P8",1600,3338,1096,280,179,187,5,6,230.431586815279,0.190579671693045,0.362982709542115,0.456268220186523,0.570335275233154
"Jerala_P11:Jerala_P8",2190,2400,176,273,189,126,12,7,168.595130682806,-0.15066094021784,0.267495973665892,0.50405241878653,0.619736580475242
"Jerala_P12:Jerala_P8",3965,3097,370,217,292,197,23,6,251.552863580021,-0.254825889556472,0.305533949027594,0.293844046176051,0.423813528138535
"Jerala_P10:Jerala_P9",1339,1561,69496,59826,112,128,2876,4934,29163.5843395776,8.84241300650087,0.410357086981821,2.02967306672717e-103,1.52225480004538e-101
"Jerala_P11:Jerala_P9",2204,2218,137,278,153,102,7,4,135.353637640041,-0.251656915191044,0.269847904038592,0.26712300854639,0.392827953744691
"Jerala_P12:Jerala_P9",3540,2249,219,144,259,60,13,2,163.149758314197,-0.452158625319395,0.290239386275298,0.0564552237194767,0.162851606883106
"Jerala_P10:Jerala_P11",2959,1520,2000,2162,213,142,5,3,426.561207196688,0.681373719042226,0.668765231848938,0.0226955504287498,0.0841479180839447
"Jerala_P10:Jerala_P12",7001,3112,604,496,154,201,4,8,251.481678900085,-0.0909226830179137,0.334502691879662,0.716973825288492,0.790782709941058
"Jerala_P11:Jerala_P12",1073,1503,8068,35130,183,121,5374,2719,23340.371844887,8.25874986112748,0.738988166649136,2.21003685577286e-29,4.14381910457411e-28
"Jerala_P1:Jerala_P1",14,14,8,10,4,4,0,0,2.83646260103674,0.764626264845043,0.542833412029749,0.00996748772923411,0.0533972556923256
"Jerala_P2:Jerala_P2",48,48,9,12,2,2,1,2,10.4344604610602,0.68536555383871,0.460192455603942,0.0149377859788996,0.0659019969657337
"Jerala_P3:Jerala_P3",1540,1540,135,176,51,51,2,3,77.4769139259917,-0.00575296282443324,0.265708316380196,0.979558899137613,0.979558899137613
"Jerala_P4:Jerala_P4",9,9,3,4,2,2,0,0,1.30070370097212,0.670867351476421,0.525697967624338,0.0193022885250844,0.0761932441779646
"Jerala_P5:Jerala_P5",1320,1320,174,227,51,51,1,2,75.6302280240939,0.260862533252053,0.27515644891224,0.255637868580027,0.392827953744691
"Jerala_P6:Jerala_P6",23,23,6,7,1,1,1,2,9.10223165936354,1.01581034503506,0.612587561761532,0.0018895187647435,0.0177142384194703
"Jerala_P7:Jerala_P7",1564,1564,123,160,68,68,1,2,76.1064557964814,-0.250859174571122,0.257116032671726,0.253957367587518,0.392827953744691
"Jerala_P8:Jerala_P8",3,3,0,0,1,1,0,0,0.361339507317051,0.262925333013056,0.508356262901363,0.265986911626542,0.392827953744691
"Jerala_P12:Jerala_P12",3174,3174,301,392,104,104,1,2,145.178849945855,-0.139130203809008,0.417972803437777,0.578511585756893,0.688704268758206
