"","count_DBDAD_trp1_l61_2mM","count_ADDBD_trp1_l61_2mM","count_DBDAD_his1_l61_2mM","count_ADDBD_his1_l61_2mM","count_DBDAD_trp1_l62_2mM","count_ADDBD_trp1_l62_2mM","count_DBDAD_his1_l62_2mM","count_ADDBD_his1_l62_2mM","count_DBDAD_trp1_l67","count_ADDBD_trp1_l67","count_DBDAD_his1_l67","count_ADDBD_his1_l67","count_DBDAD_trp1_new_1_smaller","count_ADDBD_trp1_new_1_smaller","count_DBDAD_his1_new_1_smaller","count_ADDBD_his1_new_1_smaller","count_DBDAD_trp1_new_2_smaller","count_ADDBD_trp1_new_2_smaller","count_DBDAD_his1_new_2_smaller","count_ADDBD_his1_new_2_smaller","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P1:Jerala_P2",1356,571,62934,31951,1523,1811,53793,51509,148,76,5223,1339,6039,2184,85907,13542,5458,1621,131744,17966,55072.1926851564,7.63659654997274,0.420902397666388,6.48833278367867e-74,1.4706887643005e-72
"Jerala_P1:Jerala_P3",3068,1615,215,117,4103,3445,210,194,199,202,13,11,5707,1715,860,89,3599,1231,540,183,561.808317401552,-0.307516158994633,0.288286086341102,0.188318006659987,0.328349344945619
"Jerala_P1:Jerala_P4",1644,2322,129,174,2693,3790,167,209,166,248,15,20,6091,3769,891,188,3903,2779,822,389,651.016102831388,-0.166032054634945,0.29543558107989,0.485025298895373,0.634263852401641
"Jerala_P1:Jerala_P5",2895,3203,251,221,5479,3504,289,184,96,161,6,9,6791,1989,617,233,4669,1172,835,112,594.004916665145,-0.321687317686439,0.295626960903495,0.176985711746342,0.325271037804089
"Jerala_P1:Jerala_P6",4762,2453,381,166,3346,2680,184,152,209,126,27,1,7042,1799,380,235,4751,1421,776,237,602.29864025745,-0.387327299982222,0.231850425871705,0.0506676277201294,0.114846622832293
"Jerala_P1:Jerala_P7",3556,1688,281,122,2158,1340,3621,72,193,47,6,1,5291,1486,449,152,3048,1202,1897,169,946.782033107241,0.376769027226841,0.435666523409618,0.225344001982763,0.379801513208583
"Jerala_P1:Jerala_P8",2271,3013,171,238,3075,4876,158,313,202,143,5,4,6152,1804,678,1580,3950,1318,750,8448,963.148322770095,0.477553679177395,0.443484292690224,0.132727766860862,0.258834879155129
"Jerala_P1:Jerala_P9",2007,2816,951,1140,3525,1977,167,126,115,170,11,21,3191,1635,220,153,2321,1163,470,116,601.590022472203,0.44070887515522,0.39291439659563,0.133223834859258,0.258834879155129
"Jerala_P1:Jerala_P10",4838,4259,250,326,5302,5098,289,337,196,192,7,15,3416,2480,390,224,2906,1479,623,2922,736.290380438922,0.0622345765116457,0.274597043518657,0.782655117857176,0.844770603401396
"Jerala_P1:Jerala_P11",2468,1736,144,190,2414,2447,114,188,190,126,17,9,6394,1582,6741,277,4290,1371,2949,745,1111.41613535962,0.748262956329286,0.465655217726431,0.0281536658756715,0.0706363271016274
"Jerala_P1:Jerala_P12",2808,3432,1334,264,2235,834,136,50,179,192,16,9,7165,2057,6786,73,4296,1507,5108,146,1318.54562018152,0.430304805198597,0.461145788529646,0.182364323797076,0.326336158373714
"Jerala_P2:Jerala_P3",3980,3416,599,241,2610,4677,141,1749,252,150,7,15,4209,3691,269,710,2163,2888,209,328,795.865365830557,0.167754277900923,0.347957255510895,0.529512792873606,0.660388486860754
"Jerala_P2:Jerala_P4",2330,2577,211,713,2812,1817,175,102,147,145,97,4,4040,7579,242,1070,2461,4879,338,1290,892.886707624004,0.367631461909925,0.42403015166621,0.228997971199292,0.379801513208583
"Jerala_P2:Jerala_P5",5504,4294,1073,280,5276,3895,356,255,278,321,32,12,4072,4666,258,540,2785,2986,328,392,840.258766565767,-0.1141919162481,0.268613563204085,0.606646450669022,0.722885445085588
"Jerala_P2:Jerala_P6",3296,2679,1184,1363,4938,2270,290,149,192,178,2,21,3713,4562,238,478,2239,2516,11275,1244,1373.52397963787,1.06047708285024,0.523703991108635,0.005579527173963,0.0199688340962886
"Jerala_P2:Jerala_P7",4359,2073,341,117,4089,2149,289,119,109,158,5,8,2781,3794,136,2361,1567,2465,177,616,607.643847762502,0.103770475870973,0.356913820331353,0.702007440764054,0.795608432865928
"Jerala_P2:Jerala_P8",4395,3599,363,276,2798,3787,180,315,187,228,12,7,3022,4188,222,229,2497,2410,218,466,565.70668427455,-0.452247775051607,0.229570902113609,0.022002997288841,0.0623418256517161
"Jerala_P2:Jerala_P9",1814,2271,138,866,1772,2000,128,106,91,193,5,26,2872,3227,3169,334,2114,1849,12404,484,1363.63441745995,1.36305435213697,0.602499528856345,0.00140901227273821,0.00638752230307987
"Jerala_P10:Jerala_P2",3133,5282,253,415,2418,6044,187,422,98,166,4,9,1657,4020,125,700,1574,2748,180,2637,645.676021148611,0.0135755256006759,0.254338764428362,0.949203528569321,0.963370745413639
"Jerala_P11:Jerala_P2",3345,3909,247,383,1720,1686,94,171,162,108,12,7,3872,3248,6658,2026,2115,2162,337,4289,1202.85143002102,1.30646781160399,0.554459386040862,0.00134756496580512,0.00638752230307987
"Jerala_P12:Jerala_P2",3622,4263,349,289,3162,3205,175,200,120,152,4,3,3093,3595,684,343,2016,2690,213,1060,548.996885929011,-0.145610522834027,0.242971392840213,0.478429721451037,0.634263852401641
"Jerala_P3:Jerala_P4",269,1484,11454,79476,1106,1087,11380,70559,79,85,2683,2203,2963,4167,37538,128229,1572,2720,45424,153771,51157.8322649638,7.94092683347089,0.411793391229426,3.08759492617483e-83,1.04978227489944e-81
"Jerala_P3:Jerala_P5",2565,3212,192,230,1660,2417,106,147,106,143,39,12,3333,2930,462,966,2388,1763,287,13948,1109.48076563935,1.06736430511264,0.528588510280505,0.00554090365153425,0.0199688340962886
"Jerala_P3:Jerala_P6",1728,2999,110,230,1552,1166,95,75,210,192,7,10,2620,2932,194,184,2245,1597,2048,201,478.504639218133,-0.0462922121159063,0.33746252739811,0.859361952243778,0.913072074259014
"Jerala_P3:Jerala_P7",2176,1745,141,135,1893,1483,537,92,134,162,6,5,2168,2565,123,6578,1253,1643,260,308,808.315902638554,0.81750186071644,0.547434406134648,NA,NA
"Jerala_P3:Jerala_P8",1716,2486,120,189,2795,1757,1792,89,125,235,26,159,2370,2698,138,288,1953,2026,283,304,1093.94208138059,1.18519032957671,0.609872847072871,0.0046093585603635,0.018437434241454
"Jerala_P3:Jerala_P9",2965,4845,175,308,1690,3530,97,163,77,299,2,19,1888,2168,90,127,1323,1501,163,301,422.202383929317,-0.542983291843761,0.305381796826967,0.0290855464536113,0.0706363271016274
"Jerala_P10:Jerala_P3",3781,6396,256,1021,3994,4536,236,309,94,505,7,59,957,2807,56,1576,1049,1616,90,1156,859.376922573386,0.166954656265387,0.351341848979638,0.53413774672561,0.660388486860754
"Jerala_P11:Jerala_P3",1641,2653,95,291,912,3184,54,572,175,116,5,3,2195,1977,93,473,1521,1643,290,1705,455.430085858555,0.0240780078045529,0.298054747149255,0.919941624045014,0.947818642955469
"Jerala_P12:Jerala_P3",1691,3173,116,284,1037,1265,77,75,53,137,0,156,2816,2596,191,215,1425,1563,372,833,757.961844550331,0.493454751696961,0.496117211668469,NA,NA
"Jerala_P4:Jerala_P5",4121,2329,341,191,4110,1255,229,77,257,100,7,7,6298,3582,382,2041,4366,1486,2316,265,761.693003320681,0.280704447798821,0.382725528197759,NA,NA
"Jerala_P4:Jerala_P6",4917,1449,347,119,1570,1061,97,66,296,184,11,19,6359,3263,355,292,4867,2749,1601,644,654.813967531209,-0.147382265081019,0.325172901711512,0.562764939067309,0.683357426010304
"Jerala_P4:Jerala_P7",3106,1048,236,80,2778,1347,670,88,149,193,7,11,4528,3206,466,92,2638,1592,4338,253,722.248219546544,0.178535062895508,0.37540366580021,0.524443141788672,0.660388486860754
"Jerala_P4:Jerala_P8",2262,2153,193,171,2830,2412,174,169,225,130,6,2,4453,2698,248,179,3033,2013,354,282,438.728959834938,-0.699647784433291,0.208223458542288,0.000207559866363354,0.00201629584467258
"Jerala_P4:Jerala_P9",4152,1896,360,102,1438,1269,96,67,128,125,11,7,3548,1702,249,66,2737,1080,631,182,396.247921845039,-0.420990036892062,0.276493347330256,0.0645983822074982,0.141699677100319
"Jerala_P10:Jerala_P4",4647,1905,966,160,4222,3674,2446,219,244,135,30,5,2622,2882,108,153,2280,2412,660,4529,1097.87040367022,0.843017335199426,0.498453640313718,0.0190601289861473,0.0563516856981748
"Jerala_P11:Jerala_P4",2266,1747,1524,262,1717,2329,128,351,130,87,16,9,6337,2396,1881,2326,3563,1481,734,1078,920.44198220798,1.14749822699749,0.407996097807325,0.000653469181061497,0.00369580222353635
"Jerala_P12:Jerala_P4",3052,1707,268,113,1136,2022,15557,117,214,203,6,12,5496,3244,380,112,2815,1972,767,357,2592.75320860195,0.839386816798292,0.643349492789081,NA,NA
"Jerala_P5:Jerala_P6",1203,1663,21659,3625,2184,1499,9798,332,220,158,5264,1237,2961,2919,24410,22101,1474,1800,20355,29168,27086.5158201346,6.64544515950868,0.561165942310601,1.27804593785248e-32,1.44845206289948e-31
"Jerala_P5:Jerala_P7",3083,3027,347,221,6117,2053,342,107,192,63,8,14,2456,2509,1260,196,1646,1857,404,364,578.876057092886,0.073313924840486,0.274578101615007,0.745162661191357,0.830457608144341
"Jerala_P5:Jerala_P8",2649,3406,196,243,2363,2825,153,171,202,140,2,5,2877,3466,174,518,1783,2137,562,4303,614.19925290609,0.12481914397978,0.329494200216158,0.627209430294849,0.722885445085588
"Jerala_P5:Jerala_P9",2917,7351,257,450,2292,3753,143,4194,166,113,8,11,2340,2654,4261,2925,1329,1375,289,221,1433.29097260816,1.46535605242268,0.603705052973155,0.000706550425087832,0.00369580222353635
"Jerala_P10:Jerala_P5",2038,5595,135,7314,5026,3297,270,218,77,234,2,6,959,3734,5655,1298,801,2829,2060,372,1634.66726692379,1.62854824003875,0.691552318143301,0.000527206893346323,0.00358500687475499
"Jerala_P11:Jerala_P5",2945,2224,871,258,1664,3164,89,6665,204,136,36,19,3189,2936,199,1794,1350,1438,410,850,1490.2106533661,1.49924752126131,0.57675243402281,0.000413804120777568,0.00312652002365274
"Jerala_P12:Jerala_P5",3141,3629,283,255,3938,4485,221,274,220,152,6,8,2414,3507,169,3033,1337,2143,202,1745,742.857099874529,0.191986693212043,0.33692715543446,0.462103287453603,0.628460470936899
"Jerala_P6:Jerala_P7",3166,2176,244,157,1850,1417,115,95,160,140,5,4,2505,2331,162,210,1893,1515,274,472,364.620341353301,-0.463121751134063,0.198329554834195,0.00830199405787007,0.0282267797967582
"Jerala_P6:Jerala_P8",2849,2744,193,259,1720,4016,117,254,105,208,14,14,2777,3176,568,393,1744,2263,242,1870,578.775238022742,0.172339873504939,0.241608238035484,0.39920633570297,0.554000629138816
"Jerala_P6:Jerala_P9",1546,3432,2437,196,1299,2971,95,159,163,131,357,6,2054,2106,108,163,1120,1464,218,179,1500.45927155633,0.870832812830818,0.621545428897203,0.028661271298738,0.0706363271016274
"Jerala_P10:Jerala_P6",2524,5601,159,2544,741,4966,44,333,164,256,374,33,1520,3180,70,390,1205,2422,2800,482,1867.44205743849,1.66745787855845,0.755497576209788,0.000689362838503595,0.00369580222353635
"Jerala_P11:Jerala_P6",2376,2725,196,259,2009,3874,111,272,122,81,14,8,2850,2049,279,3747,1337,1215,191,615,662.892572679092,0.561610908274094,0.415397516181452,NA,NA
"Jerala_P12:Jerala_P6",1919,3169,140,220,1407,3638,91,242,219,278,11,13,2728,2799,93,2179,1396,2128,1248,418,643.641164657781,0.269945786695182,0.358232220482374,0.322244701977401,0.476361733357897
"Jerala_P7:Jerala_P8",2019,2071,3266,29996,1392,2410,746,18154,92,97,2263,3182,1922,2441,17748,26466,1535,1296,9732,7722,24231.9273155381,6.92764105518569,0.545000270072623,2.6324484174498e-37,3.58012984773173e-36
"Jerala_P7:Jerala_P9",2028,2664,141,2462,983,4101,56,178,160,186,11,8,2048,1931,233,102,1248,1073,338,91,562.306521830532,0.303730862013446,0.418719387811148,0.314100888344822,0.474641342387731
"Jerala_P10:Jerala_P7",1334,5186,124,418,1790,1732,110,107,58,294,3,13,1799,2284,49,221,817,1494,134,265,371.282794529318,-0.383789396916006,0.306646194570926,0.118080068994859,0.246688127327503
"Jerala_P11:Jerala_P7",2102,1566,1348,478,1954,3782,136,382,92,61,5,3,1773,1934,104,381,1299,1183,311,2391,573.998726060103,0.870334939138389,0.433476351235029,0.00920288324246858,0.029799812404184
"Jerala_P12:Jerala_P7",2541,3227,201,461,1444,5175,75,265,157,206,6,8,2296,2205,154,254,1214,1847,283,939,470.986209941371,-0.198921598709513,0.214935833997162,0.285967694178403,0.458465818048691
"Jerala_P8:Jerala_P9",3133,4258,260,906,3173,2754,209,126,50,176,3,17,1826,2118,85,112,1177,1499,182,203,463.039193273248,-0.0343775185424068,0.335766312982096,0.894960086309209,0.936265936446557
