"","trp1_l61_2mM","his1_l61_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P1:AD:Jerala_P1",14,9,4,0,2.97510096425155,0.0537673960922099,1.34468903782721,0.887779939789043,NA
"DBD:Jerala_P1:AD:Jerala_P2",1356,62934,148,5223,35293.5856424455,8.89736776636295,0.648003883275386,2.45537419868604e-43,3.80583000796336e-42
"DBD:Jerala_P1:AD:Jerala_P3",3068,215,199,13,211.628304327388,-0.152727151742366,0.336088948168473,0.478014786282891,NA
"DBD:Jerala_P1:AD:Jerala_P4",1644,129,166,15,172.965112048467,-0.00215202354897684,0.358367115183462,0.991754925948349,NA
"DBD:Jerala_P1:AD:Jerala_P5",2895,251,96,6,148.342442564503,-0.0410546595855655,0.33440010250288,0.847534804415171,NA
"DBD:Jerala_P1:AD:Jerala_P6",4762,381,209,27,336.9643151609,0.108179424830902,0.364341981452017,0.604371635044952,0.695741436349372
"DBD:Jerala_P1:AD:Jerala_P7",3556,281,193,6,195.13934207545,-0.255703054143513,0.336156415862183,0.242117492360787,NA
"DBD:Jerala_P1:AD:Jerala_P8",2271,171,202,5,153.921412548276,-0.392568688318535,0.37433662192529,0.0831317819200358,NA
"DBD:Jerala_P1:AD:Jerala_P9",2007,951,115,11,277.66750694927,0.770964956217409,0.619255332058961,0.00817599599240276,0.0266795658699459
"DBD:Jerala_P1:AD:Jerala_P10",4838,250,196,7,217.140136911503,-0.402380468322539,0.363002632328407,0.0757788553948684,NA
"DBD:Jerala_P1:AD:Jerala_P11",2468,144,190,17,206.32143598047,-0.0556133466940378,0.356367158096522,0.790483215565178,NA
"DBD:Jerala_P1:AD:Jerala_P12",2808,1334,179,16,397.73236463703,0.617592003497502,0.576935444130549,0.0209001641860119,0.0446831096390599
"DBD:Jerala_P2:AD:Jerala_P1",571,31951,76,1339,11643.0162059123,8.31666318447045,0.785395512536207,1.38657111518597e-26,1.228105844879e-25
"DBD:Jerala_P2:AD:Jerala_P2",48,10,2,1,7.84545147691296,0.1791864400268,1.43134194685825,0.652236312814542,NA
"DBD:Jerala_P2:AD:Jerala_P3",3980,599,252,7,277.625292750063,-0.0166483767280907,0.359684160458881,0.936181339249623,0.94707355672635
"DBD:Jerala_P2:AD:Jerala_P4",2330,211,147,97,583.585517787208,1.0367798005453,1.16090487129173,0.0134002703410873,0.03437699987318
"DBD:Jerala_P2:AD:Jerala_P5",5504,1073,278,32,508.026894426064,0.289923585432199,0.40036059092348,0.181968026216032,0.256409491486227
"DBD:Jerala_P2:AD:Jerala_P6",3296,1184,192,2,318.622922589991,0.208442342471163,0.443382655115889,0.304181481130206,0.384882690409649
"DBD:Jerala_P2:AD:Jerala_P7",4359,341,109,5,186.728645303541,-0.108685653360761,0.3489708905698,0.608598586616931,NA
"DBD:Jerala_P2:AD:Jerala_P8",4395,363,187,12,249.226506049441,-0.0754616716495784,0.334788730873037,0.724175167308264,0.787699304791445
"DBD:Jerala_P2:AD:Jerala_P9",1814,138,91,5,105.566399243533,-0.129296188789737,0.359392319278534,0.539701599384469,NA
