"","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P1:AD:Jerala_P2",1523,53793,148,5223,34893.7783646132,9.02005105910531,0.460665023214479,8.68899675703146e-86,1.73779935140629e-84
"DBD:Jerala_P1:AD:Jerala_P3",4103,210,199,13,225.409396735985,-0.00521283902330409,0.0828802877156037,0.612858007152022,NA
"DBD:Jerala_P1:AD:Jerala_P4",2693,167,166,15,192.566293125449,0.00159731924964571,0.0763440767812663,0.871571599106566,NA
"DBD:Jerala_P1:AD:Jerala_P5",5479,289,96,6,206.302115129871,-0.00580973557795321,0.105690631326526,0.675088208204612,NA
"DBD:Jerala_P1:AD:Jerala_P6",3346,184,209,27,271.84889270787,0.00839426557016139,0.105616676811512,0.522678061294999,0.655159035077723
"DBD:Jerala_P1:AD:Jerala_P7",2158,3621,193,6,905.191203383855,0.60137213195909,1.39011587127533,0.0431139242755844,0.0783889532283353
"DBD:Jerala_P1:AD:Jerala_P8",3075,158,202,5,162.539662070457,-0.0294134611057404,0.181417255840053,0.170701319740977,NA
"DBD:Jerala_P1:AD:Jerala_P9",3525,167,115,11,174.69589381147,-0.00236045862998334,0.0810098416779306,0.822145580905744,NA
"DBD:Jerala_P1:AD:Jerala_P10",5302,289,196,7,235.111570983165,-0.0109593730263559,0.112159959801821,0.417347235733809,NA
"DBD:Jerala_P1:AD:Jerala_P11",2414,114,190,17,191.786545656737,-0.000531710309683667,0.0852690105468337,0.962459153612106,NA
"DBD:Jerala_P1:AD:Jerala_P12",2235,136,179,16,186.207478610264,0.00166153478528218,0.0818266032651205,0.876577821383772,NA
"DBD:Jerala_P2:AD:Jerala_P3",2610,141,252,7,173.646724719529,-0.0342463988755849,0.198458210639699,0.149522948730257,NA
"DBD:Jerala_P2:AD:Jerala_P4",2812,175,147,97,553.555021524757,0.411820276294933,1.01033057702338,0.0382056614883989,0.0764113229767979
"DBD:Jerala_P2:AD:Jerala_P5",5276,356,278,32,382.209752852446,0.00803474533785802,0.109718279183034,0.564441698646395,0.664049057231053
"DBD:Jerala_P2:AD:Jerala_P6",4938,290,192,2,206.124404031737,-0.0197115768452979,0.160398140893741,0.315055242156288,NA
"DBD:Jerala_P2:AD:Jerala_P7",4089,289,109,5,182.47710719172,-0.00133324972703433,0.089465709192616,0.910937619565131,NA
"DBD:Jerala_P2:AD:Jerala_P8",2798,180,187,12,189.612285914788,-0.00223918422722135,0.0750000391999203,0.815994655628853,NA
"DBD:Jerala_P2:AD:Jerala_P9",1772,128,91,5,104.156817710007,-0.00106060981713415,0.0819615695034539,0.921497498410429,NA
"DBD:Jerala_P2:AD:Jerala_P10",2418,187,98,4,125.194086203954,-0.000853090465824906,0.0849644359602571,0.939485186523833,NA
