"","trp1_l44","his1_l44","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:mALb8_A:AD:mALb8_A",194,42,2,4,66.7010238279176,-0.0695072710758061,1.0793912120916,0.888701673774052,0.889621498718975
"DBD:mALb8_A:AD:mALb8_B",73,6002,716,22390,13380.2737403544,7.32855459124757,1.01261063163344,1.8423694081809e-13,8.29066233681405e-13
"DBD:mALb8_A:AD:mALb8_cutT1_A",274,81,906,108,221.369315147117,-0.0421361062778197,0.37828694781261,0.753587530332229,0.838579367687846
"DBD:mALb8_A:AD:mALb8_cutT1_B",287,10127,831,22731,16320.1015616304,6.9575799121166,0.753128074817103,1.12301199726387e-20,1.34761439671665e-19
"DBD:mALb8_A:AD:mALb8_cutT2_A",170,19,1230,44,158.828195985103,-0.827918977884521,1.2272747394258,0.0875600552232412,0.242473999079745
"DBD:mALb8_A:AD:mALb8_cutT2_B",176,8,296,10,65.9549325364326,-1.22474925283543,1.550554265305,0.0673731158330901,0.20211934749927
"DBD:mALb8_B:AD:mALb8_A",471,18985,749,15070,19064.4265739373,6.84505419327133,0.831654360873708,8.51681092414648e-17,4.38007418956105e-16
"DBD:mALb8_B:AD:mALb8_B",143,16,31,21,49.0004001766633,-0.121324488123062,0.839307658991223,0.736630270360898,0.838579367687846
"DBD:mALb8_B:AD:mALb8_cutT1_A",292,13121,689,17703,16213.7409207351,7.08171818004578,0.733106280829658,1.94667991206693e-22,3.50402384172047e-21
"DBD:mALb8_B:AD:mALb8_cutT1_B",335,26,1603,226,299.538691720513,-0.132282186037022,0.57862284878131,0.533868615569436,0.802868223294057
"DBD:mALb8_B:AD:mALb8_cutT2_A",80,21,1429,125,192.186628846404,-0.182980527443086,0.719820984675748,0.509376251655216,0.802868223294057
"DBD:mALb8_B:AD:mALb8_cutT2_B",463,13,350,15,130.147220847026,-1.99441437845061,1.64850035243309,0.0206829303542706,0.0676895902503401
"DBD:mALb8_cutT1_A:AD:mALb8_A",311,19,1300,408,342.46778402403,0.0309544512801517,0.555286151686627,0.889621498718975,0.889621498718975
"DBD:mALb8_cutT1_A:AD:mALb8_B",270,25612,891,28670,29108.7369437102,7.76006976225704,0.764528566272462,1.22086513077793e-24,4.39511447080054e-23
"DBD:mALb8_cutT1_A:AD:mALb8_cutT1_A",210,25,158,7,71.7820048146646,-0.33841765816904,0.973171214265413,0.377340978840822,0.679213761913479
"DBD:mALb8_cutT1_A:AD:mALb8_cutT1_B",442,10788,993,32949,21052.1499259323,6.87480978034126,0.796340189049453,2.72150972696183e-18,1.6329058361771e-17
"DBD:mALb8_cutT1_A:AD:mALb8_cutT2_A",153,10,1385,59,167.875804338084,-0.808148969258288,1.28049391688983,0.110506984941737,0.275456873193149
"DBD:mALb8_cutT1_A:AD:mALb8_cutT2_B",315,51,270,165,183.486069377779,0.0529136488669769,0.475811066933467,0.768697753713859,0.838579367687846
"DBD:mALb8_cutT1_B:AD:mALb8_A",383,18558,596,16428,19316.0875048711,7.17583681704163,0.815971157020508,6.11050146824793e-19,4.39956105713851e-18
"DBD:mALb8_cutT1_B:AD:mALb8_B",264,167,554,83,239.029111463678,0.103977958735572,0.500695544516461,0.561462127922923,0.802868223294057
"DBD:mALb8_cutT1_B:AD:mALb8_cutT1_A",279,27767,669,17114,25722.9815511602,7.7421130290815,0.85851739734363,7.04758815495813e-20,6.34282933946232e-19
