"","trp1_l68","his1_l68","trp1_new_1_smaller","his1_new_1_smaller","trp1_new_2_smaller","his1_new_2_smaller","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:N5:AD:N6",1937,102019,1281,19854,715,19554,62494.0823995013,7.75330023548206,0.81199076092061,2.46858452615638e-22,1.35497861769028e-20
"DBD:N5:AD:N7",6874,1107,3562,378,1784,492,1595.128832177,0.0873397649633106,0.359572826883172,0.629387842778214,0.756464695354892
"DBD:N5:AD:N8",7233,777,2047,4276,1524,7930,6818.54389828451,2.16148965901922,1.63437025378612,0.00359340846862483,0.0183004513762955
"DBD:N5:AD:P5A",8702,810,3228,183,1877,483,1420.11993366479,-0.0648815200390634,0.358531062503754,0.718338625684417,NA
"DBD:N5:AD:P6A",6925,330383,2063,23359,957,56728,174816.383026342,7.92897598156777,0.989018803551238,1.81135482631211e-16,4.47404642099091e-15
"DBD:N5:AD:P7A",4275,559,2470,244,1556,316,1009.27017377612,0.0108503682814402,0.3232549674318,0.954598140327791,NA
"DBD:N5:AD:P8A",8017,605,1884,125,1440,742,1251.1171000715,0.0124953498960806,0.361795210091284,0.943686052990654,NA
"DBD:N5:AD:N1",2183,339,1575,472,1225,578,984.247464228942,0.410066012176991,0.400553658758561,0.0547725179175312,NA
"DBD:N5:AD:N2",8765,1053,1264,6718,1138,2946,6280.53221778477,1.87424954909757,1.64009691959321,0.00590660407910244,0.0288897268819466
"DBD:N5:AD:AN3",10896,906,3724,218,2240,3656,2978.59430345716,0.200333428406624,0.505963886709852,0.284905324969001,0.437090778058033
"DBD:N5:AD:AN35",6175,484,1822,67,1300,285,875.633564971395,-0.145428833876935,0.358877196946633,0.434326680420415,NA
"DBD:N5:AD:AN4",7249,86741,1721,18216,749,6551,49999.0441162251,6.31206267542217,0.945823908859821,8.01903106331677e-12,1.01574393468679e-10
"DBD:N5:AD:BN3",5167,341,1921,238,1313,209,850.649001951357,-0.131253609097177,0.325634929091289,0.495780500979129,NA
"DBD:N5:AD:BN35",7439,7365,3556,163,2175,560,4142.75363938708,0.475181108749124,0.884228476848933,0.0870106470482077,0.210484898387741
"DBD:N5:AD:BN4",8018,11401,2240,1821,1442,28683,18496.7347774691,4.53789568432402,1.02949846360494,3.53863315927813e-06,2.86571275521868e-05
"DBD:N5:AD:PUMA_M144A_A139G",4691,489,2806,109,1382,260,897.518075332434,-0.152161371615968,0.339526045271385,0.425093138149019,NA
"DBD:N5:AD:PUMA_M144A_A139G_A150G",10406,2638,1331,114,729,4254,3558.48432371353,0.567921977594534,0.964723433109486,0.0630718513771989,0.168041603569683
"DBD:N5:AD:PUMA_M144A_D147G",8391,494,1500,105,868,970,1223.56424033107,0.0634577431544032,0.379413692209513,0.714685682315468,NA
"DBD:N5:AD:PUMA_M144A_E132A",10389,7770,2489,242,1702,291,4258.48378538913,0.455453939995781,0.886868210262415,NA,NA
"DBD:N5:AD:PUMA_M144A_E136G",11711,1248,2927,277,1010,206,1565.90022575829,-0.0105750627481241,0.385418381772166,0.950252099114708,0.968957321338876
"DBD:N5:AD:PUMA_M144A_E158A",7801,649,371,34,223,50,696.31643611295,-0.0359017899309591,0.522861160796338,NA,NA
"DBD:N5:AD:PUMA_M144A_I137A",7385,610,2347,211,1423,132,1047.98498227261,-0.133804759129539,0.36333567130289,0.46694733559024,NA
"DBD:N5:AD:PUMA_M144A_R143A",10509,2141,1964,188,1377,169,1789.85428266104,0.0962412267878275,0.425133820374033,NA,NA
"DBD:N5:AD:PUMA_M144A_W133F",10951,683,2033,3175,1389,1901,3732.49042461495,0.510886499522349,0.831951528895956,0.0642170267378786,0.16964284068723
"DBD:N5:AD:PUMA_M144A_Y152A",7203,834,1843,73,981,138,975.956520249394,-0.0536949468860631,0.375152307448065,0.757714547111233,NA
"DBD:N5:AD:Jerala_P1",1531,163,1571,379,1437,2487,1651.10891132661,0.760565259957536,0.938358711159411,0.0231595973176954,0.082308209172241
"DBD:N5:AD:Jerala_P2",1342,81,4141,566,3457,2882,2252.73584827807,0.215498143989191,0.541934221491591,0.262839849843188,0.417501240586928
"DBD:N5:AD:Jerala_P3",1731,131,2401,7259,1907,3144,6149.10269580206,2.34219856345177,1.83187511545482,0.00421578294783565,0.0212509875125593
"DBD:N5:AD:Jerala_P4",3122,440,3948,308,2308,506,1196.76349748472,-0.0293619798209374,0.333105704980368,0.875631945360862,NA
"DBD:N5:AD:Jerala_P5",1385,1105,3339,350,2225,4089,2880.47781950916,0.759921310501768,1.01822126824879,0.0288431549097515,0.095627641110183
"DBD:N5:AD:Jerala_P6",1779,2264,1942,36867,1613,55896,46911.8848022217,6.66024606775639,0.960562436723216,1.15815530199453e-12,1.54629383563594e-11
"DBD:N5:AD:Jerala_P7",2418,294,2901,341,1611,324,912.795389199951,0.0125548962599184,0.321945509740719,0.947580979848514,NA
