,trp1_l43,his1_l43,trp1_l44,his1_l44,trp1_l49,his1_l49
DBD:A_ZCON_13:AD:A_ZCON_13,119.0,31.0,12.0,1.0,5.0,0.0
DBD:A_ZCON_13:AD:A_ZCON_150,2038.0,138.0,289.0,28.0,5.0,2.0
DBD:A_ZCON_13:AD:A_ZCON_154,2382.0,100.0,172.0,13.0,24.0,13.0
DBD:A_ZCON_13:AD:A_ZCON_155,1758.0,197.0,361.0,53.0,12.0,0.0
DBD:A_ZCON_13:AD:A_ZCON_15_re_loop,532.0,160.0,166.0,33.0,6.0,5.0
DBD:A_ZCON_13:AD:A_ZCON_162,1173.0,46.0,234.0,10.0,16.0,3.0
DBD:A_ZCON_13:AD:A_ZCON_37_3,512.0,6.0,199.0,55.0,7.0,4.0
DBD:A_ZCON_13:AD:A_ZCON_37,1151.0,198.0,71.0,6.0,9.0,0.0
DBD:A_ZCON_13:AD:A_ZCON_6,4161.0,89.0,163.0,23.0,27.0,0.0
DBD:A_ZCON_13:AD:B_ZCON_13,3046.0,2231.0,187.0,366.0,1.0,1.0
DBD:A_ZCON_13:AD:B_ZCON_150,1751.0,172.0,165.0,49.0,6.0,0.0
DBD:A_ZCON_13:AD:B_ZCON_154,1578.0,252.0,232.0,27.0,11.0,4.0
DBD:A_ZCON_13:AD:B_ZCON_155,2.0,2.0,28.0,6.0,2.0,5.0
DBD:A_ZCON_13:AD:B_ZCON_15_re_loop,1887.0,243.0,303.0,70.0,12.0,10.0
DBD:A_ZCON_13:AD:B_ZCON_162,697.0,172.0,244.0,63.0,9.0,5.0
DBD:A_ZCON_13:AD:B_ZCON_37_3,798.0,74.0,82.0,3.0,6.0,2.0
DBD:A_ZCON_13:AD:B_ZCON_37,1155.0,24.0,251.0,82.0,4.0,3.0
DBD:A_ZCON_13:AD:B_ZCON_6,1125.0,95.0,90.0,29.0,10.0,0.0
DBD:A_ZCON_13:AD:DHDr2_00_A,1696.0,8.0,237.0,123.0,6.0,1.0
DBD:A_ZCON_13:AD:DHDr2_00_B,320.0,39.0,193.0,54.0,5.0,3.0
DBD:A_ZCON_13:AD:DHDr2_01_A,233.0,0.0,41.0,3.0,2.0,0.0
DBD:A_ZCON_13:AD:DHDr2_01_B,1207.0,36.0,69.0,2.0,18.0,15.0
DBD:A_ZCON_13:AD:DHDr2_02_A,329.0,5.0,122.0,46.0,3.0,1.0
DBD:A_ZCON_13:AD:DHDr2_02_B,674.0,7.0,73.0,6.0,6.0,0.0
DBD:A_ZCON_13:AD:DHDr2_03_A,1763.0,221.0,147.0,14.0,6.0,1.0
DBD:A_ZCON_13:AD:DHDr2_03_B,1033.0,8403.0,154.0,3649.0,10.0,47.0
DBD:A_ZCON_13:AD:DHDr2_04_A,3195.0,193.0,128.0,13.0,5.0,3.0
DBD:A_ZCON_13:AD:DHDr2_04_B,1751.0,68.0,231.0,22.0,14.0,18.0
DBD:A_ZCON_13:AD:DHDr2_05_A,541.0,7.0,219.0,41.0,6.0,0.0
DBD:A_ZCON_13:AD:DHDr2_05_B,451.0,20.0,299.0,19.0,12.0,0.0
DBD:A_ZCON_13:AD:DHDr2_06_A,1269.0,51.0,217.0,33.0,7.0,2.0
DBD:A_ZCON_13:AD:DHDr2_06_B,4.0,0.0,506.0,55.0,3.0,3.0
DBD:A_ZCON_13:AD:DHDr2_07_A,534.0,13.0,181.0,33.0,3.0,3.0
DBD:A_ZCON_13:AD:DHDr2_07_B,1049.0,474.0,229.0,47.0,4.0,2.0
DBD:A_ZCON_13:AD:DHDr2_08_A,2094.0,406.0,175.0,62.0,13.0,8.0
