,trp1_l61_2mM,his1_l61_2mM,trp1_l62_2mM,his1_l62_2mM
DBD:Jerala_P1:AD:Jerala_P1,14,9.0,5,13
DBD:Jerala_P1:AD:Jerala_P2,1356,62934.0,1523,53793
DBD:Jerala_P1:AD:Jerala_P3,3068,215.0,4103,210
DBD:Jerala_P1:AD:Jerala_P4,1644,129.0,2693,167
DBD:Jerala_P1:AD:Jerala_P5,2895,251.0,5479,289
DBD:Jerala_P1:AD:Jerala_P6,4762,381.0,3346,184
DBD:Jerala_P1:AD:Jerala_P7,3556,281.0,2158,3621
DBD:Jerala_P1:AD:Jerala_P8,2271,171.0,3075,158
DBD:Jerala_P1:AD:Jerala_P9,2007,951.0,3525,167
DBD:Jerala_P1:AD:Jerala_P10,4838,250.0,5302,289
DBD:Jerala_P1:AD:Jerala_P11,2468,144.0,2414,114
DBD:Jerala_P1:AD:Jerala_P12,2808,1334.0,2235,136
DBD:Jerala_P2:AD:Jerala_P1,571,31951.0,1811,51509
DBD:Jerala_P2:AD:Jerala_P2,48,10.0,23,6
DBD:Jerala_P2:AD:Jerala_P3,3980,599.0,2610,141
DBD:Jerala_P2:AD:Jerala_P4,2330,211.0,2812,175
DBD:Jerala_P2:AD:Jerala_P5,5504,1073.0,5276,356
DBD:Jerala_P2:AD:Jerala_P6,3296,1184.0,4938,290
DBD:Jerala_P2:AD:Jerala_P7,4359,341.0,4089,289
DBD:Jerala_P2:AD:Jerala_P8,4395,363.0,2798,180
DBD:Jerala_P2:AD:Jerala_P9,1814,138.0,1772,128
DBD:Jerala_P2:AD:Jerala_P10,3133,253.0,2418,187
DBD:Jerala_P2:AD:Jerala_P11,3345,247.0,1720,94
DBD:Jerala_P2:AD:Jerala_P12,3622,349.0,3162,175
DBD:Jerala_P3:AD:Jerala_P1,1615,117.0,3445,194
DBD:Jerala_P3:AD:Jerala_P2,3416,241.0,4677,1749
DBD:Jerala_P3:AD:Jerala_P3,1540,158.0,1676,3723
DBD:Jerala_P3:AD:Jerala_P4,269,11454.0,1106,11380
DBD:Jerala_P3:AD:Jerala_P5,2565,192.0,1660,106
DBD:Jerala_P3:AD:Jerala_P6,1728,110.0,1552,95
DBD:Jerala_P3:AD:Jerala_P7,2176,141.0,1893,537
DBD:Jerala_P3:AD:Jerala_P8,1716,120.0,2795,1792
DBD:Jerala_P3:AD:Jerala_P9,2965,175.0,1690,97
