,trp1_l61_2mM,his1_l61_2mM,trp1_l62_2mM,his1_l62_2mM
DBD:Jerala_P1:AD:Jerala_P2,1356.0,62934.0,1523.0,53793.0
DBD:Jerala_P1:AD:Jerala_P3,3068.0,215.0,4103.0,210.0
DBD:Jerala_P1:AD:Jerala_P4,1644.0,129.0,2693.0,167.0
DBD:Jerala_P1:AD:Jerala_P5,2895.0,251.0,5479.0,289.0
DBD:Jerala_P1:AD:Jerala_P6,4762.0,381.0,3346.0,184.0
DBD:Jerala_P1:AD:Jerala_P7,3556.0,281.0,2158.0,3621.0
DBD:Jerala_P1:AD:Jerala_P8,2271.0,171.0,3075.0,158.0
DBD:Jerala_P1:AD:Jerala_P9,2007.0,951.0,3525.0,167.0
DBD:Jerala_P1:AD:Jerala_P10,4838.0,250.0,5302.0,289.0
DBD:Jerala_P1:AD:Jerala_P11,2468.0,144.0,2414.0,114.0
DBD:Jerala_P1:AD:Jerala_P12,2808.0,1334.0,2235.0,136.0
DBD:Jerala_P2:AD:Jerala_P3,3980.0,599.0,2610.0,141.0
DBD:Jerala_P2:AD:Jerala_P4,2330.0,211.0,2812.0,175.0
DBD:Jerala_P2:AD:Jerala_P5,5504.0,1073.0,5276.0,356.0
DBD:Jerala_P2:AD:Jerala_P6,3296.0,1184.0,4938.0,290.0
DBD:Jerala_P2:AD:Jerala_P7,4359.0,341.0,4089.0,289.0
DBD:Jerala_P2:AD:Jerala_P8,4395.0,363.0,2798.0,180.0
DBD:Jerala_P2:AD:Jerala_P9,1814.0,138.0,1772.0,128.0
DBD:Jerala_P2:AD:Jerala_P10,3133.0,253.0,2418.0,187.0
DBD:Jerala_P2:AD:Jerala_P11,3345.0,247.0,1720.0,94.0
DBD:Jerala_P2:AD:Jerala_P12,3622.0,349.0,3162.0,175.0
DBD:Jerala_P3:AD:Jerala_P4,269.0,11454.0,1106.0,11380.0
DBD:Jerala_P3:AD:Jerala_P5,2565.0,192.0,1660.0,106.0
DBD:Jerala_P3:AD:Jerala_P6,1728.0,110.0,1552.0,95.0
DBD:Jerala_P3:AD:Jerala_P7,2176.0,141.0,1893.0,537.0
DBD:Jerala_P3:AD:Jerala_P8,1716.0,120.0,2795.0,1792.0
DBD:Jerala_P3:AD:Jerala_P9,2965.0,175.0,1690.0,97.0
DBD:Jerala_P3:AD:Jerala_P10,3781.0,256.0,3994.0,236.0
DBD:Jerala_P3:AD:Jerala_P11,1641.0,95.0,912.0,54.0
DBD:Jerala_P3:AD:Jerala_P12,1691.0,116.0,1037.0,77.0
DBD:Jerala_P4:AD:Jerala_P5,4121.0,341.0,4110.0,229.0
DBD:Jerala_P4:AD:Jerala_P6,4917.0,347.0,1570.0,97.0
DBD:Jerala_P4:AD:Jerala_P7,3106.0,236.0,2778.0,670.0
DBD:Jerala_P4:AD:Jerala_P8,2262.0,193.0,2830.0,174.0
DBD:Jerala_P4:AD:Jerala_P9,4152.0,360.0,1438.0,96.0
DBD:Jerala_P4:AD:Jerala_P10,4647.0,966.0,4222.0,2446.0
DBD:Jerala_P4:AD:Jerala_P11,2266.0,1524.0,1717.0,128.0
DBD:Jerala_P4:AD:Jerala_P12,3052.0,268.0,1136.0,15557.0
DBD:Jerala_P5:AD:Jerala_P6,1203.0,21659.0,2184.0,9798.0
DBD:Jerala_P5:AD:Jerala_P7,3083.0,347.0,6117.0,342.0
DBD:Jerala_P5:AD:Jerala_P8,2649.0,196.0,2363.0,153.0
DBD:Jerala_P5:AD:Jerala_P9,2917.0,257.0,2292.0,143.0
DBD:Jerala_P5:AD:Jerala_P10,2038.0,135.0,5026.0,270.0
DBD:Jerala_P5:AD:Jerala_P11,2945.0,871.0,1664.0,89.0
DBD:Jerala_P5:AD:Jerala_P12,3141.0,283.0,3938.0,221.0
DBD:Jerala_P6:AD:Jerala_P7,3166.0,244.0,1850.0,115.0
DBD:Jerala_P6:AD:Jerala_P8,2849.0,193.0,1720.0,117.0
DBD:Jerala_P6:AD:Jerala_P9,1546.0,2437.0,1299.0,95.0
DBD:Jerala_P6:AD:Jerala_P10,2524.0,159.0,741.0,44.0
DBD:Jerala_P6:AD:Jerala_P11,2376.0,196.0,2009.0,111.0
DBD:Jerala_P6:AD:Jerala_P12,1919.0,140.0,1407.0,91.0
DBD:Jerala_P7:AD:Jerala_P8,2019.0,3266.0,1392.0,746.0
DBD:Jerala_P7:AD:Jerala_P9,2028.0,141.0,983.0,56.0
DBD:Jerala_P7:AD:Jerala_P10,1334.0,124.0,1790.0,110.0
DBD:Jerala_P7:AD:Jerala_P11,2102.0,1348.0,1954.0,136.0
DBD:Jerala_P7:AD:Jerala_P12,2541.0,201.0,1444.0,75.0
DBD:Jerala_P8:AD:Jerala_P9,3133.0,260.0,3173.0,209.0
DBD:Jerala_P8:AD:Jerala_P10,1600.0,1096.0,3672.0,228.0
DBD:Jerala_P8:AD:Jerala_P11,2190.0,176.0,3954.0,220.0
DBD:Jerala_P8:AD:Jerala_P12,3965.0,370.0,3632.0,164.0
DBD:Jerala_P9:AD:Jerala_P10,1339.0,69496.0,2408.0,42353.0
DBD:Jerala_P9:AD:Jerala_P11,2204.0,137.0,2956.0,130.0
DBD:Jerala_P9:AD:Jerala_P12,3540.0,219.0,2564.0,229.0
DBD:Jerala_P10:AD:Jerala_P11,2959.0,2000.0,4496.0,310.0
DBD:Jerala_P10:AD:Jerala_P12,7001.0,604.0,3496.0,227.0
DBD:Jerala_P11:AD:Jerala_P12,1073.0,8068.0,1351.0,5200.0
DBD:Jerala_P1:AD:Jerala_P1,14.0,8.0,5.0,11.0
DBD:Jerala_P2:AD:Jerala_P2,48.0,9.0,23.0,5.0
DBD:Jerala_P3:AD:Jerala_P3,1540.0,135.0,1676.0,2928.0
DBD:Jerala_P4:AD:Jerala_P4,9.0,3.0,5.0,4.0
DBD:Jerala_P5:AD:Jerala_P5,1320.0,174.0,1909.0,133.0
DBD:Jerala_P6:AD:Jerala_P6,23.0,6.0,6.0,2.0
DBD:Jerala_P7:AD:Jerala_P7,1564.0,123.0,1508.0,79.0
DBD:Jerala_P8:AD:Jerala_P8,3.0,0.0,6.0,2.0
DBD:Jerala_P9:AD:Jerala_P9,7.0,13.0,6.0,10.0
DBD:Jerala_P10:AD:Jerala_P10,8.0,7.0,4.0,5.0
DBD:Jerala_P11:AD:Jerala_P11,75.0,197.0,198.0,61.0
DBD:Jerala_P12:AD:Jerala_P12,3174.0,301.0,1433.0,68.0
DBD:Jerala_P2:AD:Jerala_P1,571.0,31951.0,1811.0,51509.0
DBD:Jerala_P3:AD:Jerala_P1,1615.0,117.0,3445.0,194.0
DBD:Jerala_P4:AD:Jerala_P1,2322.0,174.0,3790.0,209.0
DBD:Jerala_P5:AD:Jerala_P1,3203.0,221.0,3504.0,184.0
DBD:Jerala_P6:AD:Jerala_P1,2453.0,166.0,2680.0,152.0
DBD:Jerala_P7:AD:Jerala_P1,1688.0,122.0,1340.0,72.0
DBD:Jerala_P8:AD:Jerala_P1,3013.0,238.0,4876.0,313.0
DBD:Jerala_P9:AD:Jerala_P1,2816.0,1140.0,1977.0,126.0
DBD:Jerala_P10:AD:Jerala_P1,4259.0,326.0,5098.0,337.0
DBD:Jerala_P11:AD:Jerala_P1,1736.0,190.0,2447.0,188.0
DBD:Jerala_P12:AD:Jerala_P1,3432.0,264.0,834.0,50.0
DBD:Jerala_P3:AD:Jerala_P2,3416.0,241.0,4677.0,1749.0
DBD:Jerala_P4:AD:Jerala_P2,2577.0,713.0,1817.0,102.0
DBD:Jerala_P5:AD:Jerala_P2,4294.0,280.0,3895.0,255.0
DBD:Jerala_P6:AD:Jerala_P2,2679.0,1363.0,2270.0,149.0
DBD:Jerala_P7:AD:Jerala_P2,2073.0,117.0,2149.0,119.0
DBD:Jerala_P8:AD:Jerala_P2,3599.0,276.0,3787.0,315.0
DBD:Jerala_P9:AD:Jerala_P2,2271.0,866.0,2000.0,106.0
DBD:Jerala_P10:AD:Jerala_P2,5282.0,415.0,6044.0,422.0
DBD:Jerala_P11:AD:Jerala_P2,3909.0,383.0,1686.0,171.0
DBD:Jerala_P12:AD:Jerala_P2,4263.0,289.0,3205.0,200.0
DBD:Jerala_P4:AD:Jerala_P3,1484.0,79476.0,1087.0,70559.0
DBD:Jerala_P5:AD:Jerala_P3,3212.0,230.0,2417.0,147.0
DBD:Jerala_P6:AD:Jerala_P3,2999.0,230.0,1166.0,75.0
DBD:Jerala_P7:AD:Jerala_P3,1745.0,135.0,1483.0,92.0
DBD:Jerala_P8:AD:Jerala_P3,2486.0,189.0,1757.0,89.0
DBD:Jerala_P9:AD:Jerala_P3,4845.0,308.0,3530.0,163.0
DBD:Jerala_P10:AD:Jerala_P3,6396.0,1021.0,4536.0,309.0
DBD:Jerala_P11:AD:Jerala_P3,2653.0,291.0,3184.0,572.0
DBD:Jerala_P12:AD:Jerala_P3,3173.0,284.0,1265.0,75.0
DBD:Jerala_P5:AD:Jerala_P4,2329.0,191.0,1255.0,77.0
DBD:Jerala_P6:AD:Jerala_P4,1449.0,119.0,1061.0,66.0
DBD:Jerala_P7:AD:Jerala_P4,1048.0,80.0,1347.0,88.0
DBD:Jerala_P8:AD:Jerala_P4,2153.0,171.0,2412.0,169.0
DBD:Jerala_P9:AD:Jerala_P4,1896.0,102.0,1269.0,67.0
DBD:Jerala_P10:AD:Jerala_P4,1905.0,160.0,3674.0,219.0
DBD:Jerala_P11:AD:Jerala_P4,1747.0,262.0,2329.0,351.0
DBD:Jerala_P12:AD:Jerala_P4,1707.0,113.0,2022.0,117.0
DBD:Jerala_P6:AD:Jerala_P5,1663.0,3625.0,1499.0,332.0
DBD:Jerala_P7:AD:Jerala_P5,3027.0,221.0,2053.0,107.0
DBD:Jerala_P8:AD:Jerala_P5,3406.0,243.0,2825.0,171.0
DBD:Jerala_P9:AD:Jerala_P5,7351.0,450.0,3753.0,4194.0
DBD:Jerala_P10:AD:Jerala_P5,5595.0,7314.0,3297.0,218.0
DBD:Jerala_P11:AD:Jerala_P5,2224.0,258.0,3164.0,6665.0
DBD:Jerala_P12:AD:Jerala_P5,3629.0,255.0,4485.0,274.0
DBD:Jerala_P7:AD:Jerala_P6,2176.0,157.0,1417.0,95.0
DBD:Jerala_P8:AD:Jerala_P6,2744.0,259.0,4016.0,254.0
DBD:Jerala_P9:AD:Jerala_P6,3432.0,196.0,2971.0,159.0
