,trp1_l61_2mM,his1_l61_2mM,trp1_l62_2mM,his1_l62_2mM,trp1_l67,his1_l67
DBD:Jerala_P1:AD:Jerala_P1,14,9.0,5,13,4.0,0.0
DBD:Jerala_P1:AD:Jerala_P2,1356,62934.0,1523,53793,148.0,5223.0
DBD:Jerala_P1:AD:Jerala_P3,3068,215.0,4103,210,199.0,13.0
DBD:Jerala_P1:AD:Jerala_P4,1644,129.0,2693,167,166.0,15.0
DBD:Jerala_P1:AD:Jerala_P5,2895,251.0,5479,289,96.0,6.0
DBD:Jerala_P1:AD:Jerala_P6,4762,381.0,3346,184,209.0,27.0
DBD:Jerala_P1:AD:Jerala_P7,3556,281.0,2158,3621,193.0,6.0
DBD:Jerala_P1:AD:Jerala_P8,2271,171.0,3075,158,202.0,5.0
DBD:Jerala_P1:AD:Jerala_P9,2007,951.0,3525,167,115.0,11.0
DBD:Jerala_P1:AD:Jerala_P10,4838,250.0,5302,289,196.0,7.0
DBD:Jerala_P1:AD:Jerala_P11,2468,144.0,2414,114,190.0,17.0
DBD:Jerala_P1:AD:Jerala_P12,2808,1334.0,2235,136,179.0,16.0
DBD:Jerala_P2:AD:Jerala_P1,571,31951.0,1811,51509,76.0,1339.0
DBD:Jerala_P2:AD:Jerala_P2,48,10.0,23,6,2.0,1.0
DBD:Jerala_P2:AD:Jerala_P3,3980,599.0,2610,141,252.0,7.0
DBD:Jerala_P2:AD:Jerala_P4,2330,211.0,2812,175,147.0,97.0
DBD:Jerala_P2:AD:Jerala_P5,5504,1073.0,5276,356,278.0,32.0
DBD:Jerala_P2:AD:Jerala_P6,3296,1184.0,4938,290,192.0,2.0
DBD:Jerala_P2:AD:Jerala_P7,4359,341.0,4089,289,109.0,5.0
DBD:Jerala_P2:AD:Jerala_P8,4395,363.0,2798,180,187.0,12.0
DBD:Jerala_P2:AD:Jerala_P9,1814,138.0,1772,128,91.0,5.0
DBD:Jerala_P2:AD:Jerala_P10,3133,253.0,2418,187,98.0,4.0
DBD:Jerala_P2:AD:Jerala_P11,3345,247.0,1720,94,162.0,12.0
DBD:Jerala_P2:AD:Jerala_P12,3622,349.0,3162,175,120.0,4.0
DBD:Jerala_P3:AD:Jerala_P1,1615,117.0,3445,194,202.0,11.0
DBD:Jerala_P3:AD:Jerala_P2,3416,241.0,4677,1749,150.0,15.0
DBD:Jerala_P3:AD:Jerala_P3,1540,158.0,1676,3723,51.0,2.0
DBD:Jerala_P3:AD:Jerala_P4,269,11454.0,1106,11380,79.0,2683.0
DBD:Jerala_P3:AD:Jerala_P5,2565,192.0,1660,106,106.0,39.0
DBD:Jerala_P3:AD:Jerala_P6,1728,110.0,1552,95,210.0,7.0
DBD:Jerala_P3:AD:Jerala_P7,2176,141.0,1893,537,134.0,6.0
DBD:Jerala_P3:AD:Jerala_P8,1716,120.0,2795,1792,125.0,26.0
DBD:Jerala_P3:AD:Jerala_P9,2965,175.0,1690,97,77.0,2.0
DBD:Jerala_P3:AD:Jerala_P10,3781,256.0,3994,236,94.0,7.0
