,trp1_l61_2mM,his1_l61_2mM,trp1_l67,his1_l67
DBD:Jerala_P1:AD:Jerala_P2,1356.0,62934.0,148.0,5223.0
DBD:Jerala_P1:AD:Jerala_P3,3068.0,215.0,199.0,13.0
DBD:Jerala_P1:AD:Jerala_P4,1644.0,129.0,166.0,15.0
DBD:Jerala_P1:AD:Jerala_P5,2895.0,251.0,96.0,6.0
DBD:Jerala_P1:AD:Jerala_P6,4762.0,381.0,209.0,27.0
DBD:Jerala_P1:AD:Jerala_P7,3556.0,281.0,193.0,6.0
DBD:Jerala_P1:AD:Jerala_P8,2271.0,171.0,202.0,5.0
DBD:Jerala_P1:AD:Jerala_P9,2007.0,951.0,115.0,11.0
DBD:Jerala_P1:AD:Jerala_P10,4838.0,250.0,196.0,7.0
DBD:Jerala_P1:AD:Jerala_P11,2468.0,144.0,190.0,17.0
DBD:Jerala_P1:AD:Jerala_P12,2808.0,1334.0,179.0,16.0
DBD:Jerala_P2:AD:Jerala_P3,3980.0,599.0,252.0,7.0
DBD:Jerala_P2:AD:Jerala_P4,2330.0,211.0,147.0,97.0
DBD:Jerala_P2:AD:Jerala_P5,5504.0,1073.0,278.0,32.0
DBD:Jerala_P2:AD:Jerala_P6,3296.0,1184.0,192.0,2.0
DBD:Jerala_P2:AD:Jerala_P7,4359.0,341.0,109.0,5.0
DBD:Jerala_P2:AD:Jerala_P8,4395.0,363.0,187.0,12.0
DBD:Jerala_P2:AD:Jerala_P9,1814.0,138.0,91.0,5.0
DBD:Jerala_P2:AD:Jerala_P10,3133.0,253.0,98.0,4.0
DBD:Jerala_P2:AD:Jerala_P11,3345.0,247.0,162.0,12.0
DBD:Jerala_P2:AD:Jerala_P12,3622.0,349.0,120.0,4.0
DBD:Jerala_P3:AD:Jerala_P4,269.0,11454.0,79.0,2683.0
DBD:Jerala_P3:AD:Jerala_P5,2565.0,192.0,106.0,39.0
DBD:Jerala_P3:AD:Jerala_P6,1728.0,110.0,210.0,7.0
DBD:Jerala_P3:AD:Jerala_P7,2176.0,141.0,134.0,6.0
DBD:Jerala_P3:AD:Jerala_P8,1716.0,120.0,125.0,26.0
DBD:Jerala_P3:AD:Jerala_P9,2965.0,175.0,77.0,2.0
DBD:Jerala_P3:AD:Jerala_P10,3781.0,256.0,94.0,7.0
DBD:Jerala_P3:AD:Jerala_P11,1641.0,95.0,175.0,5.0
DBD:Jerala_P3:AD:Jerala_P12,1691.0,116.0,53.0,0.0
DBD:Jerala_P4:AD:Jerala_P5,4121.0,341.0,257.0,7.0
DBD:Jerala_P4:AD:Jerala_P6,4917.0,347.0,296.0,11.0
DBD:Jerala_P4:AD:Jerala_P7,3106.0,236.0,149.0,7.0
DBD:Jerala_P4:AD:Jerala_P8,2262.0,193.0,225.0,6.0
DBD:Jerala_P4:AD:Jerala_P9,4152.0,360.0,128.0,11.0
DBD:Jerala_P4:AD:Jerala_P10,4647.0,966.0,244.0,30.0
DBD:Jerala_P4:AD:Jerala_P11,2266.0,1524.0,130.0,16.0
DBD:Jerala_P4:AD:Jerala_P12,3052.0,268.0,214.0,6.0
DBD:Jerala_P5:AD:Jerala_P6,1203.0,21659.0,220.0,5264.0
DBD:Jerala_P5:AD:Jerala_P7,3083.0,347.0,192.0,8.0
DBD:Jerala_P5:AD:Jerala_P8,2649.0,196.0,202.0,2.0
DBD:Jerala_P5:AD:Jerala_P9,2917.0,257.0,166.0,8.0
DBD:Jerala_P5:AD:Jerala_P10,2038.0,135.0,77.0,2.0
DBD:Jerala_P5:AD:Jerala_P11,2945.0,871.0,204.0,36.0
DBD:Jerala_P5:AD:Jerala_P12,3141.0,283.0,220.0,6.0
DBD:Jerala_P6:AD:Jerala_P7,3166.0,244.0,160.0,5.0
DBD:Jerala_P6:AD:Jerala_P8,2849.0,193.0,105.0,14.0
DBD:Jerala_P6:AD:Jerala_P9,1546.0,2437.0,163.0,357.0
DBD:Jerala_P6:AD:Jerala_P10,2524.0,159.0,164.0,374.0
DBD:Jerala_P6:AD:Jerala_P11,2376.0,196.0,122.0,14.0
DBD:Jerala_P6:AD:Jerala_P12,1919.0,140.0,219.0,11.0
DBD:Jerala_P7:AD:Jerala_P8,2019.0,3266.0,92.0,2263.0
DBD:Jerala_P7:AD:Jerala_P9,2028.0,141.0,160.0,11.0
DBD:Jerala_P7:AD:Jerala_P10,1334.0,124.0,58.0,3.0
DBD:Jerala_P7:AD:Jerala_P11,2102.0,1348.0,92.0,5.0
DBD:Jerala_P7:AD:Jerala_P12,2541.0,201.0,157.0,6.0
DBD:Jerala_P8:AD:Jerala_P9,3133.0,260.0,50.0,3.0
DBD:Jerala_P8:AD:Jerala_P10,1600.0,1096.0,179.0,5.0
DBD:Jerala_P8:AD:Jerala_P11,2190.0,176.0,189.0,12.0
DBD:Jerala_P8:AD:Jerala_P12,3965.0,370.0,292.0,23.0
DBD:Jerala_P9:AD:Jerala_P10,1339.0,69496.0,112.0,2876.0
DBD:Jerala_P9:AD:Jerala_P11,2204.0,137.0,153.0,7.0
DBD:Jerala_P9:AD:Jerala_P12,3540.0,219.0,259.0,13.0
DBD:Jerala_P10:AD:Jerala_P11,2959.0,2000.0,213.0,5.0
DBD:Jerala_P10:AD:Jerala_P12,7001.0,604.0,154.0,4.0
DBD:Jerala_P11:AD:Jerala_P12,1073.0,8068.0,183.0,5374.0
DBD:Jerala_P1:AD:Jerala_P1,14.0,8.0,4.0,0.0
DBD:Jerala_P2:AD:Jerala_P2,48.0,9.0,2.0,1.0
DBD:Jerala_P3:AD:Jerala_P3,1540.0,135.0,51.0,2.0
DBD:Jerala_P4:AD:Jerala_P4,9.0,3.0,2.0,0.0
DBD:Jerala_P5:AD:Jerala_P5,1320.0,174.0,51.0,1.0
DBD:Jerala_P6:AD:Jerala_P6,23.0,6.0,1.0,1.0
DBD:Jerala_P7:AD:Jerala_P7,1564.0,123.0,68.0,1.0
DBD:Jerala_P8:AD:Jerala_P8,3.0,0.0,1.0,0.0
DBD:Jerala_P12:AD:Jerala_P12,3174.0,301.0,104.0,1.0
DBD:Jerala_P2:AD:Jerala_P1,571.0,31951.0,76.0,1339.0
DBD:Jerala_P3:AD:Jerala_P1,1615.0,117.0,202.0,11.0
DBD:Jerala_P4:AD:Jerala_P1,2322.0,174.0,248.0,20.0
DBD:Jerala_P5:AD:Jerala_P1,3203.0,221.0,161.0,9.0
DBD:Jerala_P6:AD:Jerala_P1,2453.0,166.0,126.0,1.0
DBD:Jerala_P7:AD:Jerala_P1,1688.0,122.0,47.0,1.0
DBD:Jerala_P8:AD:Jerala_P1,3013.0,238.0,143.0,4.0
DBD:Jerala_P9:AD:Jerala_P1,2816.0,1140.0,170.0,21.0
DBD:Jerala_P10:AD:Jerala_P1,4259.0,326.0,192.0,15.0
DBD:Jerala_P11:AD:Jerala_P1,1736.0,190.0,126.0,9.0
DBD:Jerala_P12:AD:Jerala_P1,3432.0,264.0,192.0,9.0
DBD:Jerala_P3:AD:Jerala_P2,3416.0,241.0,150.0,15.0
DBD:Jerala_P4:AD:Jerala_P2,2577.0,713.0,145.0,4.0
DBD:Jerala_P5:AD:Jerala_P2,4294.0,280.0,321.0,12.0
DBD:Jerala_P6:AD:Jerala_P2,2679.0,1363.0,178.0,21.0
DBD:Jerala_P7:AD:Jerala_P2,2073.0,117.0,158.0,8.0
DBD:Jerala_P8:AD:Jerala_P2,3599.0,276.0,228.0,7.0
DBD:Jerala_P9:AD:Jerala_P2,2271.0,866.0,193.0,26.0
DBD:Jerala_P10:AD:Jerala_P2,5282.0,415.0,166.0,9.0
DBD:Jerala_P11:AD:Jerala_P2,3909.0,383.0,108.0,7.0
DBD:Jerala_P12:AD:Jerala_P2,4263.0,289.0,152.0,3.0
DBD:Jerala_P4:AD:Jerala_P3,1484.0,79476.0,85.0,2203.0
DBD:Jerala_P5:AD:Jerala_P3,3212.0,230.0,143.0,12.0
DBD:Jerala_P6:AD:Jerala_P3,2999.0,230.0,192.0,10.0
DBD:Jerala_P7:AD:Jerala_P3,1745.0,135.0,162.0,5.0
DBD:Jerala_P8:AD:Jerala_P3,2486.0,189.0,235.0,159.0
DBD:Jerala_P9:AD:Jerala_P3,4845.0,308.0,299.0,19.0
DBD:Jerala_P10:AD:Jerala_P3,6396.0,1021.0,505.0,59.0
DBD:Jerala_P11:AD:Jerala_P3,2653.0,291.0,116.0,3.0
DBD:Jerala_P12:AD:Jerala_P3,3173.0,284.0,137.0,156.0
DBD:Jerala_P5:AD:Jerala_P4,2329.0,191.0,100.0,7.0
DBD:Jerala_P6:AD:Jerala_P4,1449.0,119.0,184.0,19.0
DBD:Jerala_P7:AD:Jerala_P4,1048.0,80.0,193.0,11.0
DBD:Jerala_P8:AD:Jerala_P4,2153.0,171.0,130.0,2.0
DBD:Jerala_P9:AD:Jerala_P4,1896.0,102.0,125.0,7.0
DBD:Jerala_P10:AD:Jerala_P4,1905.0,160.0,135.0,5.0
DBD:Jerala_P11:AD:Jerala_P4,1747.0,262.0,87.0,9.0
DBD:Jerala_P12:AD:Jerala_P4,1707.0,113.0,203.0,12.0
DBD:Jerala_P6:AD:Jerala_P5,1663.0,3625.0,158.0,1237.0
DBD:Jerala_P7:AD:Jerala_P5,3027.0,221.0,63.0,14.0
DBD:Jerala_P8:AD:Jerala_P5,3406.0,243.0,140.0,5.0
DBD:Jerala_P9:AD:Jerala_P5,7351.0,450.0,113.0,11.0
DBD:Jerala_P10:AD:Jerala_P5,5595.0,7314.0,234.0,6.0
DBD:Jerala_P11:AD:Jerala_P5,2224.0,258.0,136.0,19.0
DBD:Jerala_P12:AD:Jerala_P5,3629.0,255.0,152.0,8.0
DBD:Jerala_P7:AD:Jerala_P6,2176.0,157.0,140.0,4.0
DBD:Jerala_P8:AD:Jerala_P6,2744.0,259.0,208.0,14.0
DBD:Jerala_P9:AD:Jerala_P6,3432.0,196.0,131.0,6.0
DBD:Jerala_P10:AD:Jerala_P6,5601.0,2544.0,256.0,33.0
DBD:Jerala_P11:AD:Jerala_P6,2725.0,259.0,81.0,8.0
DBD:Jerala_P12:AD:Jerala_P6,3169.0,220.0,278.0,13.0
DBD:Jerala_P8:AD:Jerala_P7,2071.0,29996.0,97.0,3182.0
DBD:Jerala_P9:AD:Jerala_P7,2664.0,2462.0,186.0,8.0
DBD:Jerala_P10:AD:Jerala_P7,5186.0,418.0,294.0,13.0
DBD:Jerala_P11:AD:Jerala_P7,1566.0,478.0,61.0,3.0
DBD:Jerala_P12:AD:Jerala_P7,3227.0,461.0,206.0,8.0
