,trp1_l62_2mM,his1_l62_2mM,trp1_l67,his1_l67
DBD:Jerala_P1:AD:Jerala_P1,5,13,4.0,0.0
DBD:Jerala_P1:AD:Jerala_P2,1523,53793,148.0,5223.0
DBD:Jerala_P1:AD:Jerala_P3,4103,210,199.0,13.0
DBD:Jerala_P1:AD:Jerala_P4,2693,167,166.0,15.0
DBD:Jerala_P1:AD:Jerala_P5,5479,289,96.0,6.0
DBD:Jerala_P1:AD:Jerala_P6,3346,184,209.0,27.0
DBD:Jerala_P1:AD:Jerala_P7,2158,3621,193.0,6.0
DBD:Jerala_P1:AD:Jerala_P8,3075,158,202.0,5.0
DBD:Jerala_P1:AD:Jerala_P9,3525,167,115.0,11.0
DBD:Jerala_P1:AD:Jerala_P10,5302,289,196.0,7.0
DBD:Jerala_P1:AD:Jerala_P11,2414,114,190.0,17.0
DBD:Jerala_P1:AD:Jerala_P12,2235,136,179.0,16.0
DBD:Jerala_P2:AD:Jerala_P1,1811,51509,76.0,1339.0
DBD:Jerala_P2:AD:Jerala_P2,23,6,2.0,1.0
DBD:Jerala_P2:AD:Jerala_P3,2610,141,252.0,7.0
DBD:Jerala_P2:AD:Jerala_P4,2812,175,147.0,97.0
DBD:Jerala_P2:AD:Jerala_P5,5276,356,278.0,32.0
DBD:Jerala_P2:AD:Jerala_P6,4938,290,192.0,2.0
DBD:Jerala_P2:AD:Jerala_P7,4089,289,109.0,5.0
DBD:Jerala_P2:AD:Jerala_P8,2798,180,187.0,12.0
DBD:Jerala_P2:AD:Jerala_P9,1772,128,91.0,5.0
DBD:Jerala_P2:AD:Jerala_P10,2418,187,98.0,4.0
DBD:Jerala_P2:AD:Jerala_P11,1720,94,162.0,12.0
DBD:Jerala_P2:AD:Jerala_P12,3162,175,120.0,4.0
DBD:Jerala_P3:AD:Jerala_P1,3445,194,202.0,11.0
DBD:Jerala_P3:AD:Jerala_P2,4677,1749,150.0,15.0
DBD:Jerala_P3:AD:Jerala_P3,1676,3723,51.0,2.0
DBD:Jerala_P3:AD:Jerala_P4,1106,11380,79.0,2683.0
DBD:Jerala_P3:AD:Jerala_P5,1660,106,106.0,39.0
DBD:Jerala_P3:AD:Jerala_P6,1552,95,210.0,7.0
DBD:Jerala_P3:AD:Jerala_P7,1893,537,134.0,6.0
DBD:Jerala_P3:AD:Jerala_P8,2795,1792,125.0,26.0
DBD:Jerala_P3:AD:Jerala_P9,1690,97,77.0,2.0
DBD:Jerala_P3:AD:Jerala_P10,3994,236,94.0,7.0
DBD:Jerala_P3:AD:Jerala_P11,912,54,175.0,5.0
DBD:Jerala_P3:AD:Jerala_P12,1037,77,53.0,0.0
DBD:Jerala_P4:AD:Jerala_P1,3790,209,248.0,20.0
DBD:Jerala_P4:AD:Jerala_P2,1817,102,145.0,4.0
DBD:Jerala_P4:AD:Jerala_P3,1087,70559,85.0,2203.0
DBD:Jerala_P4:AD:Jerala_P4,5,4,2.0,0.0
DBD:Jerala_P4:AD:Jerala_P5,4110,229,257.0,7.0
DBD:Jerala_P4:AD:Jerala_P6,1570,97,296.0,11.0
DBD:Jerala_P4:AD:Jerala_P7,2778,670,149.0,7.0
DBD:Jerala_P4:AD:Jerala_P8,2830,174,225.0,6.0
DBD:Jerala_P4:AD:Jerala_P9,1438,96,128.0,11.0
DBD:Jerala_P4:AD:Jerala_P10,4222,2446,244.0,30.0
DBD:Jerala_P4:AD:Jerala_P11,1717,128,130.0,16.0
DBD:Jerala_P4:AD:Jerala_P12,1136,15557,214.0,6.0
DBD:Jerala_P5:AD:Jerala_P1,3504,184,161.0,9.0
DBD:Jerala_P5:AD:Jerala_P2,3895,255,321.0,12.0
