,count_DBDAD_trp1_l44,count_ADDBD_trp1_l44,count_DBDAD_his1_l44,count_ADDBD_his1_l44,count_DBDAD_trp1_l67,count_ADDBD_trp1_l67,count_DBDAD_his1_l67,count_ADDBD_his1_l67
mALb8_A:mALb8_B,73.0,471.0,6002.0,18985.0,716.0,749.0,22390.0,15070.0
mALb8_A:mALb8_cutT1_A,274.0,311.0,81.0,19.0,906.0,1300.0,108.0,408.0
mALb8_A:mALb8_cutT1_B,287.0,256.0,10127.0,8371.0,831.0,596.0,22731.0,16428.0
mALb8_A:mALb8_cutT2_A,170.0,706.0,19.0,41.0,1230.0,996.0,44.0,140.0
mALb8_A:mALb8_cutT2_B,176.0,594.0,8.0,48.0,296.0,756.0,10.0,124.0
mALb8_B:mALb8_cutT1_A,292.0,270.0,13121.0,25612.0,689.0,891.0,17703.0,28670.0
mALb8_B:mALb8_cutT1_B,335.0,299.0,26.0,22.0,1603.0,554.0,226.0,83.0
mALb8_B:mALb8_cutT2_A,80.0,191.0,21.0,18.0,1429.0,1172.0,125.0,9980.0
mALb8_B:mALb8_cutT2_B,463.0,29.0,13.0,122.0,350.0,1350.0,15.0,122.0
mALb8_cutT1_A:mALb8_cutT1_B,442.0,394.0,10788.0,8911.0,993.0,669.0,32949.0,17114.0
mALb8_cutT1_A:mALb8_cutT2_A,153.0,87.0,10.0,6.0,1385.0,674.0,59.0,81.0
mALb8_cutT1_A:mALb8_cutT2_B,315.0,93.0,51.0,8.0,270.0,884.0,165.0,809.0
mALb8_cutT1_B:mALb8_cutT2_A,555.0,494.0,76.0,62.0,477.0,1204.0,43.0,229.0
mALb8_cutT1_B:mALb8_cutT2_B,239.0,212.0,83.0,68.0,100.0,1109.0,6.0,106.0
mALb8_cutT2_A:mALb8_cutT2_B,515.0,297.0,91.0,29.0,227.0,1156.0,6.0,65.0
mALb8_A:mALb8_A,194.0,194.0,39.0,46.0,2.0,2.0,4.0,6.0
mALb8_B:mALb8_B,143.0,143.0,15.0,18.0,31.0,31.0,17.0,28.0
mALb8_cutT1_A:mALb8_cutT1_A,210.0,210.0,24.0,28.0,158.0,158.0,6.0,10.0
mALb8_cutT2_A:mALb8_cutT2_A,109.0,109.0,17.0,20.0,564.0,564.0,12.0,19.0
mALb8_cutT2_B:mALb8_cutT2_B,335.0,335.0,36.0,42.0,3.0,3.0,0.0,0.0
