"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"A_HT_DHD_100_swap:A_HT_DHD_10_swap",65,53,30,25,40.9052863584336,-0.0282832110002729,0.217383727206762,0.500307668797422,0.987187922415549
"A_HT_DHD_100_swap:A_HT_DHD_11_swap",33,27,29,24,28.3319160724006,0.0173554769118639,0.218813059992467,0.701448025044103,0.993246458972935
"A_HT_DHD_100_swap:A_HT_DHD_12_swap",442,363,133,113,240.324214831246,-0.315760702624422,0.560412378736579,0.0204548733948659,0.232699790037158
"A_HT_DHD_100_swap:A_HT_DHD_13_swap",312,256,225,191,242.64744277084,0.00318015178779962,0.0924964138654388,0.848565962844221,0.997989346519148
"A_HT_DHD_100_swap:A_HT_DHD_14_swap",406,333,151,128,236.625580513427,-0.0933636041315077,0.303653426940653,0.0871941933098686,0.620186247942823
"A_HT_DHD_100_swap:A_HT_DHD_15_swap",182,149,71,60,107.788363880132,-0.0580452324593091,0.253484057887857,0.18828761038786,0.850052106657162
"A_HT_DHD_100_swap:A_HT_DHD_16_swap",66,54,21,17,36.1815827130704,-0.091911712432923,0.375790886386183,0.200462469437453,0.860010953244484
"A_HT_DHD_100_swap:A_HT_DHD_17_swap",70,57,14,11,33.6965180017907,-0.339025802854806,0.747568045566955,0.0476589473250824,0.432136772096985
"A_HT_DHD_100_swap:A_HT_DHD_18_swap",35,28,78,64,55.6926447842987,0.498252051053744,0.821530527781583,0.021261440272771,0.240043974986856
"A_HT_DHD_100_swap:A_HT_DHD_19_swap",71,58,39,33,48.3192894798162,-0.0129142743759762,0.171286078627373,0.702410558916252,0.993460976670784
"A_HT_DHD_100_swap:A_HT_DHD_1_swap",49,40,18,15,28.2993670746826,-0.0557162659378809,0.308499408638304,0.354146606559093,0.965629645884936
"A_HT_DHD_100_swap:A_HT_DHD_20_swap",245,201,132,112,165.60949216145,-0.0128433364424475,0.12200288836399,0.546324912768794,0.990764381609878
"A_HT_DHD_100_swap:A_HT_DHD_21_swap",61,50,11,9,28.9224263768116,-0.362884693405521,0.791977320389546,0.0471679260653772,0.428825474167545
"A_HT_DHD_100_swap:A_HT_DHD_22_swap",173,142,85,72,112.340668765302,-0.0210065769477384,0.155150505903716,0.438833259142954,0.981393704321491
"A_HT_DHD_100_swap:A_HT_DHD_23_swap",188,154,138,117,147.450288158638,0.00425887041625564,0.105806692074828,0.826814348670876,0.997989346519148
"A_HT_DHD_100_swap:A_HT_DHD_24_swap",5,4,4,3,3.94708456493881,0.00773176625234143,0.464492515913904,0.936891500485813,0.997989346519148
"A_HT_DHD_100_swap:A_HT_DHD_25_swap",10,8,19,15,13.9084938687067,0.110279742702775,0.481138850655492,0.257447490656475,0.916704053898647
"A_HT_DHD_100_swap:A_HT_DHD_26_swap",10,8,4,3,5.80173496617937,-0.0412832940027232,0.440988820868825,0.660596843968645,0.991497432145353
"A_HT_DHD_100_swap:A_HT_DHD_27_swap",44,36,6,5,19.820573130802,-0.430447849573453,0.915812817514416,0.0446229992588201,0.412767068754716
"A_HT_DHD_100_swap:A_HT_DHD_28_swap",99,81,56,47,68.1724116083363,-0.0106952051915178,0.14747007577992,0.704762387266401,0.994127972976582
"A_HT_DHD_100_swap:A_HT_DHD_29_swap",756,621,1869,1591,1327.55112368896,1.80148832965599,0.423616632428134,8.459377558703e-06,0.000199413943715829
"A_HT_DHD_100_swap:A_HT_DHD_2_swap",10,8,4,3,5.80173496617937,-0.0412832940027232,0.440988820868825,0.660596843968645,0.991497432145353
"A_HT_DHD_100_swap:A_HT_DHD_30_swap",428,351,223,189,284.971533500553,-0.0153981913467205,0.119834691893493,0.441446962189625,0.981666819155384
"A_HT_DHD_100_swap:A_HT_DHD_31_swap",36,29,30,25,29.9607362026733,0.0141211970673917,0.208517239484184,0.743828502992004,0.997692885316562
"A_HT_DHD_100_swap:A_HT_DHD_32_swap",108,88,73,61,80.7902843835772,-0.000169811430463509,0.126424535182131,0.994466229255059,0.999064753176454
"A_HT_DHD_100_swap:A_HT_DHD_33_swap",224,1,554,5,188.729256675591,1.19486249485894,1.02223718781501,0.00376733351923382,0.0560617830365632
