"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"2CDP06:BCDP01",11188,16257,1123,2538,5673.7379421897,-1.35063491514534,0.209711904680574,8.22036329580593e-11,2.81841027284775e-10
"2CDP06:BECM01",10174,17280,845,1811,5262.63722059082,-1.78300708194497,0.148846310910453,2.41542035526623e-33,1.81156526644967e-32
"2CDP06:Bcl-2",4361,5066,6881,8438,8111.18346806607,2.30599119813193,0.128142304602022,7.03858952565958e-73,1.6892614861583e-71
"2CDP06:Bcl-B",25903,41065,3673,6453,14401.5597959792,-1.11541104318476,0.114922681277114,2.22851403742171e-22,1.27343659281241e-21
"2CDP06:Bcl-w",4840,4536,911,1460,2389.23559405074,-0.374539358941486,0.289159721876414,0.169832031412691,0.201780631381416
"2CDP06:Bcl-xL",5016,2924,870,316,1595.15610143768,-1.18831828617347,0.335695361817258,0.000291322697044964,0.000485537828408273
"2CDP06:Bfl-1",8989,9182,1353,771,3514.29178607551,-1.44473504302133,0.382569808759644,0.000100104320865745,0.00017160740719842
"2CDP06:FECM04",15362,9389,1115,767,4232.59632436652,-2.05660087829714,0.15772112701802,3.07256267197915e-39,3.07256267197915e-38
"2CDP06:Mcl1[151-321]",22149,9347,1860,992,5467.76960297152,-1.76835443138112,0.146848590530301,1.13762798461368e-33,9.10102387690943e-33
"2CDP06:XCDP07",2307,11349,205,1174,2769.36503842293,-1.73336368847694,0.197924635208862,1.08082036310407e-18,4.98840167586492e-18
"2CDP06:alphaBCL2",9792,8165,1202,459,3239.43890769533,-1.8187534435611,0.447409183101516,2.27842007924854e-05,4.33984776999723e-05
"2CDP06:alphaBCLB",11107,17537,831,1697,5360.14264026705,-1.91359868952438,0.154033587875559,9.29511390743982e-36,7.96724049209128e-35
"2CDP06:alphaBFL1",18577,13920,1751,787,5635.05889222156,-2.06728949114469,0.325643115102037,8.72631802613382e-11,2.90877267537794e-10
"2CDP06:alphaMCL1",335018,10218,1229,594,43610.8814710916,-3.4828622909021,0.866017587287461,1.89904701056801e-06,3.99799370645898e-06
"BCDP01:BECM01",9991,12410,7418,8275,10143.6465986807,1.10242752665666,0.177504332117891,4.12811607718263e-10,1.155074388761e-09
"BCDP01:Bcl-2",5000,5018,9433,10889,10366.8445231509,2.62839643663651,0.109560755052974,8.15113224787637e-128,9.78135869745165e-126
"BCDP01:Bcl-B",31856,29484,285929,148095,194268.573405499,4.07152093548418,0.480610828157943,3.53434765638645e-19,1.6964868750655e-18
"BCDP01:Bcl-w",5548,3623,1651,5193,4376.53505725019,0.881080358441753,0.560196944954613,0.0876604774702992,0.109575596837874
"BCDP01:Bcl-xL",3279,3051,6745,5946,6426.68210215821,2.59741871151858,0.170135212956387,3.03724557289323e-53,5.20670669638839e-52
"BCDP01:Bfl-1",11389,7443,42071,17342,27830.7721986318,3.06518221149843,0.318457001805629,7.35767942551926e-23,4.41460765531155e-22
"BCDP01:FECM04",15351,8442,4743,1438,5864.96029709802,-0.464822490829858,0.352417891112134,0.161959754980578,0.196314854521913
"BCDP01:Mcl1[151-321]",21209,11477,101986,30617,60256.7481477715,3.268951976876,0.410657344793059,1.35679016702901e-16,5.42716066811605e-16
"BCDP01:XCDP07",2920,6804,1236,6258,4903.18437921367,0.904738015847962,0.327709545340924,0.00455484254161129,0.00683226381241694
"BCDP01:alphaBCL2",20796,6432,3667,725,5434.73714167892,-1.15766552138425,0.306789859896375,0.000120037750677356,0.00020288070537018
"BCDP01:alphaBCLB",12867,13886,7294,5989,9616.74238631859,0.592319456787497,0.234788591890832,0.00976181107285863,0.013945444389798
"BCDP01:alphaBFL1",20953,12476,8118,3366,9486.18227230507,-0.00484405806917598,0.251234904170388,0.98376426657374,0.98376426657374
"BCDP01:alphaMCL1",23672,9809,5904,2744,8194.0334527219,-0.293612165601979,0.118488444624549,0.010675258738363,0.015070953512983
"BECM01:Bcl-2",5752,4774,2324,2030,3381.23503912658,0.340686520908082,0.191387574753244,0.060909335442461,0.0803200027812672
"BECM01:Bcl-B",28449,20283,183089,77386,117442.995109189,3.70183261813281,0.43098686158018,2.95322508713608e-19,1.47661254356804e-18
