"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P1:Jerala_P2",1356,571,102351,93558,205855.481960433,10.7097329455704,0.463851906434868,3.15053855583636e-119,2.45742007355236e-117
"Jerala_P1:Jerala_P3",3068,1615,120,89,521.549175990631,-0.42093493548085,0.150426618210719,0.00413167771111271,0.00805677153666978
"Jerala_P1:Jerala_P4",1644,2322,81,108,461.691245742417,-0.374852769547215,0.144928966582593,0.00814660641925015,0.0147775651325933
"Jerala_P1:Jerala_P5",2895,3203,122,139,675.902008229154,-0.516934255781518,0.161595660963859,0.000994956505156332,0.00235171537582406
"Jerala_P1:Jerala_P6",4762,2453,182,96,756.686509965372,-0.63495405053705,0.193777296505889,0.000631019517556762,0.00158772652804605
"Jerala_P1:Jerala_P7",3556,1688,140,60,546.960991467013,-0.678801897463578,0.149806415294234,3.38206520686796e-06,1.25619564826524e-05
"Jerala_P1:Jerala_P8",2271,3013,93,125,578.98396326916,-0.5759187430295,0.146533419993904,5.7174641629584e-05,0.000171523924888752
"Jerala_P1:Jerala_P9",2007,2816,839,3700,5116.06169069111,2.46497776979331,1.55536400353006,0.00312261354266869,0.00658280692778806
"Jerala_P1:Jerala_P10",4838,4259,199,167,979.472695965944,-0.502265624599132,0.32413317460034,0.0795689909873501,0.119353486481025
"Jerala_P1:Jerala_P11",2468,1736,93,55,428.537315267735,-0.78769573802123,0.157561851309096,2.69909412066052e-07,1.315808383822e-06
"Jerala_P1:Jerala_P12",2808,3432,832,103,1387.1836167619,0.205389890008385,0.631014137690997,0.571792917289085,0.644365719584421
"Jerala_P2:Jerala_P3",3980,3416,2103,115,2794.43882065386,0.276479418398037,0.789896453328194,0.461269291618477,0.529103010974136
"Jerala_P2:Jerala_P4",2330,2577,106,487,949.813366654828,0.392623614914572,0.409442004138732,0.238275977913422,0.315008919953337
"Jerala_P2:Jerala_P5",5504,4294,4773,152,5768.09697002788,0.387115189568374,0.857890979785395,0.326747967423986,0.411070023533402
"Jerala_P2:Jerala_P6",3296,2679,3527,700,4803.37114053136,1.67203515557947,1.40818544835606,0.012481894265594,0.0202830781815903
"Jerala_P2:Jerala_P7",4359,2073,149,80,654.040731364499,-0.743027824096885,0.160504561234633,1.87475439793447e-06,7.31154215194444e-06
"Jerala_P2:Jerala_P8",4395,3599,775,170,1508.96337326742,0.197536555936495,0.61386539136239,0.586538026801204,0.644365719584421
"Jerala_P2:Jerala_P9",1814,2271,118,137,537.970051089327,0.000475864099966592,0.139063176204266,0.997212471373338,0.997212471373338
"Jerala_P10:Jerala_P2",3133,5282,140,256,977.467746546094,-0.336252431666465,0.317712164830305,0.233929983086655,0.314595494495847
"Jerala_P11:Jerala_P2",3345,3909,119,123,732.644963271249,-0.835576256368836,0.191902852824665,5.46635568111237e-06,1.85380757881202e-05
"Jerala_P12:Jerala_P2",3622,4263,168,127,829.599033487565,-0.637667930047416,0.267375171660665,0.00958252281859183,0.0169871995420492
"Jerala_P3:Jerala_P4",269,1484,3217,67082,74596.2871510897,8.37405675432179,0.695880455161698,3.33084860300195e-34,5.19612382068304e-33
"Jerala_P3:Jerala_P5",2565,3212,127,134,655.946220734301,-0.433688243771843,0.166557859338549,0.00727574109254692,0.0135120906004443
