"","count_DBDAD_trp1","count_ADDBD_trp1","count_DBDAD_his1","count_ADDBD_his1","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"N5:N6",1937,1736,102019,47795,120374.491073801,8.67345256858851,0.366736964762097,4.78595561643183e-124,1.62470598557817e-122
"N5:N7",6874,12510,1107,1449,3743.79980726493,0.398470013497389,0.242276479077403,0.0453832620174148,0.123511409287901
"N5:N8",7233,5670,777,442,1968.01836365083,0.00222830759130385,0.188335062262422,0.989453015432437,0.995627449226087
"N5:P5A",8702,9520,810,3111,4979.5528726647,0.303280128459825,0.383429422626593,0.148160225118024,0.292242645875001
"N5:P6A",6925,4045,330383,178054,411999.217423833,8.96863889046589,0.052071321424895,0,0
"N5:P7A",4275,6526,559,1561,2756.03307647364,0.599616832125049,0.286311135589242,0.00547059442473702,0.0215154475850938
"N5:P8A",8017,6325,605,615,2117.77504427829,-0.0785252792294867,0.176689584829436,0.624549233442418,0.751556446959627
"N1:N5",2183,1772,339,268,804.20930416165,0.63604877284342,0.168822322313852,3.58803551394181e-05,0.000241071136092966
"N2:N5",8765,10890,1053,891,3156.19607961288,0.0844203290292369,0.221229649294666,0.654506456970747,0.774599384855287
"AN3:N5",10896,19968,906,1707,4763.39416783457,-0.0981683639669717,0.172539547510422,0.532935740818339,0.679335084639978
"AN35:N5",6175,10444,484,1662,3266.65111921705,0.156940213074557,0.291150386201083,0.462456095718868,0.620133433968128
"AN4:N5",7249,5882,86741,68516,129780.601454335,7.00893677370819,0.125469075238447,0,0
"BN3:N5",5167,13710,341,957,2704.81584134312,-0.386477535592324,0.133262110062134,0.0022138904842164,0.0101997097308541
"BN35:N5",7439,35243,7365,3505,12290.6686345707,0.31970808664762,0.567129097820326,0.1023411762954,0.222739040770308
"BN4:N5",8018,15576,11401,97652,103636.055557523,4.97285324842905,0.682644921635811,2.38246590814534e-13,3.41486780167498e-12
"N5:PUMA_M144A_A139G",4691,9771,489,905,2387.91529407185,0.0894154096965159,0.142400849258658,0.504617192772704,0.65620582527902
"N5:PUMA_M144A_A139G_A150G",10406,5561,2638,383,3471.29474959797,0.183774720310485,0.358133881588451,0.377216391723655,0.532395126174524
"N5:PUMA_M144A_D147G",8391,7648,494,1832,3341.57842624276,0.120496652829533,0.362832003429281,0.554568053879618,0.69590738278668
"N5:PUMA_M144A_E132A",10389,10325,7770,581,7815.42778315081,0.174662656007498,0.470132883714692,0.305674401953927,0.457888925523111
"N5:PUMA_M144A_E136G",11711,7547,1248,638,2962.54188772004,0.0450930509896546,0.176331289817825,0.778333635508038,0.867589633803814
"N5:PUMA_M144A_E158A",7801,11916,649,593,2601.34558495,-0.342659777759061,0.24663808927908,0.0882667643742779,0.199507343619341
"N5:PUMA_M144A_I137A",7385,4758,610,271,1613.42429151433,-0.319186762627378,0.201472566168233,0.0714016740644235,0.176228962014829
"N5:PUMA_M144A_R143A",10509,6400,2141,591,3388.01746666157,0.301218013721837,0.306042100708486,0.164318401640059,0.314905188191932
"N5:PUMA_M144A_W133F",10951,4418,683,257,1862.65887913761,-0.551605602512025,0.122294601909074,2.31660563236174e-06,1.96606662220174e-05
"N5:PUMA_M144A_Y152A",7203,6248,834,426,2042.59663081126,-0.0269832630936598,0.240751514960299,0.8917415224759,0.944455307055756
"Jerala_P1:N5",1531,1038,163,59,368.309242792637,-0.114213181488649,0.297297780430325,0.593763274534172,0.729480594427697
"Jerala_P2:N5",1342,2064,81,86,411.075129142551,-0.573937536334211,0.267312742021946,0.00612950362208509,0.0236738313547598
"Jerala_P3:N5",1731,1197,131,94,405.727528011417,-0.190319140029701,0.205095222913272,0.288592540517516,0.442552134945498
"Jerala_P4:N5",3122,1841,440,121,806.137596111513,0.0408076775234322,0.304107692920428,0.849006805993367,0.920047065187166
"Jerala_P5:N5",1385,1048,1105,111,1095.79364136136,0.451475215696955,0.534791319341658,0.0411233911865712,0.114825053313153
"Jerala_P6:N5",1779,1563,2264,81523,79905.1223928829,6.19658971980547,1.3444969505767,1.53293069053872e-06,1.37325041027427e-05
"Jerala_P7:N5",2418,1669,294,157,671.985514358797,0.171532785640493,0.213682673808755,0.352353993819228,0.503920900251447
"Jerala_P8:N5",791,3569,66,8183,8241.33937268724,0.343104728352602,0.71699409825781,0.0929773236832694,0.207509943860584
"Jerala_P9:N5",1650,1949,145,2401,2683.29628027056,0.221667049830631,0.600374486509816,0.2026015957747,0.350187126202812
