PPI,trp1,his1
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_10_swap,117.0,13.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_11_swap,647.0,42.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_12_swap,364.0,11.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_13_swap,167.0,6.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_14_swap,303.0,5.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_15_swap,306.0,8.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_16_swap,410.0,59.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_17_swap,245.0,467.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_18_swap,62.0,372.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_19_swap,272.0,1.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_1_swap,209.0,32.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_20_swap,320.0,33.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_21_swap,247.0,9.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_22_swap,542.0,25.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_23_swap,501.0,955.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_24_swap,185.0,101.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_25_swap,268.0,561.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_26_swap,93.0,1.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_27_swap,294.0,4.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_28_swap,460.0,151.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_29_swap,941.0,12653.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_2_swap,323.0,12.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_30_swap,367.0,12.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_31_swap,355.0,510.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_32_swap,130.0,32.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_33_swap,167.0,17.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_34_swap,108.0,345.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_35_swap,160.0,9.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_36_swap,661.0,44.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_37_swap,156.0,5.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_38_swap,180.0,12.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_39_swap,203.0,42.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_3_swap,407.0,1362.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_40_swap,164.0,20.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_41_swap,53.0,69.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_42_swap,162.0,25.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_43_swap,130.0,384.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_44_swap,93.0,17.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_45_swap,457.0,16.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_46_swap,237.0,11.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_47_swap,40.0,3.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_48_swap,214.0,18.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_49_swap,247.0,6.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_4_swap,318.0,70.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_50_swap,608.0,57.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_51_swap,130.0,71.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_52_swap,317.0,30.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_53_swap,110.0,11.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_54_swap,192.0,30.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_55_swap,267.0,215.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_56_swap,206.0,15.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_57_swap,467.0,40.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_58_swap,379.0,21.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_59_swap,143.0,3.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_5_swap,484.0,69.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_60_swap,196.0,3.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_61_swap,110.0,9.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_62_swap,825.0,105.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_63_swap,377.0,29.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_64_swap,228.0,181.0
