PPI,trp1,his1
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_100_swap,13.0,11.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_10_swap,98.0,17.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_11_swap,588.0,1017.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_12_swap,142.0,77.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_13_swap,133.0,438.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_14_swap,159.0,137.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_15_swap,832.0,519.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_16_swap,10.0,41.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_17_swap,349.0,637.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_18_swap,286.0,3176.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_19_swap,589.0,738.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_1_swap,13.0,20.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_20_swap,1131.0,1780.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_21_swap,280.0,612.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_22_swap,96.0,29.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_23_swap,54.0,42.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_24_swap,222.0,2637.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_25_swap,1071.0,9334.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_26_swap,432.0,227.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_27_swap,364.0,426.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_28_swap,466.0,379.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_29_swap,20.0,53.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_2_swap,2.0,3.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_30_swap,890.0,1212.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_31_swap,125.0,45.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_32_swap,296.0,2168.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_33_swap,5.0,1.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_34_swap,114.0,8.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_35_swap,11.0,42.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_36_swap,480.0,1258.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_37_swap,250.0,47.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_38_swap,55.0,20.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_39_swap,227.0,173.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_3_swap,210.0,438.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_40_swap,258.0,69.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_41_swap,277.0,396.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_42_swap,74.0,29.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_43_swap,83.0,714.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_44_swap,201.0,162.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_45_swap,76.0,97.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_46_swap,440.0,818.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_47_swap,339.0,244.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_48_swap,296.0,407.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_49_swap,186.0,170.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_4_swap,590.0,1249.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_50_swap,1093.0,522.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_51_swap,2.0,1.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_52_swap,486.0,147.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_53_swap,332.0,54.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_54_swap,670.0,427.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_55_swap,7.0,30.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_56_swap,266.0,233.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_57_swap,555.0,397.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_58_swap,98.0,133.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_59_swap,278.0,156.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_5_swap,89.0,9.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_60_swap,612.0,867.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_61_swap,350.0,262.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_62_swap,63.0,8.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_63_swap,148.0,91.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_64_swap,318.0,5389.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_65_swap,443.0,124.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_66_swap,520.0,303.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_67_swap,495.0,3052.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_68_swap,302.0,407.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_69_swap,949.0,861.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_6_swap,56.0,6.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_70_swap,296.0,135.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_71_swap,74.0,601.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_72_swap,432.0,648.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_73_swap,133.0,137.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_74_swap,277.0,243.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_75_swap,1033.0,8034.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_76_swap,1348.0,1765.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_77_swap,300.0,187.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_78_swap,417.0,302.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_79_swap,601.0,507.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_7_swap,80.0,40.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_80_swap,229.0,165.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_81_swap,357.0,303.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_82_swap,214.0,772.0
DBD:A_HT_DHD_100_swap:AD:A_HT_DHD_83_swap,352.0,336.0
