,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
A_HT_DHD_100_swap:A_HT_DHD_10_swap,65.0,53.0,30.0,25.0
A_HT_DHD_100_swap:A_HT_DHD_11_swap,33.0,27.0,29.0,24.0
A_HT_DHD_100_swap:A_HT_DHD_12_swap,442.0,363.0,133.0,113.0
A_HT_DHD_100_swap:A_HT_DHD_13_swap,312.0,256.0,225.0,191.0
A_HT_DHD_100_swap:A_HT_DHD_14_swap,406.0,333.0,151.0,128.0
A_HT_DHD_100_swap:A_HT_DHD_15_swap,182.0,149.0,71.0,60.0
A_HT_DHD_100_swap:A_HT_DHD_16_swap,66.0,54.0,21.0,17.0
A_HT_DHD_100_swap:A_HT_DHD_17_swap,70.0,57.0,14.0,11.0
A_HT_DHD_100_swap:A_HT_DHD_18_swap,35.0,28.0,78.0,64.0
A_HT_DHD_100_swap:A_HT_DHD_19_swap,71.0,58.0,39.0,33.0
A_HT_DHD_100_swap:A_HT_DHD_1_swap,49.0,40.0,18.0,15.0
A_HT_DHD_100_swap:A_HT_DHD_20_swap,245.0,201.0,132.0,112.0
A_HT_DHD_100_swap:A_HT_DHD_21_swap,61.0,50.0,11.0,9.0
A_HT_DHD_100_swap:A_HT_DHD_22_swap,173.0,142.0,85.0,72.0
A_HT_DHD_100_swap:A_HT_DHD_23_swap,188.0,154.0,138.0,117.0
A_HT_DHD_100_swap:A_HT_DHD_24_swap,5.0,4.0,4.0,3.0
A_HT_DHD_100_swap:A_HT_DHD_25_swap,10.0,8.0,19.0,15.0
A_HT_DHD_100_swap:A_HT_DHD_26_swap,10.0,8.0,4.0,3.0
A_HT_DHD_100_swap:A_HT_DHD_27_swap,44.0,36.0,6.0,5.0
A_HT_DHD_100_swap:A_HT_DHD_28_swap,99.0,81.0,56.0,47.0
A_HT_DHD_100_swap:A_HT_DHD_29_swap,756.0,621.0,1869.0,1591.0
A_HT_DHD_100_swap:A_HT_DHD_2_swap,10.0,8.0,4.0,3.0
A_HT_DHD_100_swap:A_HT_DHD_30_swap,428.0,351.0,223.0,189.0
A_HT_DHD_100_swap:A_HT_DHD_31_swap,36.0,29.0,30.0,25.0
A_HT_DHD_100_swap:A_HT_DHD_32_swap,108.0,88.0,73.0,61.0
A_HT_DHD_100_swap:A_HT_DHD_33_swap,224.0,1.0,554.0,5.0
A_HT_DHD_100_swap:A_HT_DHD_34_swap,5.0,4.0,4.0,3.0
A_HT_DHD_100_swap:A_HT_DHD_35_swap,31.0,25.0,5.0,4.0
A_HT_DHD_100_swap:A_HT_DHD_36_swap,64.0,52.0,3.0,2.0
A_HT_DHD_100_swap:A_HT_DHD_37_swap,8.0,6.0,11.0,8.0
A_HT_DHD_100_swap:A_HT_DHD_38_swap,32.0,26.0,23.0,19.0
A_HT_DHD_100_swap:A_HT_DHD_39_swap,7.0,5.0,1.0,0.0
A_HT_DHD_100_swap:A_HT_DHD_3_swap,178.0,146.0,70.0,59.0
A_HT_DHD_100_swap:A_HT_DHD_40_swap,221.0,181.0,82.0,69.0
A_HT_DHD_100_swap:A_HT_DHD_41_swap,1.0,0.0,2.0,1.0
A_HT_DHD_100_swap:A_HT_DHD_42_swap,240.0,197.0,44.0,37.0
A_HT_DHD_100_swap:A_HT_DHD_43_swap,5.0,4.0,11.0,9.0
A_HT_DHD_100_swap:A_HT_DHD_44_swap,228.0,187.0,40.0,34.0
A_HT_DHD_100_swap:A_HT_DHD_45_swap,72.0,59.0,57.0,48.0
A_HT_DHD_100_swap:A_HT_DHD_46_swap,207.0,170.0,18.0,15.0
A_HT_DHD_100_swap:A_HT_DHD_47_swap,310.0,254.0,167.0,141.0
A_HT_DHD_100_swap:A_HT_DHD_48_swap,112.0,92.0,45.0,38.0
A_HT_DHD_100_swap:A_HT_DHD_49_swap,339.0,278.0,86.0,73.0
A_HT_DHD_100_swap:A_HT_DHD_4_swap,132.0,108.0,9.0,7.0
A_HT_DHD_100_swap:A_HT_DHD_50_swap,166.0,136.0,104.0,88.0
A_HT_DHD_100_swap:A_HT_DHD_51_swap,4.0,3.0,6.0,4.0
A_HT_DHD_100_swap:A_HT_DHD_52_swap,193.0,158.0,88.0,74.0
A_HT_DHD_100_swap:A_HT_DHD_53_swap,220.0,180.0,108.0,91.0
A_HT_DHD_100_swap:A_HT_DHD_54_swap,131.0,107.0,16.0,13.0
A_HT_DHD_100_swap:A_HT_DHD_55_swap,239.0,196.0,204.0,173.0
A_HT_DHD_100_swap:A_HT_DHD_56_swap,223.0,183.0,87.0,74.0
A_HT_DHD_100_swap:A_HT_DHD_57_swap,737.0,605.0,614.0,522.0
A_HT_DHD_100_swap:A_HT_DHD_58_swap,138.0,113.0,29.0,24.0
A_HT_DHD_100_swap:A_HT_DHD_59_swap,94.0,77.0,32.0,27.0
A_HT_DHD_100_swap:A_HT_DHD_5_swap,481.0,395.0,119.0,101.0
A_HT_DHD_100_swap:A_HT_DHD_60_swap,215.0,176.0,160.0,135.0
A_HT_DHD_100_swap:A_HT_DHD_61_swap,207.0,170.0,47.0,40.0
A_HT_DHD_100_swap:A_HT_DHD_62_swap,269.0,221.0,117.0,99.0
A_HT_DHD_100_swap:A_HT_DHD_63_swap,204.0,167.0,125.0,106.0
A_HT_DHD_100_swap:A_HT_DHD_64_swap,1053.0,865.0,2387.0,2032.0
A_HT_DHD_100_swap:A_HT_DHD_65_swap,714.0,586.0,448.0,381.0
A_HT_DHD_100_swap:A_HT_DHD_66_swap,1147.0,942.0,1395.0,1187.0
A_HT_DHD_100_swap:A_HT_DHD_67_swap,122.0,100.0,71.0,60.0
A_HT_DHD_100_swap:A_HT_DHD_68_swap,2033.0,1670.0,1337.0,1138.0
A_HT_DHD_100_swap:A_HT_DHD_69_swap,102.0,83.0,66.0,55.0
A_HT_DHD_100_swap:A_HT_DHD_6_swap,172.0,141.0,51.0,43.0
A_HT_DHD_100_swap:A_HT_DHD_70_swap,94.0,77.0,66.0,56.0
A_HT_DHD_100_swap:A_HT_DHD_71_swap,156.0,102.0,369.0,620.0
A_HT_DHD_100_swap:A_HT_DHD_72_swap,265.0,217.0,498.0,422.0
A_HT_DHD_100_swap:A_HT_DHD_73_swap,630.0,517.0,353.0,300.0
A_HT_DHD_100_swap:A_HT_DHD_74_swap,95.0,78.0,62.0,52.0
A_HT_DHD_100_swap:A_HT_DHD_75_swap,405.0,332.0,432.0,367.0
A_HT_DHD_100_swap:A_HT_DHD_76_swap,188.0,154.0,215.0,182.0
A_HT_DHD_100_swap:A_HT_DHD_77_swap,268.0,220.0,150.0,127.0
