PPI,trp1,his1
DBD:2CDP06:AD:2CDP06,153,8
DBD:2CDP06:AD:BCDP01,11188,1123
DBD:2CDP06:AD:BECM01,10174,845
DBD:2CDP06:AD:Bcl-2,4361,6881
DBD:2CDP06:AD:Bcl-B,25903,3673
DBD:2CDP06:AD:Bcl-w,4840,911
DBD:2CDP06:AD:Bcl-xL,5016,870
DBD:2CDP06:AD:Bfl-1,8989,1353
DBD:2CDP06:AD:FECM04,15362,1115
DBD:2CDP06:AD:Mcl1[151-321],22149,1860
DBD:2CDP06:AD:XCDP07,2307,205
DBD:2CDP06:AD:alphaBCL2,9792,1202
DBD:2CDP06:AD:alphaBCLB,11107,831
DBD:2CDP06:AD:alphaBFL1,18577,1751
DBD:2CDP06:AD:alphaMCL1,335018,1229
DBD:BCDP01:AD:2CDP06,16257,2538
DBD:BCDP01:AD:BCDP01,1076,4864
DBD:BCDP01:AD:BECM01,9991,7418
DBD:BCDP01:AD:Bcl-2,5000,9433
DBD:BCDP01:AD:Bcl-B,31856,285929
DBD:BCDP01:AD:Bcl-w,5548,1651
DBD:BCDP01:AD:Bcl-xL,3279,6745
DBD:BCDP01:AD:Bfl-1,11389,42071
DBD:BCDP01:AD:FECM04,15351,4743
DBD:BCDP01:AD:Mcl1[151-321],21209,101986
DBD:BCDP01:AD:XCDP07,2920,1236
DBD:BCDP01:AD:alphaBCL2,20796,3667
DBD:BCDP01:AD:alphaBCLB,12867,7294
DBD:BCDP01:AD:alphaBFL1,20953,8118
DBD:BCDP01:AD:alphaMCL1,23672,5904
DBD:BECM01:AD:2CDP06,17280,1811
DBD:BECM01:AD:BCDP01,12410,8275
DBD:BECM01:AD:BECM01,9031,4187
DBD:BECM01:AD:Bcl-2,5752,2324
DBD:BECM01:AD:Bcl-B,28449,183089
DBD:BECM01:AD:Bcl-w,5001,1481
DBD:BECM01:AD:Bcl-xL,4314,2027
DBD:BECM01:AD:Bfl-1,10926,21019
DBD:BECM01:AD:FECM04,12651,2636
DBD:BECM01:AD:Mcl1[151-321],18335,11216
DBD:BECM01:AD:XCDP07,3637,529
DBD:BECM01:AD:alphaBCL2,16195,1694
DBD:BECM01:AD:alphaBCLB,13706,4909
DBD:BECM01:AD:alphaBFL1,30279,5332
DBD:BECM01:AD:alphaMCL1,19925,3844
DBD:Bcl-2:AD:2CDP06,5066,8438
DBD:Bcl-2:AD:BCDP01,5018,10889
DBD:Bcl-2:AD:BECM01,4774,2030
DBD:Bcl-2:AD:Bcl-2,3492,1715
DBD:Bcl-2:AD:Bcl-B,16111,10054
DBD:Bcl-2:AD:Bcl-w,1287,166
DBD:Bcl-2:AD:Bcl-xL,1552,469
DBD:Bcl-2:AD:Bfl-1,3878,2271
DBD:Bcl-2:AD:FECM04,4309,14314
DBD:Bcl-2:AD:Mcl1[151-321],7011,2866
DBD:Bcl-2:AD:XCDP07,961,1184
