PPI,trp1,his1
DBD:Jerala_P1:AD:Jerala_P1,14,9.0
DBD:Jerala_P1:AD:Jerala_P2,1356,62934.0
DBD:Jerala_P1:AD:Jerala_P3,3068,215.0
DBD:Jerala_P1:AD:Jerala_P4,1644,129.0
DBD:Jerala_P1:AD:Jerala_P5,2895,251.0
DBD:Jerala_P1:AD:Jerala_P6,4762,381.0
DBD:Jerala_P1:AD:Jerala_P7,3556,281.0
DBD:Jerala_P1:AD:Jerala_P8,2271,171.0
DBD:Jerala_P1:AD:Jerala_P9,2007,951.0
DBD:Jerala_P1:AD:Jerala_P10,4838,250.0
DBD:Jerala_P1:AD:Jerala_P11,2468,144.0
DBD:Jerala_P1:AD:Jerala_P12,2808,1334.0
DBD:Jerala_P2:AD:Jerala_P1,571,31951.0
DBD:Jerala_P2:AD:Jerala_P2,48,10.0
DBD:Jerala_P2:AD:Jerala_P3,3980,599.0
DBD:Jerala_P2:AD:Jerala_P4,2330,211.0
DBD:Jerala_P2:AD:Jerala_P5,5504,1073.0
DBD:Jerala_P2:AD:Jerala_P6,3296,1184.0
DBD:Jerala_P2:AD:Jerala_P7,4359,341.0
DBD:Jerala_P2:AD:Jerala_P8,4395,363.0
DBD:Jerala_P2:AD:Jerala_P9,1814,138.0
DBD:Jerala_P2:AD:Jerala_P10,3133,253.0
DBD:Jerala_P2:AD:Jerala_P11,3345,247.0
DBD:Jerala_P2:AD:Jerala_P12,3622,349.0
DBD:Jerala_P3:AD:Jerala_P1,1615,117.0
DBD:Jerala_P3:AD:Jerala_P2,3416,241.0
DBD:Jerala_P3:AD:Jerala_P3,1540,158.0
DBD:Jerala_P3:AD:Jerala_P4,269,11454.0
DBD:Jerala_P3:AD:Jerala_P5,2565,192.0
DBD:Jerala_P3:AD:Jerala_P6,1728,110.0
DBD:Jerala_P3:AD:Jerala_P7,2176,141.0
DBD:Jerala_P3:AD:Jerala_P8,1716,120.0
DBD:Jerala_P3:AD:Jerala_P9,2965,175.0
DBD:Jerala_P3:AD:Jerala_P10,3781,256.0
DBD:Jerala_P3:AD:Jerala_P11,1641,95.0
DBD:Jerala_P3:AD:Jerala_P12,1691,116.0
DBD:Jerala_P4:AD:Jerala_P1,2322,174.0
DBD:Jerala_P4:AD:Jerala_P2,2577,713.0
DBD:Jerala_P4:AD:Jerala_P3,1484,79476.0
DBD:Jerala_P4:AD:Jerala_P4,9,3.0
DBD:Jerala_P4:AD:Jerala_P5,4121,341.0
DBD:Jerala_P4:AD:Jerala_P6,4917,347.0
DBD:Jerala_P4:AD:Jerala_P7,3106,236.0
DBD:Jerala_P4:AD:Jerala_P8,2262,193.0
DBD:Jerala_P4:AD:Jerala_P9,4152,360.0
DBD:Jerala_P4:AD:Jerala_P10,4647,966.0
DBD:Jerala_P4:AD:Jerala_P11,2266,1524.0
DBD:Jerala_P4:AD:Jerala_P12,3052,268.0
DBD:Jerala_P5:AD:Jerala_P1,3203,221.0
DBD:Jerala_P5:AD:Jerala_P2,4294,280.0
DBD:Jerala_P5:AD:Jerala_P3,3212,230.0
DBD:Jerala_P5:AD:Jerala_P4,2329,191.0
DBD:Jerala_P5:AD:Jerala_P5,1320,204.0
DBD:Jerala_P5:AD:Jerala_P6,1203,21659.0
DBD:Jerala_P5:AD:Jerala_P7,3083,347.0
DBD:Jerala_P5:AD:Jerala_P8,2649,196.0
DBD:Jerala_P5:AD:Jerala_P9,2917,257.0
DBD:Jerala_P5:AD:Jerala_P10,2038,135.0
DBD:Jerala_P5:AD:Jerala_P11,2945,871.0
DBD:Jerala_P5:AD:Jerala_P12,3141,283.0
DBD:Jerala_P6:AD:Jerala_P1,2453,166.0
DBD:Jerala_P6:AD:Jerala_P2,2679,1363.0
DBD:Jerala_P6:AD:Jerala_P3,2999,230.0
DBD:Jerala_P6:AD:Jerala_P4,1449,119.0
DBD:Jerala_P6:AD:Jerala_P5,1663,3625.0
DBD:Jerala_P6:AD:Jerala_P6,23,6.0
DBD:Jerala_P6:AD:Jerala_P7,3166,244.0
DBD:Jerala_P6:AD:Jerala_P8,2849,193.0
DBD:Jerala_P6:AD:Jerala_P9,1546,2437.0
DBD:Jerala_P6:AD:Jerala_P10,2524,159.0
DBD:Jerala_P6:AD:Jerala_P11,2376,196.0
DBD:Jerala_P6:AD:Jerala_P12,1919,140.0
DBD:Jerala_P7:AD:Jerala_P1,1688,122.0
DBD:Jerala_P7:AD:Jerala_P2,2073,117.0
DBD:Jerala_P7:AD:Jerala_P3,1745,135.0
DBD:Jerala_P7:AD:Jerala_P4,1048,80.0
DBD:Jerala_P7:AD:Jerala_P5,3027,221.0
DBD:Jerala_P7:AD:Jerala_P6,2176,157.0
DBD:Jerala_P7:AD:Jerala_P7,1564,144.0
DBD:Jerala_P7:AD:Jerala_P8,2019,3266.0
DBD:Jerala_P7:AD:Jerala_P9,2028,141.0
DBD:Jerala_P7:AD:Jerala_P10,1334,124.0
DBD:Jerala_P7:AD:Jerala_P11,2102,1348.0
DBD:Jerala_P7:AD:Jerala_P12,2541,201.0
DBD:Jerala_P8:AD:Jerala_P1,3013,238.0
DBD:Jerala_P8:AD:Jerala_P2,3599,276.0
DBD:Jerala_P8:AD:Jerala_P3,2486,189.0
