,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
Jerala_P1:Jerala_P2,1356.0,571.0,62934.0,31951.0
Jerala_P1:Jerala_P3,3068.0,1615.0,215.0,117.0
Jerala_P1:Jerala_P4,1644.0,2322.0,129.0,174.0
Jerala_P1:Jerala_P5,2895.0,3203.0,251.0,221.0
Jerala_P1:Jerala_P6,4762.0,2453.0,381.0,166.0
Jerala_P1:Jerala_P7,3556.0,1688.0,281.0,122.0
Jerala_P1:Jerala_P8,2271.0,3013.0,171.0,238.0
Jerala_P1:Jerala_P9,2007.0,2816.0,951.0,1140.0
Jerala_P1:Jerala_P10,4838.0,4259.0,250.0,326.0
Jerala_P1:Jerala_P11,2468.0,1736.0,144.0,190.0
Jerala_P1:Jerala_P12,2808.0,3432.0,1334.0,264.0
Jerala_P2:Jerala_P3,3980.0,3416.0,599.0,241.0
Jerala_P2:Jerala_P4,2330.0,2577.0,211.0,713.0
Jerala_P2:Jerala_P5,5504.0,4294.0,1073.0,280.0
Jerala_P2:Jerala_P6,3296.0,2679.0,1184.0,1363.0
Jerala_P2:Jerala_P7,4359.0,2073.0,341.0,117.0
Jerala_P2:Jerala_P8,4395.0,3599.0,363.0,276.0
Jerala_P2:Jerala_P9,1814.0,2271.0,138.0,866.0
Jerala_P10:Jerala_P2,3133.0,5282.0,253.0,415.0
Jerala_P11:Jerala_P2,3345.0,3909.0,247.0,383.0
Jerala_P12:Jerala_P2,3622.0,4263.0,349.0,289.0
Jerala_P3:Jerala_P4,269.0,1484.0,11454.0,79476.0
Jerala_P3:Jerala_P5,2565.0,3212.0,192.0,230.0
Jerala_P3:Jerala_P6,1728.0,2999.0,110.0,230.0
Jerala_P3:Jerala_P7,2176.0,1745.0,141.0,135.0
Jerala_P3:Jerala_P8,1716.0,2486.0,120.0,189.0
Jerala_P3:Jerala_P9,2965.0,4845.0,175.0,308.0
Jerala_P10:Jerala_P3,3781.0,6396.0,256.0,1021.0
Jerala_P11:Jerala_P3,1641.0,2653.0,95.0,291.0
Jerala_P12:Jerala_P3,1691.0,3173.0,116.0,284.0
Jerala_P4:Jerala_P5,4121.0,2329.0,341.0,191.0
Jerala_P4:Jerala_P6,4917.0,1449.0,347.0,119.0
Jerala_P4:Jerala_P7,3106.0,1048.0,236.0,80.0
Jerala_P4:Jerala_P8,2262.0,2153.0,193.0,171.0
Jerala_P4:Jerala_P9,4152.0,1896.0,360.0,102.0
Jerala_P10:Jerala_P4,4647.0,1905.0,966.0,160.0
Jerala_P11:Jerala_P4,2266.0,1747.0,1524.0,262.0
Jerala_P12:Jerala_P4,3052.0,1707.0,268.0,113.0
Jerala_P5:Jerala_P6,1203.0,1663.0,21659.0,3625.0
Jerala_P5:Jerala_P7,3083.0,3027.0,347.0,221.0
Jerala_P5:Jerala_P8,2649.0,3406.0,196.0,243.0
Jerala_P5:Jerala_P9,2917.0,7351.0,257.0,450.0
Jerala_P10:Jerala_P5,2038.0,5595.0,135.0,7314.0
Jerala_P11:Jerala_P5,2945.0,2224.0,871.0,258.0
Jerala_P12:Jerala_P5,3141.0,3629.0,283.0,255.0
Jerala_P6:Jerala_P7,3166.0,2176.0,244.0,157.0
Jerala_P6:Jerala_P8,2849.0,2744.0,193.0,259.0
Jerala_P6:Jerala_P9,1546.0,3432.0,2437.0,196.0
Jerala_P10:Jerala_P6,2524.0,5601.0,159.0,2544.0
Jerala_P11:Jerala_P6,2376.0,2725.0,196.0,259.0
Jerala_P12:Jerala_P6,1919.0,3169.0,140.0,220.0
Jerala_P7:Jerala_P8,2019.0,2071.0,3266.0,29996.0
Jerala_P7:Jerala_P9,2028.0,2664.0,141.0,2462.0
Jerala_P10:Jerala_P7,1334.0,5186.0,124.0,418.0
Jerala_P11:Jerala_P7,2102.0,1566.0,1348.0,478.0
Jerala_P12:Jerala_P7,2541.0,3227.0,201.0,461.0
Jerala_P8:Jerala_P9,3133.0,4258.0,260.0,906.0
Jerala_P10:Jerala_P8,1600.0,3338.0,1096.0,280.0
Jerala_P11:Jerala_P8,2190.0,2400.0,176.0,273.0
Jerala_P12:Jerala_P8,3965.0,3097.0,370.0,217.0
Jerala_P10:Jerala_P9,1339.0,1561.0,69496.0,59826.0
Jerala_P11:Jerala_P9,2204.0,2218.0,137.0,278.0
Jerala_P12:Jerala_P9,3540.0,2249.0,219.0,144.0
Jerala_P10:Jerala_P11,2959.0,1520.0,2000.0,2162.0
Jerala_P10:Jerala_P12,7001.0,3112.0,604.0,496.0
Jerala_P11:Jerala_P12,1073.0,1503.0,8068.0,35130.0
Jerala_P1:Jerala_P1,14.0,14.0,8.0,10.0
Jerala_P2:Jerala_P2,48.0,48.0,9.0,12.0
Jerala_P3:Jerala_P3,1540.0,1540.0,135.0,176.0
Jerala_P4:Jerala_P4,9.0,9.0,3.0,4.0
Jerala_P5:Jerala_P5,1320.0,1320.0,174.0,227.0
Jerala_P6:Jerala_P6,23.0,23.0,6.0,7.0
Jerala_P7:Jerala_P7,1564.0,1564.0,123.0,160.0
Jerala_P8:Jerala_P8,3.0,3.0,0.0,0.0
Jerala_P9:Jerala_P9,7.0,7.0,13.0,17.0
Jerala_P10:Jerala_P10,8.0,8.0,7.0,9.0
Jerala_P11:Jerala_P11,75.0,75.0,197.0,257.0
Jerala_P12:Jerala_P12,3174.0,3174.0,301.0,392.0
