PPI,trp1,his1
DBD:Jerala_P1:AD:Jerala_P1,5,26
DBD:Jerala_P1:AD:Jerala_P2,1523,61887
DBD:Jerala_P1:AD:Jerala_P3,4103,137
DBD:Jerala_P1:AD:Jerala_P4,2693,72
DBD:Jerala_P1:AD:Jerala_P5,5479,164
DBD:Jerala_P1:AD:Jerala_P6,3346,79
DBD:Jerala_P1:AD:Jerala_P7,2158,198
DBD:Jerala_P1:AD:Jerala_P8,3075,72
DBD:Jerala_P1:AD:Jerala_P9,3525,88
DBD:Jerala_P1:AD:Jerala_P10,5302,144
DBD:Jerala_P1:AD:Jerala_P11,2414,56
DBD:Jerala_P1:AD:Jerala_P12,2235,94
DBD:Jerala_P2:AD:Jerala_P1,1811,109859
DBD:Jerala_P2:AD:Jerala_P2,23,20
DBD:Jerala_P2:AD:Jerala_P3,2610,134
DBD:Jerala_P2:AD:Jerala_P4,2812,111
DBD:Jerala_P2:AD:Jerala_P5,5276,198
DBD:Jerala_P2:AD:Jerala_P6,4938,155
DBD:Jerala_P2:AD:Jerala_P7,4089,130
DBD:Jerala_P2:AD:Jerala_P8,2798,108
DBD:Jerala_P2:AD:Jerala_P9,1772,53
DBD:Jerala_P2:AD:Jerala_P10,2418,85
DBD:Jerala_P2:AD:Jerala_P11,1720,55
DBD:Jerala_P2:AD:Jerala_P12,3162,131
DBD:Jerala_P3:AD:Jerala_P1,3445,88
DBD:Jerala_P3:AD:Jerala_P2,4677,314
DBD:Jerala_P3:AD:Jerala_P3,1676,842
DBD:Jerala_P3:AD:Jerala_P4,1106,1328
DBD:Jerala_P3:AD:Jerala_P5,1660,72
DBD:Jerala_P3:AD:Jerala_P6,1552,50
DBD:Jerala_P3:AD:Jerala_P7,1893,89
DBD:Jerala_P3:AD:Jerala_P8,2795,1712
DBD:Jerala_P3:AD:Jerala_P9,1690,54
DBD:Jerala_P3:AD:Jerala_P10,3994,130
DBD:Jerala_P3:AD:Jerala_P11,912,33
DBD:Jerala_P3:AD:Jerala_P12,1037,40
