PPI,trp1,his1
DBD:Jerala_P1:AD:Jerala_P2,1523.0,61887.0
DBD:Jerala_P1:AD:Jerala_P3,4103.0,137.0
DBD:Jerala_P1:AD:Jerala_P4,2693.0,72.0
DBD:Jerala_P1:AD:Jerala_P5,5479.0,164.0
DBD:Jerala_P1:AD:Jerala_P6,3346.0,79.0
DBD:Jerala_P1:AD:Jerala_P7,2158.0,198.0
DBD:Jerala_P1:AD:Jerala_P8,3075.0,72.0
DBD:Jerala_P1:AD:Jerala_P9,3525.0,88.0
DBD:Jerala_P1:AD:Jerala_P10,5302.0,144.0
DBD:Jerala_P1:AD:Jerala_P11,2414.0,56.0
DBD:Jerala_P1:AD:Jerala_P12,2235.0,94.0
DBD:Jerala_P2:AD:Jerala_P3,2610.0,134.0
DBD:Jerala_P2:AD:Jerala_P4,2812.0,111.0
DBD:Jerala_P2:AD:Jerala_P5,5276.0,198.0
DBD:Jerala_P2:AD:Jerala_P6,4938.0,155.0
DBD:Jerala_P2:AD:Jerala_P7,4089.0,130.0
DBD:Jerala_P2:AD:Jerala_P8,2798.0,108.0
DBD:Jerala_P2:AD:Jerala_P9,1772.0,53.0
DBD:Jerala_P2:AD:Jerala_P10,2418.0,85.0
DBD:Jerala_P2:AD:Jerala_P11,1720.0,55.0
DBD:Jerala_P2:AD:Jerala_P12,3162.0,131.0
DBD:Jerala_P3:AD:Jerala_P4,1106.0,1328.0
DBD:Jerala_P3:AD:Jerala_P5,1660.0,72.0
DBD:Jerala_P3:AD:Jerala_P6,1552.0,50.0
DBD:Jerala_P3:AD:Jerala_P7,1893.0,89.0
DBD:Jerala_P3:AD:Jerala_P8,2795.0,1712.0
DBD:Jerala_P3:AD:Jerala_P9,1690.0,54.0
DBD:Jerala_P3:AD:Jerala_P10,3994.0,130.0
DBD:Jerala_P3:AD:Jerala_P11,912.0,33.0
DBD:Jerala_P3:AD:Jerala_P12,1037.0,40.0
DBD:Jerala_P4:AD:Jerala_P5,4110.0,108.0
DBD:Jerala_P4:AD:Jerala_P6,1570.0,42.0
DBD:Jerala_P4:AD:Jerala_P7,2778.0,136.0
DBD:Jerala_P4:AD:Jerala_P8,2830.0,85.0
DBD:Jerala_P4:AD:Jerala_P9,1438.0,59.0
DBD:Jerala_P4:AD:Jerala_P10,4222.0,652.0
DBD:Jerala_P4:AD:Jerala_P11,1717.0,58.0
DBD:Jerala_P4:AD:Jerala_P12,1136.0,69797.0
DBD:Jerala_P5:AD:Jerala_P6,2184.0,1190.0
DBD:Jerala_P5:AD:Jerala_P7,6117.0,194.0
DBD:Jerala_P5:AD:Jerala_P8,2363.0,85.0
DBD:Jerala_P5:AD:Jerala_P9,2292.0,83.0
DBD:Jerala_P5:AD:Jerala_P10,5026.0,159.0
DBD:Jerala_P5:AD:Jerala_P11,1664.0,56.0
DBD:Jerala_P5:AD:Jerala_P12,3938.0,146.0
DBD:Jerala_P6:AD:Jerala_P7,1850.0,54.0
DBD:Jerala_P6:AD:Jerala_P8,1720.0,61.0
DBD:Jerala_P6:AD:Jerala_P9,1299.0,42.0
DBD:Jerala_P6:AD:Jerala_P10,741.0,19.0
DBD:Jerala_P6:AD:Jerala_P11,2009.0,57.0
DBD:Jerala_P6:AD:Jerala_P12,1407.0,37.0
DBD:Jerala_P7:AD:Jerala_P8,1392.0,83.0
DBD:Jerala_P7:AD:Jerala_P9,983.0,27.0
DBD:Jerala_P7:AD:Jerala_P10,1790.0,56.0
DBD:Jerala_P7:AD:Jerala_P11,1954.0,55.0
DBD:Jerala_P7:AD:Jerala_P12,1444.0,55.0
DBD:Jerala_P8:AD:Jerala_P9,3173.0,130.0
DBD:Jerala_P8:AD:Jerala_P10,3672.0,137.0
DBD:Jerala_P8:AD:Jerala_P11,3954.0,121.0
DBD:Jerala_P8:AD:Jerala_P12,3632.0,125.0
