PPI,trp1,his1
DBD:1001__mALb8x1_fdrtc_A:AD:1001__mALb8x1_fdrtc_B,1046.0,35752.0
DBD:1001__mALb8x1_fdrtc_A:AD:1002__mALb8x1_rprtc_A,985.0,3375.0
DBD:1001__mALb8x1_fdrtc_A:AD:1002__mALb8x1_rprtc_B,745.0,22165.0
DBD:1001__mALb8x1_fdrtc_A:AD:1003__mALb8x2_fdrtc_A,1255.0,1200.0
DBD:1001__mALb8x1_fdrtc_A:AD:1003__mALb8x2_fdrtc_B,638.0,65.0
DBD:1001__mALb8x1_fdrtc_A:AD:1004__mALb8x2_rprtc_A,1044.0,211.0
DBD:1001__mALb8x1_fdrtc_A:AD:1004__mALb8x2_rprtc_B,926.0,750.0
DBD:1001__mALb8x1_fdrtc_A:AD:1005__mALb8x12_fdrtc_A,1344.0,4232.0
DBD:1001__mALb8x1_fdrtc_A:AD:1005__mALb8x12_fdrtc_B,1305.0,263.0
DBD:1001__mALb8x1_fdrtc_A:AD:1006__mALb8x12_rprtc_A,622.0,7814.0
DBD:1001__mALb8x1_fdrtc_A:AD:1006__mALb8x12_rprtc_B,126.0,287.0
DBD:1001__mALb8x1_fdrtc_A:AD:1007__mALb8x12j_fdrtc_A,623.0,127.0
DBD:1001__mALb8x1_fdrtc_A:AD:1007__mALb8x12j_fdrtc_B,470.0,133.0
DBD:1001__mALb8x1_fdrtc_A:AD:1008__mALb8x12j_rprtc_A,1071.0,6126.0
DBD:1001__mALb8x1_fdrtc_A:AD:1008__mALb8x12j_rprtc_B,945.0,15129.0
DBD:1001__mALb8x1_fdrtc_A:AD:1009__IL8_2H_A,257.0,24.0
DBD:1001__mALb8x1_fdrtc_A:AD:1009__IL8_2H_B,541.0,97.0
DBD:1001__mALb8x1_fdrtc_A:AD:1010__IL9_2H_A,999.0,139.0
DBD:1001__mALb8x1_fdrtc_A:AD:1010__IL9_2H_B,778.0,196.0
DBD:1001__mALb8x1_fdrtc_A:AD:1011__IL14_2H_A,2159.0,232.0
DBD:1001__mALb8x1_fdrtc_A:AD:1011__IL14_2H_B,467.0,121.0
DBD:1001__mALb8x1_fdrtc_A:AD:1012__IL8_2Hx1_A,374.0,156.0
DBD:1001__mALb8x1_fdrtc_A:AD:1012__IL8_2Hx1_B,1786.0,376.0
DBD:1001__mALb8x1_fdrtc_A:AD:1013__IL9_2Hx1_A,1325.0,333.0
DBD:1001__mALb8x1_fdrtc_A:AD:1013__IL9_2Hx1_B,1296.0,331.0
DBD:1001__mALb8x1_fdrtc_A:AD:1014__IL9_2Hx2_A,599.0,606.0
DBD:1001__mALb8x1_fdrtc_A:AD:1014__IL9_2Hx2_B,117.0,3.0
DBD:1001__mALb8x1_fdrtc_A:AD:1015__IL9_2Hx12j_A,2416.0,523.0
DBD:1001__mALb8x1_fdrtc_A:AD:1015__IL9_2Hx12j_B,2257.0,509.0
DBD:1001__mALb8x1_fdrtc_A:AD:1016__IL14_2Hx1_A,2215.0,286.0
DBD:1001__mALb8x1_fdrtc_A:AD:1016__IL14_2Hx1_B,1284.0,340.0
DBD:1001__mALb8x1_fdrtc_A:AD:1017__IL14_2Hx2_A,1046.0,388.0
